drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
210N,"Pelvic, hip and femur procedures except major joint, age > 17, w CC","Pelvic, hip and femur procedures except major joint, age > 17, w CC",8.0,est/swe/lat/ice/fin/nor
211A,"Major pelvic, hip and femur procedures, age >17, w/o CC","Major pelvic, hip and femur procedures, age >17, w/o CC",8.0,est/swe/lat/ice/fin/nor
211N,"Pelvic, hip and femur procedures except major joint, age > 17, w/o CC","Pelvic, hip and femur procedures except major joint, age > 17, w/o CC",8.0,est/swe/lat/ice/fin/nor
212C,"Hip & femur procedures except major joint, age 0-17, w CC","Hip & femur procedures except major joint, age 0-17, w CC",8.0,swe
212N,"Hip & femur procedures except major joint, age 0-17, w/o CC","Hip & femur procedures except major joint, age 0-17, w/o CC",8.0,swe
212O,"Hip & femur procedures except major joint, short therapy","Hip & femur procedures except major joint, short therapy",8.0,est/swe/lat/ice/fin/nor
212X,"Hip & femur procedures except major joint, age 0-17","Hip & femur procedures except major joint, age 0-17",8.0,est/lat/ice/fin/nor
213O,"Amputation for musculoskeletal system & connective tissue disorder, short therapy","Amputation for musculoskeletal system & connective tissue disorder, short therapy",8.0,est/swe/lat/ice/fin/nor
213X,Amputation for musculoskeletal system & connective tissue disorders,Amputation for musculoskeletal system & connective tissue disorders,8.0,est/swe/lat/ice/fin/nor
214A,Combined anterior/posterior spinal fusion,Combined anterior/posterior spinal fusion,8.0,est/lat/ice/fin/nor
214B,Spinal fusion with cc,Spinal fusion with cc,8.0,est/lat/ice/fin/nor
214C,"Other spinal fusion, w CC","Other spinal fusion, w CC",8.0,est/swe/lat/ice/fin/nor
214N,"Other spinal fusion, w/o CC","Other spinal fusion, w/o CC",8.0,swe
215B,"Anterior or posterior spinal fusion, w/o cc","Anterior or posterior spinal fusion, w/o cc",8.0,est/lat/ice/fin/nor
215C,"Back & neck procedures except spinal fusion, w CC","Back & neck procedures except spinal fusion, w CC",8.0,est/swe/lat/ice/fin/nor
215N,"Back & neck procedures except spinal fusion, w/o CC","Back & neck procedures except spinal fusion, w/o CC",8.0,swe
215O,"Back & neck procedures, short therapy","Back & neck procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
216C,"Biopsies of musculoskeletal system & connective tissue, w CC","Biopsies of musculoskeletal system & connective tissue, w CC",8.0,swe
216N,"Biopsies of musculoskeletal system & connective tissue, w/o CC","Biopsies of musculoskeletal system & connective tissue, w/o CC",8.0,swe
216O,"Biopsies of musculoskeletal system & connective tissue, short therapy","Biopsies of musculoskeletal system & connective tissue, short therapy",8.0,est/swe/lat/ice/fin
216X,Biopsies of musculosceletal system & connective tissue,Biopsies of musculosceletal system & connective tissue,8.0,est/lat/ice/fin/nor
217C,"Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w CC","Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w CC",8.0,swe
217M,"Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w MCC","Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w MCC",8.0,swe
217N,"Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w/o CC","Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, w/o CC",8.0,swe
217O,"Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, short therapy","Wound debridement & skin graft except hand, for musculoskeletal & connective tissue diseases, short therapy",8.0,est/swe/lat/ice/fin/nor
217X,"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease","Wnd debrid & skn grft except hand, for muscscelet & conn tis",8.0,est/lat/ice/fin/nor
218C,"Lower extremity & humerus procedures except hip, foot, femur, age > 17, w CC","Lower extremity & humerus procedures except hip, foot, femur, age > 17, w CC",8.0,swe
218M,"Lower extremity & humerus procedures except hip, foot, femur, age >17, w MCC","Lower extremity & humerus procedures except hip, foot, femur, age >17, w MCC",8.0,swe
218X,"Lower extrem & humer proc except hip, foot, femur age > 17, with cc","Lower extrem & humer proc except hip, foot, femur age > 17,",8.0,est/lat/ice/fin/nor
219X,"Lower extremity & humerus procedures except hip, foot, femur, age > 17, w/o CC","Lower extremity & humerus procedures except hip, foot, femur, age > 17, w/o CC",8.0,est/swe/lat/ice/fin/nor
220C,"Lower extremity & humerus procedures except hip, foot, femur, age 0-17, w CC","Lower extremity & humerus procedures except hip, foot, femur, age 0-17, w CC",8.0,swe
220N,"Lower extremity & humerus procedures except hip, foot, femur, age 0-17, w/o CC","Lower extremity & humerus procedures except hip, foot, femur, age 0-17, w/o CC",8.0,swe
220O,"Lower extremity & humerus procedures except hip, foot, femur, short therapy","Lower extremity & humerus procedures except hip, foot, femur, short therapy",8.0,est/swe/lat/ice/fin/nor
220X,"Lower extrem & humer proc except hip, foot, femur age 0-17","Lower extrem & humer proc except hip, foot, femur age 0-17",8.0,est/lat/ice/fin/nor
221C,"Other knee procedures except diagnostic arthroscopies, w CC","Other knee procedures except diagnostic arthroscopies, w CC",8.0,swe
221M,"Knee procedures except diagnostic arthroscopies, w MCC","Knee procedures except diagnostic arthroscopies, w MCC",8.0,swe
221X,Knee procedures w cc,Knee procedures w cc,8.0,est/lat/ice/fin/nor
222O,"Other knee procedures, short therapy               ","Other knee procedures, short therapy               ",8.0,est/swe/lat/ice/fin/nor
222P,"Major knee procedures, short therapy","Major knee procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
222X,"Knee procedures except diagnostic arthroscopies, w/o CC","Knee procedures except diagnostic arthroscopies, w/o CC",8.0,est/swe/lat/ice/fin/nor
223C,"Major shoulder/elbow procedures, or other upper extremity procedures,  w CC","Major shoulder/elbow procedures, or other upper extremity procedures,  w CC",8.0,swe
223O,"Major shoulder/elbow procedures, or other upper extremity procedures, short therapy           ","Major shoulder/elbow procedures, or other upper extremity procedures, short therapy           ",8.0,est/swe/lat/ice/fin/nor
223X,"Major shoulder/elbow proc, or other upper extremity proc w cc","Major shoulder/elbow proc, or other upper extremity proc w c",8.0,est/lat/ice/fin/nor
224A,"Shoulder, elbow or forearm procedrus, except major joint procedurs, w/o cc, age 0-17 yrs","Should/elb/forearm proc, exc maj joint proc, w/o cc, 0-17",8.0,nor
224B,"Shoulder, elbow or forearm procedrus, except major joint procedurs, w/o cc, age >17 yrs","Should/elb/forearm proc, exc maj joint proc, w/o cc, >17",8.0,nor
224O,"Shoulder, elbow or forearm procedures, except major joint procedures, short therapy","Shoulder, elbow or forearm procedures, except major joint procedures, short therapy",8.0,est/swe/lat/ice/fin
224P,"Brudd op på humerus/albue/underarm ekskl skulderprotese, dagkirurgisk behandling",,8.0,nor
224Q,"Op på humerus/albue/underarm ekskl skulderprotese og op bruddbehandling, dagkirurgisk behandling",,8.0,nor
224X,"Shoulder, elbow or forearm procedures, except major joint procedures, w/o CC                                  ","Shoulder, elbow or forearm procedures, except major joint procedures, w/o CC                                  ",8.0,est/swe/lat/ice/fin
225A,"Other foot procedures, age 0-17 yrs","Other foot procedures, age 0-17 yrs",8.0,fin
225B,"Other foot procedures, age >17 yrs","Other foot procedures, age >17 yrs",8.0,fin
225N,Foot procedures,Foot procedures,8.0,swe
225O,"Foot procedures, short therapy","Foot procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
225P,"Foot procedure for fracture, short therapy","Foot procedure for fracture, short therapy",8.0,fin
225X,Foot procedures,Foot procedures,8.0,est/lat/ice/nor
226X,"Soft tissue procedures, w CC","Soft tissue procedures, w CC",8.0,est/swe/lat/ice/fin/nor
227O,"Soft tissue procedures, short therapy","Soft tissue procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
227X,"Soft tissue procedures, w/o CC","Soft tissue procedures, w/o CC",8.0,est/swe/lat/ice/fin/nor
228C,"Hand or wrist procedures, w CC","Hand or wrist procedures, w CC",8.0,swe
228N,"Hand or wrist procedures except major joint procedures, w/o CC","Hand or wrist procedures except major joint procedures, w/o CC",8.0,swe
228O,"Major thumb or joint procedures, or other hand or wrist procedures, short therapy","Major thumb or joint procedures, or other hand or wrist procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
228X,"Major thumb or joint proc, or oth hand or wrist proc w cc","Major thumb or joint proc, or oth hand or wrist proc w cc",8.0,est/lat/ice/fin/nor
229O,"Hand or wrist procedures, except major joint procedures, short therapy","Hand or wrist procedures, except major joint procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
229X,"Hand or wrist proc, except major joint proc, w/o cc","Hand or wrist proc, except major joint proc, w/o cc",8.0,est/lat/ice/fin/nor
230C,"Local excision & removal of internal fixation devices of hip & femur, w CC","Local excision & removal of internal fixation devices of hip & femur, w CC",8.0,swe
230N,"Local excision & removal of internal fixation devices of hip & femur, w/o CC","Local excision & removal of internal fixation devices of hip & femur, w/o CC",8.0,swe
230O,"Local excision & removal of internal fixing devices of hip & femur, short therapy","Local excision & removal of internal fixing devices of hip & femur, short therapy",8.0,est/swe/lat/ice/fin/nor
230X,Local excision & removal of int fix devices of hip & femur,Local excision & removal of int fix devices of hip & femur,8.0,est/lat/ice/fin/nor
231O,"Local excision & removal of internal fixing devices except hip & femur, short therapy","Local excision & removal of internal fixing devices except hip & femur, short therapy",8.0,est/swe/lat/ice/fin/nor
231X,Local excision & removal of internal fixing devices except hip & femur,Local excision & removal of internal fixing devices except hip & femur,8.0,est/swe/lat/ice/fin/nor
232C,"Diagnostic arthroscopy, w CC","Diagnostic arthroscopy, w CC",8.0,swe
232N,"Diagnostic arthroscopy, w/o CC","Diagnostic arthroscopy, w/o CC",8.0,swe
232O,"Arthroscopy, short therapy","Arthroscopy, short therapy",8.0,est/swe/lat/ice/fin/nor
232X,Arthroscopy,Arthroscopy,8.0,est/lat/ice/fin/nor
233X,"Other musculoskeletal system & connective tissue OR procedures,  w CC","Other musculoskeletal system & connective tissue OR procedures,  w CC",8.0,est/swe/lat/ice/fin/nor
234O,"Other musculoskeletal system & connective tissue OR procedures, short therapy","Other musculoskeletal system & connective tissue OR procedures, short therapy",8.0,est/swe/lat/ice/fin/nor
234X,"Other musculoskeletal system & connective tissue OR procedures, w/o CC","Other musculoskeletal system & connective tissue OR procedures, w/o CC",8.0,est/swe/lat/ice/fin/nor
235N,Fractures of femur,Fractures of femur,8.0,swe
235O,Doctor visits for fractures of femur,Doctor visits for fractures of femur,8.0,swe
235X,Fractures of femur,Fractures of femur,8.0,est/lat/ice/fin/nor
236C,"Fractures of hip and pelvis, w CC","Fractures of hip and pelvis, w CC",8.0,swe/fin
236M,"Fractures of hip and pelvis, w MCC","Fractures of hip and pelvis, w MCC",8.0,swe/fin
236N,"Fractures of hip and pelvis, w/o CC","Fractures of hip and pelvis, w/o CC",8.0,swe/fin
236O,Doctor visits for fractures of hip and pelvis ,Doctor visits for fractures of hip and pelvis ,8.0,swe
236X,Fractures of hip & pelvis,Fractures of hip & pelvis,8.0,est/lat/ice/nor
237C,"Sprains, strains, & dislocations of hip, pelvis & thigh, w CC","Sprains, strains, & dislocations of hip, pelvis & thigh, w CC",8.0,swe
237N,"Sprains, strains, & dislocations of hip, pelvis & thigh, w/o CC","Sprains, strains, & dislocations of hip, pelvis & thigh, w/o CC",8.0,swe
237O,"Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh","Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh",8.0,swe
237X,"Sprains, strains, & dislocations of hip, pelvis & thigh","Sprains, strains, & dislocations of hip, pelvis & thigh",8.0,est/lat/ice/fin/nor
238C,"Osteomyelitis, w CC","Osteomyelitis, w CC",8.0,swe
238M,"Osteomyelitis, w MCC","Osteomyelitis, w MCC",8.0,swe
238N,"Osteomyelitis, w/o CC","Osteomyelitis, w/o CC",8.0,swe
238O,Doctor visits for osteomyelitis,Doctor visits for osteomyelitis,8.0,swe
238X,Osteomyelitis,Osteomyelitis,8.0,est/lat/ice/fin/nor
239A,"Pathological fractures & musculosceletal & conn tiss malign, radiotherapy","Pathological fractures & musculosceletal & conn tiss malign,",8.0,fin
239B,"Musculosceletal & conn tiss malign, cytostatic therapy","Musculosceletal & conn tiss malign, cytostatic therapy",8.0,fin
239C,"Pathological fractures & musculoskeletal & connective tissue malignancies, w CC","Pathological fractures & musculoskeletal & connective tissue malignancies, w CC",8.0,swe
239E,Pathological fractures & musculosceletal & conn tiss malign,Pathological fractures & musculosceletal & conn tiss malign,8.0,fin
239M,"Pathological fractures & musculoskeletal & connective tissue malignancy, w MCC","Pathological fractures & musculoskeletal & connective tissue malignancy, w MCC",8.0,swe
239N,"Pathological fractures & musculoskeletal & connective tissue malignancy, w/o CC","Pathological fractures & musculoskeletal & connective tissue malignancy, w/o CC",8.0,swe
239O,Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies  ,Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies  ,8.0,swe
239X,Pathological fractures & musculosceletal & conn tiss malign,Pathological fractures & musculosceletal & conn tiss malign,8.0,est/lat/ice/nor
240N,"Connective tissue disorders or vasculitis, w CC","Connective tissue disorders or vasculitis, w CC",8.0,est/swe/lat/ice/fin/nor
241N,"Connective tissue disorders or vasculitis, w/o CC","Connective tissue disorders or vasculitis, w/o CC",8.0,est/swe/lat/ice/fin/nor
241O,Doctor visits for connective tissue disorders or vasculitis,Doctor visits for connective tissue disorders or vasculitis,8.0,swe
242A,Infectious arthritis or bursitis,Infectious arthritis or bursitis,8.0,est/lat/ice/fin/nor
242B,Specific inflammatory arthropathy w cc,Specific inflammatory arthropathy w cc,8.0,est/lat/ice/fin/nor
242C,Specific inflammatory arthropathy w/o cc,Specific inflammatory arthropathy w/o cc,8.0,est/lat/ice/fin/nor
242D,Other arthritis,Other arthritis,8.0,est/lat/ice/fin/nor
242E,"Arthrosis, w CC","Arthrosis, w CC",8.0,est/swe/lat/ice/fin/nor
242F,"Arthrosis, w/o CC","Arthrosis, w/o CC",8.0,est/swe/lat/ice/fin/nor
242O,"Doctor visits for specific inflammatory arthropathy, short therapy  ","Doctor visits for specific inflammatory arthropathy, short therapy  ",8.0,swe/nor
242P,"Connective tissue disorders or vasculitis, short therapy","Connective tissue disorders or vasculitis, short therapy",8.0,nor
242Q,"Arthrosis, short therapy","Arthrosis, short therapy",8.0,nor
243C,"Medical back problems, w CC","Medical back problems, w CC",8.0,swe/fin
243M,"Medical back problems, w MCC","Medical back problems, w MCC",8.0,swe
243N,"Medical back problems, w/o CC","Medical back problems, w/o CC",8.0,swe/fin
243NO,"Medical back problems, short therapy","Medical back problems, short therapy",8.0,nor
243O,Doctor visits for medical back problems,Doctor visits for medical back problems,8.0,swe
243X,Medical back problems,Medical back problems,8.0,est/lat/ice/nor
244X,"Other bone diseases & specific arthropathies, w CC","Other bone diseases & specific arthropathies, w CC",8.0,est/swe/lat/ice/fin/nor
245O,Doctor visits for bone diseases & specific arthropathies,Doctor visits for bone diseases & specific arthropathies,8.0,swe
245X,"Other bone diseases & specific arthropathies, w/o CC           ","Other bone diseases & specific arthropathies, w/o CC           ",8.0,est/swe/lat/ice/fin/nor
247N,Signs & symptoms of musculoskeletal system & connective tissue,Signs & symtoms of musculosceleteal system & conn tissue,8.0,swe
247O,Doctor visits for signs & symptoms from musculoskeletal system & connective tissue,Doctor visits for signs & symptoms from musculoskeletal system & connective tissue,8.0,swe
247X,Signs & symtoms of musculosceleteal system & conn tissue,Signs & symtoms of musculosceleteal system & conn tissue,8.0,est/lat/ice/fin/nor
248C,"Tendonitis, myositis & bursitis, w CC","Tendonitis, myositis & bursitis, w CC",8.0,swe
248N,"Tendonitis, myositis & bursitis, w/o CC","Tendonitis, myositis & bursitis, w/o CC",8.0,swe
248O,"Tendonitis, myositis & bursitis, short therapy","Tendonitis, myositis & bursitis, short therapy",8.0,swe/nor
248X,"Tendonitis, myositis & bursitits","Tendonitis, myositis & bursitits",8.0,est/lat/ice/fin/nor
249C,"Aftercare for musculoskeletal system & connective tissue diseases, w CC","Aftercare for musculoskeletal system & connective tissue diseases, w CC",8.0,swe
249N,"Aftercare for musculoskeletal system & connective tissue diseases, w/o CC","Aftercare for musculoskeletal system & connective tissue diseases, w/o CC",8.0,swe
249O,Doctor visits for aftercare of musculoskeletal system & connective tissue diseases,Doctor visits for aftercare of musculoskeletal system & connective tissue diseases,8.0,swe
249X,"Aftercare, musculoskeletal system & connective tissue","Aftercare, musculoskeletal system & connective tissue",8.0,est/lat/ice/fin/nor
250C,"Fracture, sprain, strain or dislocation of forearm, hand or foot, w CC","Fracture, sprain, strain or dislocation of forearm, hand or foot, w CC",8.0,swe
250X,"Fracture, sprain, strain or dislocation of forearm, hand or foot, age >17, w cc","Fx/sprn/strn/disl of forearm/hand/foot,age >17,w cc",8.0,est/lat/ice/fin/nor
251N,"Fracture, sprain, strain or dislocation of forearm, hand or foot, w/o CC","Fracture, sprain, strain or dislocation of forearm, hand or foot, w/o CC",8.0,swe
251O,"Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot","Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot",8.0,swe
251X,"Fracture, sprain, strain or dislocation of forearm, hand or foot, age >17 w/o cc","Fx/sprn/strn/disl of forearm/hand/foot,age >17,w/o cc",8.0,est/lat/ice/fin/nor
252X,"Fracture, sprain, strain or dislocation of forearm, hand or foot, age 0-17","Fx/sprn/strn/disl of forearm/hand/foot,age 0-17",8.0,est/lat/ice/fin/nor
253X,"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC","Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC",8.0,est/swe/lat/ice/fin/nor
254P,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC",8.0,swe
254Q,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w/o CC","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w/o CC",8.0,swe
254X,"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w/o CC","Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w/o CC",8.0,est/swe/lat/ice/fin/nor
255C,"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w CC","Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w CC",8.0,swe
255N,"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17,w/o CC","Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17,w/o CC",8.0,swe
255O,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17",8.0,swe
255X,"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17","Fx/sprn/strn/disl of uparm/lowleg ex foot,age 0-17",8.0,est/lat/ice/fin/nor
256C,"Other musculoskeletal system & connective tissue diseases, w CC","Other musculoskeletal system & connective tissue diseases, w CC",8.0,swe
256N,"Other musculoskeletal system & connective tissue diseases, w/o CC","Other musculoskeletal system & connective tissue diseases, w/o CC",8.0,swe
256O,"Other musculosceletal system & connective tissue diagnosis , short therapy","Other musculosceletal system & connective tissue dg, sh th",8.0,nor
256X,Other musculosceletal system & connective tissue diagnosis,Other musculosceletal system & connective tissue diagnosis,8.0,est/lat/ice/fin/nor
257X,Total mastectomy for malignancy w cc,Total mastectomy for malignancy w cc,30.0,est/lat/ice/fin/nor
258O,"Total mastectomy for malignancy, short therapy","Total mastectomy for malignancy, short therapy",30.0,est/swe/lat/ice/fin/nor
258X,"Total mastectomy for malignancy, w/o CC","Total mastectomy for malignancy, w/o CC",30.0,est/swe/lat/ice/fin/nor
259A,Subtotal mastectomy for malignancy w cc,Subtotal mastectomy for malignancy w cc,9.0,fin
259B,Subtotal mastectomy and reconstruction of breast for malignancy,Subtotal mastectomy and reconstruction for malignancy,9.0,fin
259X,Subtotal mastectomy for malignancy w cc,Subtotal mastectomy for malignancy w cc,30.0,est/lat/ice/nor
260O,"Subtotal mastectomy for malignancy, short therapy","Subtotal mastectomy for malignancy, short therapy",30.0,est/swe/lat/ice/fin/nor
260X,"Subtotal mastectomy for malignancy, w/o CC","Subtotal mastectomy for malignancy, w/o CC",9.0,est/swe/lat/ice/fin/nor
261O,"Breast procedures for non-malignancy except biopsy & local excision, short therapy","Breast procedures for non-malignancy except biopsy & local excision, short therapy",9.0,est/swe/lat/ice/fin/nor
261X,Breast procedures for non-malignancy except biopsy & local excision,Breast procedures for non-malignancy except biopsy & local excision,9.0,est/swe/lat/ice/fin/nor
262O,"Breast biopsy & local excision for non-malignancy, short therapy","Breast biopsy & local excision for non-malignancy, short therapy",30.0,est/swe/lat/ice/fin/nor
262X,Breast biopsy & local excision for non-malignancy,Breast biopsy & local excision for non-malignancy,9.0,est/swe/lat/ice/fin/nor
263X,"Skin graft &/or debridement for skin ulcer or cellulitis, w CC","Skin graft &/or debridement for skin ulcer or cellulitis, w CC",9.0,est/swe/lat/ice/fin/nor
264X,"Skin graft &/or debridement for skin ulcer or cellulitis, w/o CC","Skin graft &/or debridement for skin ulcer or cellulitis, w/o CC",9.0,est/swe/lat/ice/fin/nor
265X,"Skin graft &/or debridement except for skin ulcer or cellulitis, w CC","Skin graft &/or debridement except for skin ulcer or cellulitis, w CC",9.0,est/swe/lat/ice/fin/nor
266O,"Skin graft &/or debridement for skin ulcer or cellulitis, short therapy","Skin graft &/or debridement for skin ulcer or cellulitis, short therapy",9.0,est/swe/lat/ice/fin/nor
266X,"Skin graft &/or debridement except for skin ulcer or cellulitis, w/o CC","Skin graft &/or debridement except for skin ulcer or cellulitis, w/o CC",9.0,est/swe/lat/ice/fin/nor
267O,"Perianal & pilonidal procedures, short therapy","Perianal & pilonidal procedures, short therapy",9.0,est/swe/lat/ice/fin/nor
267X,Perianal & pilonidal procedures,Perianal & pilonidal procedures,9.0,est/swe/lat/ice/fin/nor
268C,"Skin & subcutaneous tissue plastic procedures, w CC","Skin & subcutaneous tissue plastic procedures, w CC",9.0,swe
268N,"Skin & subcutaneous tissue plastic procedures, w/o CC","Skin & subcutaneous tissue plastic procedures, w/o CC",9.0,swe
268O,"Skin & subcutaneous tissue plastic procedures, short therapy","Skin & subcutaneous tissue plastic procedures, short therapy",9.0,est/swe/lat/ice/fin/nor
268X,Skin & subcutaneus tissue plastic procedures,Skin & subcutaneus tissue plastic procedures,9.0,est/lat/ice/fin/nor
269C,"Other skin & subcutaneous tissue procedures, w CC","Other skin & subcutaneous tissue procedures, w CC",9.0,swe
269M,"Other skin & subcutaneous tissue procedures, w MCC","Other skin & subcutaneous tissue procedures, w MCC",9.0,swe
269X,Other skin & subcut tiss proc w cc,Other skin & subcut tiss proc w cc,9.0,est/lat/ice/fin/nor
270O,"Other skin & subcutaneous tissue procedures, short therapy","Other skin & subcutaneous tissue procedures, short therapy",9.0,est/swe/lat/ice/fin/nor
270X,"Other skin & subcutaneous tissue procedures, w/o CC","Other skin & subcutaneous tissue procedures, w/o CC",9.0,est/swe/lat/ice/fin/nor
271C,"Chronic skin ulcers, w CC","Chronic skin ulcers, w CC",9.0,swe
271N,"Chronic skin ulcers, w/o CC","Chronic skin ulcers, w/o CC",9.0,swe
271O,"Chronic skin ulcers, short therapy","Chronic skin ulcers, short therapy",9.0,swe/nor
271X,Skin ulcers,Skin ulcers,9.0,est/lat/ice/fin/nor
272C,"Major skin disorders including malignant melanoma, w CC","Major skin disorders including malignant melanoma, w CC",9.0,swe
272M,"Major skin disorders including malignant melanoma, w MCC","Major skin disorders including malignant melanoma, w MCC",9.0,swe
272X,Major skin disorders w cc,Major skin disorders w cc,9.0,est/lat/ice/fin/nor
273O,Doctor visits for major skin disreases including malignant melanoma,Doctor visits for major skin disreases including malignant melanoma,9.0,swe
273X,"Major skin disorders including malignant melanoma, w/o CC","Major skin disorders including malignant melanoma, w/o CC",9.0,est/swe/lat/ice/fin/nor
274X,"Malignant breast diseases,  w CC","Malignant breast diseases,  w CC",9.0,est/swe/lat/ice/fin/nor
275FA,"Malignant breast disorders w/o cc, radiotherapy","Malignant breast disorders w/o cc, radiotherapy",9.0,fin
275FB,"Malignant breast disorders w/o cc, cytostatic therapy","Malignant breast disorders w/o cc, cytostatic therapy",9.0,fin
275FE,Malignant breast disorders w/o cc,Malignant breast disorders w/o cc,9.0,fin
275O,"Malignant breast diseases, short therapy","Malignant breast diseases, short therapy",9.0,swe/nor
275X,"Malignant breast diseases, w/o CC                                        ","Malignant breast diseases, w/o CC                                        ",9.0,est/swe/lat/ice/nor
276X,Non-malignant breast diseases,Non-malignant breast diseases,9.0,est/swe/lat/ice/fin/nor
277C,"Cellulitis, w CC","Cellulitis, w CC",9.0,swe
277M,"Cellulitis, w MCC","Cellulitis, w MCC",9.0,swe
277X,Cellulitis age > 17 w cc,Cellulitis age > 17 w cc,9.0,est/lat/ice/fin/nor
278N,"Cellulitis, w/o CC","Cellulitis, w/o CC",9.0,swe
278O,Doctor visits for cellulitis,Doctor visits for cellulitis,9.0,swe
278X,Cellulitis age > 17 w/o cc,Cellulitis age > 17 w/o cc,9.0,est/lat/ice/fin/nor
279X,Cellulitis age 0-17,Cellulitis age 0-17,9.0,est/lat/ice/fin/nor
280C,"Trauma to the skin & subcutaneous tissue, age >17, w CC","Trauma to the skin & subcutaneous tissue, age >17, w CC",9.0,swe
280M,"Trauma to the skin & subcutaneous tissue, w MCC","Trauma to the skin & subcutaneous tissue, w MCC",9.0,swe
280X,Trauma to the skin & subcut tiss age > 17 w cc,Trauma to the skin & subcut tiss age > 17 w cc,9.0,est/lat/ice/fin/nor
281N,"Trauma to the skin & subcutaneous tissue, age > 17, w/o CC","Trauma to the skin & subcutaneous tissue, age > 17, w/o CC",9.0,swe
281O,"Doctor visits for trauma to the skin & subcutaneous tissue, age >17","Doctor visits for trauma to the skin & subcutaneous tissue, age >17",9.0,swe/nor
281X,"Trauma to the skin & subcut tiss, age > 17 w/o cc","Trauma to the skin & subcut tiss, age > 17 w/o cc",9.0,est/lat/ice/fin/nor
282N,"Trauma to the skin and subcutaneous tissue, age 0-17, w/o CC","Trauma to the skin and subcutaneous tissue, age 0-17, w/o CC",9.0,swe
282O,"Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17","Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17",9.0,swe
282X,"Trauma to the skin and subcutaneous tissue, age 0-17","Trauma to the skin, subcut tiss & breast, age 0-17",9.0,est/lat/ice/fin/nor
283C,"Minor skin disorders, skin tumours including squamous cell carcinoma, w CC","Minor skin disorders, skin tumours including squamous cell carcinoma, w CC",9.0,swe
283M,"Minor skin disorders, skin tumours including squamous cell carcinoma,  w MCC","Minor skin disorders, skin tumours including squamous cell carcinoma,  w MCC",9.0,swe
283X,Minor skin disorders w cc,Minor skin disorders w cc,9.0,est/lat/ice/fin/nor
284A,"Minor skin disorders w/o cc, age > 16 years","Minor skin disorders w/o cc, age > 16 years",9.0,fin
284B,"Minor skin disorders w/o cc, age 0-15 years","Minor skin disorders w/o cc, age 0-15 yrs",9.0,fin
284O,"Tumour of skin, short therapy","Tumour of skin, short therapy",9.0,nor
284P,"Papulosquamous skin disorder, short therapy","Papulosquamous skin disorder, short therapy",9.0,nor
284Q,"Dermatitis and eczema, short therapy","Dermatitis and eczema, short therapy",9.0,nor
284X,"Minor skin disorders, skin tumours including squamous cell carcinoma, w/o CC","Minor skin disorders, skin tumours including squamous cell carcinoma, w/o CC",9.0,est/swe/lat/ice/fin/nor
285C,"Amputation of lower limb for endocrine, nutritional, & metabolic diseases, w CC","Amputation of lower limb for endocrine, nutritional, & metabolic diseases, w CC",10.0,swe
