drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
315E,Peritoneaaldialüüsi kateetri asetamine neerude ja kuseteede haiguste korral,Peritoneaaldialüüsi kateetri asetamine neerude ja kuseteede,315E,Insertion of catheter for peritoneal dialysis,Insertion of catheter for peritoneal dialysis,11,est
315O,"Neerude ja kuseteede muud operatsioonid, lühike ravi","Neerude ja kuseteede muud opid, lüh.ravi",315O,"Other kidney & urinary tract OR procedures, short therapy","Other kidney & urinary tract OR procedures, short therapy",11,est
316,Neerupuudulikkus,Neerupuudulikkus,316X,Kidney failure,Kidney failure,11,est
317,Neerude dialüüsravi,Neerude dialüüsravi,317X,"Renal dialysis, including preparations","Renal dialysis, including preparations",11,est
317O,"Neerude dialüüsravi, lühike ravi","Neerude dialüüsravi, lüh.ravi",317O,"Renal dialysis, including preparations, short therapy","Renal dialysis, including preparations, short therapy",11,est
318,"Neerude ja kuseteede kasvajad, kht-ga","Neerude ja kuseteede kasvajad, kht-ga",318X,Kidney & urinary tract neoplasms w cc,Kidney & urinary tract neoplasms w cc,11,est
319,"Neerude ja kuseteede kasvajad, kht-ta","Neerude ja kuseteede kasvajad, kht-ta",319X,"Kidney & urinary tract neoplasms, w/o CC","Kidney & urinary tract neoplasms, w/o CC",11,est
320,"Neerude ja kuseteede infektsioonid, vanus >17, kht-ga","Neerude ja kuseteede infektsioonid, vanus >17, kht-ga",320X,Kidney & urinary tract infections age > 17 w cc,Kidney & urinary tract infections age > 17 w cc,11,est
321,"Neerude ja kuseteede infektsioonid, vanus >17, kht-ta","Neerude ja kuseteede infektsioonid, vanus >17, kht-ta",321X,Kidney & urinary tract infections age > 17 w/o cc,Kidney & urinary tract infections age > 17 w/o cc,11,est
322,"Neerude ja kuseteede infektsioonid, vanus 0-17","Neerude ja kuseteede infektsioonid, vanus 0-17",322X,Kidney & urinary tract infections age 0-17,Kidney & urinary tract infections age 0-17,11,est
323,"Kuseteede kivid, kht-ga","Kuseteede kivid, kht-ga",323X,"Urinary stones w CC, &/or Extracorporeal Shock Wave Lithotripsy (ESWL) ","Urinary stones w CC, &/or Extracorporeal Shock Wave Lithotripsy (ESWL) ",11,est
323O,"Litotripsia,lühike ravi","Litotripsia,lüh.ravi",323O,"Lithotripsy, short therapy","Lithotripsy, short therapy",11,est
324,"Kuseteede kivid, kht-ta","Kuseteede kivid, kht-ta",324X,"Urinary stones, w/o CC","Urinary stones, w/o CC",11,est
325,"Neerude ja kuseteede haiguste tunnused ja sümptomid, vanus >17, kht-ga","Neerude ja kuset. haiguste tunnused ja sümpt, vanus >17, kht",325X,Kidney & urinary tract signs & symptoms age > 17 w cc,Kidney & urinary tract signs & symptoms age > 17 w cc,11,est
326,"Neerude ja kuseteede haiguste tunnused ja sümptomid, vanus >17, kht-ta","Neerude ja kuset. haiguste tunnused ja sümpt,  vanus >17, kh",326X,Kidney & urinary tract signs & symptoms age > 17 w/o cc,Kidney & urinary tract signs & symptoms age > 17 w/o cc,11,est
327,"Neerude ja kuseteede haiguste tunnused ja sümptomid, vanus 0-17","Neerude ja kuset. haiguste tunnused ja sümpt, vanus 0-17",327X,Kidney & urinary tract signs & symptoms age 0-17,Kidney & urinary tract signs & symptoms age 0-17,11,est
329N,Kusiti striktuur,Kusiti striktuur,329N,Urethral stricture,Urethral stricture,11,est
331,"Neerude ja kuseteede muud haigused, vanus >17, kht-ga","Neerude ja kuseteede muud haigused, vanus >17, kht-ga",331X,Other kidney & urinary tract diagnoses age > 17 w cc,Other kidney & urinary tract diagnoses age > 17 w cc,11,est
332,"Neerude ja kuseteede muud haigused, vanus >17, kht-ta","Neerude ja kuseteede muud haigused, vanus >17, kht-ta",332X,"Other kidney & urinary tract diagnoses, age > 17, w/o CC","Other kidney & urinary tract diagnoses, age > 17, w/o CC",11,est
333,"Neerude ja kuseteede muud haigused, vanus 0-17","Neerude ja kuseteede muud haigused, vanus 0-17",333X,Other kidney & urinary tract diagnoses age 0-17,Other kidney & urinary tract diagnoses age 0-17,11,est
334,"Mehe vaagnaelundite suured operatsioonid, kht-ga","Mehe vaagnaelundite suured opid, kht-ga",334X,Major male pelvic procedure w cc,Major male pelvic procedure w cc,12,est
335,"Mehe vaagnaelundite suured operatsioonid, kht-ta","Mehe vaagnaelundite suured opid, kht-ta",335X,Major male pelvic procedure w/o cc,Major male pelvic procedure w/o cc,12,est
335O,"Mehe vaagnaelundite suured operatsioonid, lühike ravi","Mehe vaagnaelundite suured opid, lüh.ravi",335O,"Major male pelvic procedure, short therapy","Major male pelvic procedure, short therapy",12,est
336,"Transuretraalne prostatektoomia, kht-ga","Transuretraalne prostatektoomia, kht-ga",336X,Transurethral prostatectomy w cc,Transurethral prostatectomy w cc,12,est
337,"Transuretraalne prostatektoomia, kht-ta","Transuretraalne prostatektoomia, kht-ta",337X,Transurethral prostatectomy w/o cc,Transurethral prostatectomy w/o cc,12,est
337O,"Transuretraalne prostatektoomia, lühike ravi","Transuretraalne prostatektoomia, lüh.ravi",337O,"Transurethral prostatectomy, short therapy","Transurethral prostatectomy, short therapy",12,est
338,Operatsioonid munandite pahaloomuliste kasvajate korral,opid munandite pahaloomuliste kasvajate korral,338X,Testes procedures for malignancy,Testes procedures for malignancy,12,est
339,"Operatsioonid munandite mittepahaloomuliste kasvajate korral, vanus >17","opid munandite mittepahaloomuliste kasvajate korral, vanus >",339X,"Testes procedures for non-malignancy, age > 17","Testes procedures for non-malignancy, age > 17",12,est
340,"Operatsioonid munandite mittepahaloomuliste kasvajate korral, vanus 0-17","opid munandite mittepahaloomuliste kasvajate korral, vanus 0",340X,"Testes procedures for non-malignancy, age 0-17","Testes procedures for non-malignancy, age 0-17",12,est
340O,"Operatsioonid munanditel, lühike ravi","opid munanditel, lüh.ravi",340O,"Testes procedures, short therapy","Testes procedures, short therapy",12,est
341,Peenise operatsioonid,Peenise opid,341X,Penis procedures,Penis procedures,12,est
341O,"Peenise operatsioonid, lühike ravi","Peenise opid, lüh.ravi",341O,"Penis procedures, short therapy","Penis procedures, short therapy",12,est
342N,Tsirkumtsisioon,Circumcisio,342N,Circumcision,Circumcision,12,est
343O,"Tsirkumtsisioon, lühike ravi","Tsirkumtsisioon, lüh.ravi",343O,"Circumcision, short therapy","Circumcision, short therapy",12,est
344,Muud operatsioonid mehe reproduktiivsüsteemi pahaloomuliste kasvajate korral,Muud opid mehe reproduktiivsüsteemi pahal.kasvajate korral,344X,Other male reproductive system o. r. procedures for malignancy,Other male reproductive system o. r. procedures for malignan,12,est
345,"Muud operatsioonid mehe reproduktiivsüsteemi kasvajate, v.a pahaloomuliste kasvajate korral","Muud opid mehe repr.üst. kasvajate, v.a p.loomuliste kasvaja",345X,Other male reproductive system OR procedures except for malignancy,Other male reproductive system OR procedures except for malignancy,12,est
345O,"Muud mehe reproduktiivsüsteemi operatsioonid, lühike ravi","Muud mehe reproduktiivsüsteemi opid, lüh.ravi",345O,"Other male reproductive system OR procedures, short therapy","Other male reproductive system OR procedures, short therapy",12,est
346,"Mehe reproduktiivsüsteemi pahaloomulised kasvajad, kht-ga","Mehe reproduktiivsüsteemi pahaloomulised kasvajad, kht-ga",346X,"Malignancy in the male reproductive system, w CC","Malignancy in the male reproductive system, w CC",12,est
347,"Mehe reproduktiivsüsteemi pahaloomulised kasvajad, kht-ta","Mehe reproduktiivsüsteemi pahaloomulised kasvajad, kht-ta",347X,"Malignancy in the male reproductive system, w/o CC","Malignancy in the male reproductive system, w/o CC",12,est
348,"Eesnäärme healoomuline hüpertroofia, kht-ga","Eesnäärme healoomuline hüpertroofia, kht-ga",348X,Benign prostatic hypertrophy w cc,Benign prostatic hypertrophy w cc,12,est
349,"Eesnäärme healoomuline hüpertroofia, kht-ta","Eesnäärme healoomuline hüpertroofia, kht-ta",349X,Benign prostatic hypertrophy w/o cc,Benign prostatic hypertrophy w/o cc,12,est
350,Mehe reproduktiivsüsteemi põletikud,Mehe reproduktiivsüsteemi põletikud,350X,Inflammation of the male reproductive system,Inflammation of the male reproductive system,12,est
351,Mehe steriliseerimine,Mehe steriliseerimine,351X,"Sterilization, male","Sterilization, male",12,est
351O,"Mehe steriliseerimine, lühike ravi","Mehe steriliseerimine, lüh.ravi",351O,"Sterilization, male , short therapy","Sterilization, male , short therapy",12,est
352,Muud mehe reproduktiivsüsteemi haigused,Muud mehe reproduktiivsüsteemi haigused,352X,Other male reproductive system diagnoses,Other male reproductive system diagnoses,12,est
353,"Vaagnaelundite evistseratsioon, radikaalne hüsterektoomia ja radikaalne vulvektoomia","Vaagnael. evists., rad. hüsterekt.ja rad. vulvekt., lühike r",353X,"Pelvic evisceration, radical hysterectomy & radical vulvectomy","Pelvic evisceration, radical hysterectomy & radical vulvecto",13,est
353O,"Vaagnaelundite evistseratsioon, radikaalne hüsterektoomia ja radikaalne vulvektoomia, lüh.ravi","Vaagnael. evists., rad. hüsterekt.ja rad. vulvekt., lühike r",353O,"Pelvic evisceration, radical hysterectomy & radical vulvectomy, short therapy","Pelvic evisceration, radical hysterectomy & radical vulvectomy, short therapy",13,est
354,"Naise reproduktiivsüsteemi operatsioonid pahaloomuliste kasvajate korral, v.a munasarjad või emakamanused, kht-ga","Naise repr.süst.op-d pahal.kasv. korral, v.a munas. või em.m",354X,"Uterine, adnexa proc for non-ovarian/adnexal malig w cc","Uterine, adnexa proc for non-ovarian/adnexal malig w cc",13,est
355,"Naise reproduktiivsüsteemi operatsioonid pahaloomuliste kasvajate korral, v.a munasarjad või emakamanused, kht-ta","Naise repr.süst.op-d pahal.kasv. korral, v.a munas. või em.m",355X,"Uterine & adnexa procedures for non-ovarian/adnexal malignancies,  w/o CC","Uterine & adnexa procedures for non-ovarian/adnexal malignancies,  w/o CC",13,est
355O,"Naise reproduktiivsüsteemi operatsioonid pahaloomuliste kasvajate korral, v.a munasarjad või emakamanused, lühike ravi","Naise repr.süst.op-d pahal.kasv. korral, v.a munas. või em.m",355O,"Uterine and adnexal procedures for non-ovarian/adnexal malignancy, short therapy","Uterine and adnexal procedures for non-ovarian/adnexal malignancy, short therapy",13,est
356,Naise reproduktiivsüsteemi rekonstruktiivsed operatsioonid,Naise reproduktiivsüsteemi rekonstruktiivsed operatsioonid,356X,"Reconstructive, or other female reproductive system procedures  ","Reconstructive, or other female reproductive system procedures  ",13,est
356O,"Naise reproduktiivsüsteemi rekonstruktiivsed operatsioonid, lühike ravi","Naise reproduktiivsüsteemi rekonstruktiivsed operatsioonid,",356O,"Reconstructive, or other female reproductive system procedures, short therapy  ","Reconstructive, or other female reproductive system procedures, short therapy  ",13,est
357,Emaka ja emakamanuste operatsioonid munasarja või emakamanuste pahaloomuliste kasvajate korral,Emaka ja emakaman. op-d munas.või em.man pahal. kasv.korral,357X,Uterine & adnexa proc for ovarian or adnexal malignancy,Uterine & adnexa proc for ovarian or adnexal malignancy,13,est
357O,"Emaka ja emakamanuste operatsioonid munasarja või emakamanuste pahaloomuliste kasvajate korral, lühike ravi","Emaka ja emakaman. op-d munas.või em.man pahal. kasv.korral,",357O,"Uterine & adnexal procedures for ovarian or adnexal non-malignancy, short therapy","Uterine & adnexal procedures for ovarian or adnexal non-malignancy, short therapy",13,est
358,"Emaka ja emakamanuste operatsioonid munasarja või emakamanuste mittepahaloomuliste kasvajate korral, kht-ga",Emaka ja emakaman. op-d munas.või em.man mittepahal. kasv.ko,358X,Uterine & adnexa proc for ovarian or adnexal non-malignancy w cc,Uterine & adnexa proc for ovarian or adnexal non-malignancy,13,est
359,"Emaka ja emakamanuste operatsioonid munasarja või emakamanuste mittepahaloomuliste kasvajate korral, kht-ta",Emaka ja emakaman. op-d munas.või em.man mittepahal. kasv.ko,359X,"Uterine & adnexa procedures for ovarian or adnexal non-malignancies, w/o CC","Uterine & adnexa procedures for ovarian or adnexal non-malignancies, w/o CC",13,est
359O,"Emaka ja emakamanuste operatsioonid munasarja või emakamanuste mittepahaloomuliste kasvajate korral, lühike ravi",Emaka ja emakaman. op-d munas.või em.man mittepahal. kasv.ko,359O,"Uterine and adnexa procedure for ovarian or adnexal non-malignancy, short therapy","Uterine and adnexa proc for ovarian or adnexal non-malign, sho the",13,est
360,"Tupe, emakakaela ja vulva operatsioonid","Tupe, emakakaela ja vulva opid",360X,"Vagina, cervix & vulva procedures","Vagina, cervix & vulva procedures",13,est
360O,"Tupe, emakakaela ja vulva operatsioonid, lühike ravi","Tupe, emakakaela ja vulva opid, lüh.ravi",360O,"Vagina, cervix & vulva procedures , short therapy","Vagina, cervix & vulva procedures , short therapy",13,est
361,Günekoloogiline laparoskoopia või naise steriliseerimine laparotoomial,Gün. laparosk. või naise steril.laparotoomial,361X,Gynecological laparoscopy or sterilization in laparatomy,Gynecological laparoscopy or sterilization in laparatomy,13,est
361O,"Günekoloogiline laparoskoopia või naise steriliseerimine laparotoomial, lühike ravi","Gün. laparosk. või naise steril.laparotoomial, lüh.ravi",361O,"Gynecological laparoscopy or  sterilization in laparatomy, short therapy","Gynecological laparoscopy or  sterilization in laparatomy, short therapy",13,est
362,Laparoskoopiline või muu endoskoopiline steriliseerimine,Laparoskoopiline või muu endoskoopiline steriliseerimine,362X,Laparoscopic or other endoscopic sterilization,Laparoscopic or other endoscopic sterilization,13,est
362O,"Laparoskoopiline või muu endoskoopiline steriliseerimine, lühike ravi","Laparoskoopiline või muu endoskoopiline steriliseerimine, lü",362O,"Laparoscopic or other endoscopic sterilization, short therapy","Laparoscopic or other endoscopic sterilization, short therapy",13,est
363,"Emaka abrasioon, emakakaela konisatsioon ja radioimplantaadi paigaldamine pahaloomuliste kasvajate korral","Emaka abr., emakak. konis. ja radioimpl.paigald. pahal. kasv",363X,"D&c, conization & radio-implant, for malignancy","D&c, conization & radio-implant, for malignancy",13,est
364,"Emaka abrasioon, emakakaela konisatsioon mittepahaloomuliste kasvajate korral","Emaka abr., emakak. konis.  mittepahaloomuliste kasvajate ko",364X,"D&c, conization, for non-malignancy","D&c, conization, for non-malignancy",13,est
364O,"Emaka abrasioon, emakakaela konisatsioon mittepahaloomuliste kasvajate korral, lühike ravi","Emaka abr., emakak. konis. ja radioimpl.paigald. pahal. kasv",364O,"D&C, conization, for non-malignancy , short therapy","D&C, conization, for non-malignancy , short therapy",13,est
365,Naise reproduktiivsüsteemi muud operatsioonid,Naise reproduktiivsüsteemi muud opid,365X,Other female reproductive system o. r. procedures,Other female reproductive system o. r. procedures,13,est
365O,"Naise reproduktiivsüsteemi muud operatsioonid, lühike ravi","Naise reproduktiivsüsteemi muud opid, lüh.ravi",365O,"Other female reproductive system OR procedures, short therapy","Other female reproductive system OR procedures, short therapy",13,est
366,"Naise reproduktiivsüsteemi pahaloomulised kasvajad, kht-ga","Naise reproduktiivsüsteemi pahaloomulised kasvajad, kht-ga",366X,"Malignancy, female reproductive  system w cc","Malignancy, female reproductive  system w cc",13,est
367,"Naise reproduktiivsüsteemi pahaloomulised kasvajad, kht-ta","Naise reproduktiivsüsteemi pahaloomulised kasvajad, kht-ta",367X,"Malignancy, female reproductive  system, w/o CC","Malignancy, female reproductive  system, w/o CC",13,est
368,Naise reproduktiivsüsteemi infektsioonid,Naise reproduktiivsüsteemi infektsioonid,368X,"Infections, female reproductive system","Infections, female reproductive system",13,est
369,Menstruatsioonihäired ja muud naise reproduktiivsüsteemi haigused,Menstruatsioonihäired ja muud naise reproduktiivsüsteemi hai,369X,Menstrual & other female reproductive system disorders,Menstrual & other female reproductive system disorders,13,est
370,"Keisrilõige, kht-ga","Keisrilõige, kht-ga",370X,Cesarean section w cc,Cesarean section w cc,14,est
371,"Keisrilõige, kht-ta","Keisrilõige, kht-ta",371X,"Cesarean section, w/o CC","Cesarean section, w/o CC",14,est
371O,"Keisrilõige, lühike ravi","Keisrilõige, lüh.ravi",371O,"Cesarean section, short therapy","Cesarean section, short therapy",14,est
372,"Vaginaalne sünnitus, kht-ga","Vaginaalne sünnitus, kht-ga",372X,Vaginal delivery w complicating diagnoses,Vaginal delivery w complicating diagnoses,14,est
373,"Vaginaalne sünnitus, kht-ta","Vaginaalne sünnitus, kht-ta",373X,"Vaginal delivery, w/o CC","Vaginal delivery, w/o CC",14,est
373O,"Vaginaalne sünnitus, lühike ravi","Vaginaalne sünnitus, lüh.ravi",373O,"Vaginal delivery, short therapy","Vaginal delivery, short therapy",14,est
374,Vaginaalne sünnitus koos steriliseerimisega ja/või emakaõõne abrasiooniga,Vag. sünnitus koos steril-ga ja/või emakaõõne abrasiooniga,374X,Vaginal delivery with sterilization &/or D&C,Vaginal delivery with sterilization &/or D&C,14,est
375,"Vaginaalne sünnitus koos operatsiooniga, v.a sterilisatsioon ja/või emakaõõne abrasioon","Vag. sünnitus koos opiga, v.a steril. ja/või emakaõõne abras",375X,Vaginal delivery w o. r. proc except steril &/or d&c,Vaginal delivery w o. r. proc except steril &/or d&c,14,est
376,"Sünnitus- ja abordijärgsed haigused, operatsioonita","Sünnitus- ja abordijärgsed haigused, opita",376X,Postpartum & post abortion diagnoses w/o o. r. procedure,Postpartum & post abortion diagnoses w/o o. r. procedure,14,est
377N,"Sünnitusabi probleem, vajalik operatsioon","Sünnitusabi probleem, vajalik op",377N,Obstetrical problem with other OR procedure,Obstetrical problem with other OR procedure,14,est
377O,"Sünnitus- ja abordijärgsed haigused, operatsioonita, lühike ravi","Sünnitus- ja abordijärgsed haigused, opita, lüh.ravi",377O,"Obstetrical problems with other OR procedures or other procedures in general anaesthesia, short therapy              ","Obstetrical problems with other OR procedures or other procedures in general anaesthesia, short therapy              ",14,est
378N,Operatsioon emakavälise raseduse korral,op emakavälise raseduse korral,378N,Operation for ectopic pregnancy,Operation for ectopic pregnancy,14,est
379,Ähvardav iseeneslik abort,Ähvardav iseeneslik abort,379X,Threatened abortion,Threatened abortion,14,est
380,Abort emakaõõne abrasioonita,Abort emakaõõne abrasioonita,380X,Abortion w/o d&c,Abortion w/o d&c,14,est
381,"Abort koos emakaõõne abrasiooni, vaakumaspiratsiooni või hüsterotoomiaga","Abort koos emakaõõne abras., vaakumasp. või hüsterot-ga",381X,"Abortion w d&c, aspiration curettage or hysterotomy","Abortion w d&c, aspiration curettage or hysterotomy",14,est
381O,"Abort, lühike ravi","Abort, lüh.ravi",381O,"Surgery after abortion or child birth, short therapy","Surgery after abortion or child birth, short therapy",14,est
382,Ebatuhud,Ebatuhud,382X,False labor,False labor,14,est
383,"Muud rasedusaegsed haigused, tüsistustega","Muud rasedusaegsed haigused, tüsistustega",383X,Other antepartum diagnoses w medical complications,Other antepartum diagnoses w medical complications,14,est
384,"Muud rasedusaegsed haigused, tüsistusteta","Muud rasedusaegsed haigused, tüsistusteta",384X,Other antepartum diagnoses w/o medical complications,Other antepartum diagnoses w/o medical complications,14,est
385A,"Vastsündinu, kes suri 2 päeva jooksul või viidi üle teise osakonda 5 päeva jooksul","Vasts, kes suri 2 p jooksul või viidi üle teise osak. 5 päev",385A,"Neonate, died within 2 days or transferred to other unit within 5 days","Neonate, died within 2 days or transferred to other unit within 5 days",15,est
385B,Järelravi vastsündinuea haiguste või hiljem avaldunud neonataalsete haiguste tõttu,Järelravi vastsündinuea haig. või hiljem avaldunud neon. hai,385B,"Follow-up care of neonatal problems or delayed neonatal problem, birth weight 1000 g or more",Follow-up care of neonatal problems or delayed neonatal prob,15,est
385C,<1000 g sünnikaaluga vastsündinute järelravi,<1000g sünnikaaluga vastsündinute järelravi,385C,"Neonate, arrived during first two days of life, not treated in a NICU, remitted to other hospital with duration of treatment less than 5 days","Neonate, arrived during first two days of life, not treated",15,est
386N,<1000 g sünnikaaluga vastsündinu,<1000 g sünnikaaluga vastsündinu,386N,"Neonate, birthweight  under 1000 g","Neonate, birthweight  under 1000 g",15,est
387N,1000-1499g sünnikaaluga vastsündinud,1000-1499g sünnikaaluga vastsündinud,387N,"Neonate, birthweight 1000-1499 g","Neonate, birthweight 1000-1499 g",15,est
388A,"1500-2499 g sünnikaaluga vastsündinu, paljude haigusseisunditega","1500-2499 g sünnikaaluga vastsündinu, paljude haigusseisundi",388A,"Neonate, birthweight 1500-2499 g or other immaturity with multiple problems","Neonate, birthweight 1500-2499 g or other immaturity with multiple problems",15,est
388B,1500-2499 g sünnikaaluga vastsündinu,1500-2499 g sünnikaaluga vastsündinu,388B,"Neonate, birthweight 1500-2499 g or other immaturity without multiple problems","Neonate, birthweight 1500-2499 g or other immaturity without multiple problems",15,est
388C,"1500-2499 g sünnikaaluga vastsündinu, hingamisraviga, operatsiooniga, elus","1500-2499 g sünnikaaluga vastsündinu, hingamisraviga, opiga,",388C,Respiratory distress syndrome of premature infant                  ,Respiratory distress syndrome of premature infant                  ,15,est
389A,"Vastsündinu, teostatud operatsioon","Vastsündinu, teostatud op",389A,"Neonate, birthweight 1500 g or more,  with major operation","Neonate, birthweight 1500 g or more,  with major operation",15,est
389B,Vastsündinu mitmete haigusseisunditega,Vastsündinu mitmete haigusseisunditega,389B,"Neonate, birthweight 2500 g or more, with multiple problems","Neonate, birthweight 2500 g or more, with multiple problems",15,est
389C,"Vastsündinu paljude haigusseisunditega, hingamisraviga, elus vähemalt ühe ööpäeva","Vastsünd. paljude h.seisund-ga, hinga.raviga, elus vähemalt",389C,Respiratory distress syndrome of mature infant                  ,Respiratory distress syndrome of mature infant                  ,15,est
390,"Vastsündinu, muude haigusseisunditega","Vastsündinu, muude haigusseisunditega",390X,"Neonate, birthweight 2500 g or more, with other significant problem","Neonate, birthweight 2500 g or more, with other significant problem",15,est
391,Normaalne vastsündinu,Normaalne vastsündinu,391X,Normal newborn,Normal newborn,15,est
392,"Splenektoomia, vanus >17","Splenektoomia, vanus >17",392X,Splenectomy age > 17,Splenectomy age > 17,16,est
393,"Splenektoomia, vanus 0-17","Splenektoomia, vanus 0-17",393X,Splenectomy age 0-17,Splenectomy age 0-17,16,est
394,Vere ja vereloomeelundite muud operatsioonid,Vere ja vereloomeelundite muud opid,394X,Other OR procedures of the blood and blood forming organs         ,Other OR procedures of the blood and blood forming organs         ,16,est
394O,"Vere ja vereloomeelundite muud operatsioonid, lühike ravi","Vere ja vereloomeelundite muud opid, lüh.ravi",394O,"Other OR procedures of the blood and blood forming organs, short therapy   ","Other OR procedures of the blood and blood forming organs, short therapy   ",16,est
395,"Vere punalibledega seotud haigused, vanus >17","Vere punalibledega seotud haigused, vanus >17",395X,Red blood cell disorders > 17,Red blood cell disorders > 17,16,est
396,"Vere punalibledega seotud haigused, vanus 0-17","Vere punalibledega seotud haigused, vanus 0-17",396X,"Anemia and other red blood cell disorders, age 0-17","Anemia and other red blood cell disorders, age 0-17",16,est
397,Hüübivushäired,Hüübivushäired,397X,Coagulation disorders,Coagulation disorders,16,est
398,"Retikuloendoteliaalsüsteemi ja immuunmehhanismidega seotud haigused, kht-ga","Retikul.end.süsteemi ja imm.mehh-ga seotud haig-d, kht-ga",398X,Reticuloendothelial & immunity disorders w cc,Reticuloendothelial & immunity disorders w cc,16,est
399,"Retikuloendoteliaalsüsteemi ja immuunmehhanismidega seotud haigused, kht-ta","Retikul.end.süsteemi ja imm.mehh-ga seotud haig-d, kht-ta",399X,"Reticuloendothelial & immunity disorders, w/o CC","Reticuloendothelial & immunity disorders, w/o CC",16,est
400,Lümfoom ja leukeemia koos nende korral tehtavate suurte operatsioonidega,Lümfoom ja leukeemia koos nende korral tehtavate suurte opid,400X,Lymphoma & leukemia w major o. r. procedure,Lymphoma & leukemia w major o. r. procedure,17,est
401,"Lümfoom ja krooniline leukeemia koos nende korral tehtavate muude operatsioonidega, kht-ga","Lümfoom ja kr.leukeemia koos muude opidega, kht-ga",401X,"Lymphoma & non-acute leukemia with other OR procedure, w CC","Lymphoma & non-acute leukemia with other OR procedure, w CC",17,est
402,"Lümfoom ja krooniline leukeemia koos nende korral tehtavate muude operatsioonidega, kht-ta","Lümfoom ja kr.leukeemia koos muude opidega, kht-ta",402X,"Lymphoma & non-acute leukemia with other OR procedure, w/o CC","Lymphoma & non-acute leukemia with other OR procedure, w/o CC",17,est
402O,"Lümfoom ja krooniline leukeemia koos nende korral tehtavate muude operatsioonidega, lühike ravi","Lümfoom ja kr.leukeemia koos muude opidega, lüh.ravi",402O,"Lymphoma & non-acute leukemia with OR procedures, short therapy","Lymphoma & non-acute leukemia with OR procedures, short therapy",17,est
403,"Lümfoom ja krooniline leukeemia, kht-ga","Lümfoom ja krooniline leukeemia, kht-ga",403X,Lymphoma & non-acute leukemia w cc,Lymphoma & non-acute leukemia w cc,17,est
404,"Lümfoom ja krooniline leukeemia, kht-ta","Lümfoom ja krooniline leukeemia, kht-ta",404X,Lymphoma & non-acute leukemia w/o cc,Lymphoma & non-acute leukemia w/o cc,17,est
405,"Äge leukeemia ilma suurte operatsioonideta, vanus 0-17","Äge leukeemia ilma suurte opideta, vanus 0-17",405X,Acute leukemia w/o major o. r. procedure age 0-17,Acute leukemia w/o major o. r. procedure age 0-17,17,est
406,"Müeloproliferatiivsed haigused või vähediferentseerunud kasvajad koos nende korral tehtavate suurte operatsioonidega, kht-ga","Müelopr. haig. või vähedif. kasvajad koos suurte opidega, kh",406X,Myeloprolif disord or poorly diff neopl w major o. r. procedures and w cc,Myeloprolif disord or poorly diff neopl w major o. r. proced,17,est
407,"Müeloproliferatiivsed haigused või vähediferentseerunud kasvajad koos nende korral tehtavate suurte operatsioonidega, kht-ta","Müelopr. haig. või vähedif. kasvajad koos suurte opidega, kh",407X,Myeloprolif disord or poorly diff neopl w major o. r. proc but w/o cc,Myeloprolif disord or poorly diff neopl w major o. r. proc b,17,est
407O,"Müeloproliferatiivsed haigused või vähediferentseerunud kasvajad koos nende korral tehtavate suurte operatsioonidega, lühike ravi","Müelopr. haig. või vähedif. kasvajad koos suurte opidega, lü",407O,"Myeloproliferative diseases and unspecified neoplasms with major OR procedure, short therapy     ","Myeloproliferative diseases and unspecified neoplasms with major OR procedure, short therapy     ",17,est
408,Müeloproliferatiivsed haigused või vähediferentseerunud kasvajad koos nende korral tehtavate muude operatsioonidega,Müelopr. haig. või vähedif. kasvajad koos muude opidega,408X,Myeloprolif disord or poorly diff neopl w other o. r. proc,Myeloprolif disord or poorly diff neopl w other o. r. proc,17,est
408O,"Müeloproliferatiivsed haigused või vähediferentseerunud kasvajad koos nende korral tehtavate muude operatsioonidega, lühike ravi","Müelopr. haig. või vähedif. kasvajad koos muude opidega, lüh",408O,"Myeloproliferative diseases and unspecified neoplasms with other OR procedure in general anaesthesia, short therapy   ","Myeloproliferative diseases and unspecified neoplasms with other OR procedure in general anaesthesia, short therapy   ",17,est
409,Radioteraapia,Radioteraapia,409X,Radiotherapy,Radiotherapy,17,est
409O,"Radioteraapia, lühike ravi","Radioteraapia, lüh.ravi",409O,"Radiotherapy, short therapy","Radiotherapy, short therapy",17,est
410,Kemoteraapia teistel juhtudel va ägeda leukeemia puhul,Kemoteraapia teistel juhtudel va ägeda leukeemia puhul,410X,Chemotherapy w/o acute leukemia as secondary diagnosis,Chemotherapy w/o acute leukemia as secondary diagnosis,17,est
411N,Anamneesis pahaloomuline kasvaja,Anamneesis pahaloomuline kasvaja,411N,"History of malignancy without endoscopy, w/o CC           ","History of malignancy without endoscopy, w/o CC           ",17,est
413,"Muud vähediferentseerunud kasvajate korral esinevad müeloproliferatiivsed haigused, kht-ga",Muud vähedif-nud kasv. korral esinevad müeloprolif. haigused,413X,Other myeloprolif dis of poorly diff neopl diag w cc,Other myeloprolif dis of poorly diff neopl diag w cc,17,est
414,"Muud vähediferentseerunud kasvajate korral esinevad müeloproliferatiivsed haigused, kht-ta",Muud vähedif-nud kasv. korral esinevad müeloprolif. haigused,414X,"Myeloproliferative diseases and unspecified neoplasms, w/o CC    ","Myeloproliferative diseases and unspecified neoplasms, w/o CC    ",17,est
