code_plus,text_plus,nat_ver
FPSE42,Implantation of transvenous atrial electrode,ice/den
FPSE44,Implantation of transvenous ventricular electrode,ice/den
FPSE49,Replacement of transvenous cardiac pacemaker electrode,est/swe/lat/ice/den/fin/nor
FPSE96,Other implantation or replacement of transvenous cardiac pacemaker,est/swe/lat/ice/den/fin/nor
FPSF00,Implantation of epicardial pacemaker with ventricular electrode,est/swe/lat/ice/den/fin/nor
FPSF10,Implantation of epicardial pacemaker with atrial electrode,est/swe/lat/ice/den/fin/nor
FPSF20,Implantation of epicardial pacemaker with atrial and ventricular electrodes,est/swe/lat/ice/den/fin/nor
FPSF30,Replacement of epicardial pacemaker pulse generator,est/swe/lat/ice/den/fin/nor
FPSF40,Replacement of epicardial pacemaker electrode,est/swe/lat/ice/den/fin/nor
FPSF96,Other implantation or replacement of epicardial pacemaker,est/swe/lat/ice/den/fin/nor
FPSG00,"Implantation of defibrillator, ventricular electrode",
FPSG02,"Insertion of internal defibrillator, atrial electrode",ice/fin
FPSG04,"Insertion of internal defibrillator, atrial and chamber electrode",ice/fin
FPSG10,Open implantation of epicardial cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSG20,Implantation of epicardial cardioverter-defibrillator at heart surgery,est/swe/lat/ice/den/fin/nor
FPSG30,Implantation of transvenous cardioverter-defibrillator with generator and ventricular electrode,est/swe/lat/ice/den/fin
FPSG33,Implantation of transvenous cardioverter-defibrillator with generator and with atrial and ventricular electrodes,est/swe/lat/ice/den/fin/nor
FPSG36,Implantation of transvenous cardioverter-defibrillator with generator and with biventricular electrodes,est/swe/lat/ice/fin/nor
FPSG40,Replacement of pulsgenerator in transvenous cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSG43,Replacement of electrode(s) in transvenous cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSG63,Implantation of transvenous cardioverter-defibrillator with generator and with biventricular electrodes,
FPSG96,Other implantation of permanent cardioverter-defibrillator,est/swe/lat/ice/fin/nor
FPSH00,Transvenous extraction of transvenous cardiac pacemaker or cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSH10,Open removal of transvenous cardiac pacemaker or cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSH20,Removal of epicardial pacemaker or cardioverter-defibrillator,est/swe/lat/ice/den/fin/nor
FPSH96,Other removal of cardiac pacemaker or cardioverter-defibrillator,est/swe/lat/ice/fin/nor
FPSJ00,Revision of pacemaker pulse generator or electrode,est/swe/lat/ice/fin
FPSW96,Other operation for arrhythmia or disturbance of impulse propagation,est/swe/lat/ice/den/fin/nor
FPXA00,X-ray guidance of implantation of cardiac pacemaker or defibrillator,ice/fin
FPXX00,Temporary use of transvenous or epicardial pacemaker,est/swe/lat/ice/den/fin/nor
FPXX10,Transcutaneous external cardiac pacing (TEP),swe/ice
FPXX20,Cardioversion,est/lat/ice/den/fin/nor
FPXX26,Treatment of cardiac arythmia with rapid pacemaker stimulation,swe/lat/ice/nor
FPXX90,Delivery of transportable defibrillator,swe
FQSA00,Orthotopic transplantation of heart,est/swe/lat/ice/den/fin/nor
FQSA10,Orthotopic transplantation of heart with bicaval anastomosis,est/swe/lat/ice/den/fin/nor
FQSA20,Orthotopic heart transplantation with reconstruction of recipient atria or systemic venous connections,est/swe/lat/ice/den/fin/nor
FQSA30,Heterotopic transplantation of heart,est/swe/lat/ice/den/fin/nor
FQSA40,Transplantation of heart with living donor,est/swe/lat/ice/den/fin/nor
FQSA96,Other transplantation of heart,est/swe/lat/ice/den/fin/nor
FQSB00,Transplantation of heart and lung,est/swe/lat/ice/den/fin/nor
FQSB10,Transplantation of heart and lung with bicaval anastomosis,est/swe/lat/ice/den/fin/nor
FQSB20,Transplantation of heart and lung with reconstruction of recipient atria or systemic venous connections,est/swe/lat/ice/den/fin/nor
FQSB30,Transplantation of heart and lungs with revascularisation of bronchial arteries,est/swe/lat/ice/den/fin/nor
FQSB96,Other transplantation of heart and lung,est/swe/lat/ice/den/fin/nor
FQSW96,Other procedure in transplantation of heart and lung,est/swe/lat/ice/den/fin/nor
FWSA00,Repair of wound dehiscence in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/fin/nor
FWSB00,Reoperation for superficial infection in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/nor
FWSC00,Reoperation for deep infection in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/fin/nor
FWSD00,Reoperation for superficial haemorrhage in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/fin/nor
FWSE00,Reoperation for deep haemorrhage in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/nor
FWSF00,Reoperation for insufficiency of anastomosis or suture in surgery of heart,est/swe/lat/ice/den/fin/nor
FWSG00,Reoperation for thrombosis or embolus in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/fin/nor
FWSG02,Angioscopic reoperation for thrombosis or embolus in surgery of heart and major thoracic vessels,est/swe/lat/ice/den/nor
FWSW96,Other reoperation on heart or major thoracic vessels,est/swe/lat/ice/den/fin
FWSW98,Other angioscopic reoperation on heart or major thoracic vessels,est/swe/lat/ice/den/nor
FWXX00,MAST (Anti Shock Trouses),swe/lat/ice/nor
FWXX99,Other minor procedure in cardiac surgery,est/swe/lat/ice/den/fin
FXDA00,Cardiac X-ray examination,swe/ice
FXDA10,Dynamic heart X-ray examination,swe/ice/nor
FXDC1A,Upper cavography,swe/ice/fin
FXDC2A,Right cardioangiography,swe/ice/den/fin/nor
FXDC3A,Left cardioangiography,swe/ice/den/fin/nor
FXDC40,Bilateral cardioangiography,swe/ice
FXDD1A,CT of heart,swe/ice/fin/nor
FXDD1P,CT examinantion of heart perfusion,ice/fin
FXDE1A,Cardiac ultrasonography,swe/lat/ice/den/fin/nor
FXDE1B,Cardiac ultrasound with work load or stress,swe/lat/ice/den/fin/nor
FXDE1K,Ultrasonography of heart with contrast,ice/den/fin
FXDE4B,Transesophageal cardiac ultrasonography,swe/lat/ice/den/fin/nor
FXDE6C,Angioscopic cardiac ultrasonography,est/swe/lat/ice/fin/nor
FXDE6D,Optical Coherence Tomography of coronary artery,
FXDE7B,Epicardial ultrasonography,est/swe/lat/ice/den/fin/nor
FXDE7C,Thoracoscopic epicardial ultrasonography,est/swe/lat/ice/fin/nor
FXDE7D,Other intraoperative ultrasonography of heart,ice/den/fin
FXDE8P,Ultrasonography of ductus Botalli,ice/fin
FXDG1B,Heart MRI examination,swe/ice/fin/nor
FXDK1A,Cardiac spectroscopy,ice/fin
FXDL1A,Magnetocardiography,ice
FXF000,"ECG with 12 standard connections, including registration",swe/ice/fin
FXF001,Vector ECG,swe/lat/nor
FXF002,ECG with work load test,swe/lat/ice/fin/nor
FXF003,ECG with hyperventilation,ice
FXF004,"Ambulatory ECG, including registration",swe/lat/ice/fin/nor
FXF005,Symptom ECG,ice/fin
FXF006,High resolution ECG,ice/fin
FXF008,Esophageal ECG,swe/lat/ice/fin/nor
FXF009,Other special ECG,swe/lat/ice/fin/nor
FXF010,Implantation of electrode for ambulatory ECG,lat/ice
FXF016,Interpretation of previously recorded standard or non-extensive ECG,swe
FXF019,Interpretation of  other ECG including ambulatory ECG,swe
FXF020,Implantation of loop recorder for examination of cardiac arythmias,est/swe/lat/ice/den/nor
FXF022,Analysis of loop recorder data of cardiac arythmias,swe/lat/ice/den/nor
FXF024,Removal of loop recorder,swe/ice/den
FXF025,Intracardiac ECG,fin
FXF030,Check-up and reprgramming of cardicac pacemaker or defibrillator,ice/fin
FXF050,Transesophageal diagnostic stimulation of heart,lat/ice/nor
FXF100,Blood pressure measurement,swe/lat/ice/fin/nor
FXF101,Blood pressure measurement with Doppler method,ice/fin
FXF102,Blood pressure monitoring,swe/lat/ice/fin/nor
FXF103,Direct intraarterial blood pressure measurement,lat/ice/fin/nor
FXF104,Baroreflex sensitivity measurement,ice/fin
FXF105,Tilt table test,swe
FXF106,Ortostatic test,swe/lat/ice/fin/nor
FXF107,Registration of pulse volume curve or registration of blood pressure at several or periferal locations,swe/lat/ice/nor
FXF110,Measurement of pulse and pulsvariation,lat/ice/fin/nor
FXF112,Measurement of central venous pressure,lat/ice/fin/nor
FXF114,Measurement of pulmonary circulation pressure and flow,lat/ice/fin/nor
FXF116,Coronary artery pressure and flow measurement with pressure monitoring wire,
FXF119,Other physical examination of heart,swe/ice/fin
FXF120,Examination of circulation with color method,ice/fin
FXF122,Measurement of minute volume of heart,lat/ice/den/fin/nor
FXF145,Heart ultrasonography with load test,ice/fin
FXF199,Other cardiac monitoring,swe
FXF200,Catheterisation of right atrium or ventricle,est/swe/lat/ice/den/fin/nor
FXF210,Catheterisation of left atrium or ventricle,est/swe/lat/ice/den/fin
FXF220,Catheterisation of both sides of heart,ice/fin/est
FXF225,Transseptal catheterisation of left atrium or ventricle,ice/fin/est
FXF230,Balloon dilatation of coarctation of aorta,ice/den
FXF299,Catheterisation of heart with other procedure,ice/fin
FXFA00,Clinical examination of heart,swe/ice
FXFA90,Fysical exercise test,swe/ice/fin
FXFX90,Cardiologic clinical examination,ice
FXIA00,Heart isotope imaging,swe/ice/fin/nor
FXIA20,Heart function isotope examination,swe/ice/fin
FXIA40,Intra cardiac shunt isotope imaging,swe/ice/fin/nor
FXIB00,"Heart, metabolic PET",ice/fin
FXIB05,"Heart, metabolic PET with CT",fin/nor
FXIB07,"Heart, metabolic PET with MRI",fin/nor
FXIC00,"Heart, reseptor PET",ice/fin
FXIC04,"Heart, reseptor PET with MRI",fin
FXID00,Hearth blood volume PET,fin
FXID04,Hearth blood volume PET with MRI,fin
FXIW00,"Heart, isotope imaging combined with PET",ice/fin
FXIX90,"Heart, other PET",fin
FXIX92,Heart gamma PET with low-dose CT,fin/nor
FXX000,Puncture of heart or major thoracic vessels,est/swe/lat/ice/den/fin/nor
FXX001,Thoracoscopic puncture of heart or major thoracic vessel,est/swe/lat/ice/fin
FXX002,Puncture of heart or major thoracic vessels with aspiration,est/swe/lat/ice/fin
FXX004,Puncture manometry of heart or major thoracic vessels,est/swe/lat/ice/fin
FXX010,Muscle biopsy of heart,ice/fin
FXX020,Flowmetry of heart or major thoracic vessels,est/swe/lat/ice/fin
FXXA00,Closed cardiac compression,est/swe/lat/ice/den/fin/nor
FXXA05,Mechanical heart compression,swe/ice
FXXA10,Open cardiac compression,est/swe/lat/ice/den/fin/nor
FXXA20,Cardiac compression with temporary clamping of thoracic aorta,est/swe/lat/ice/fin/nor
FXXA30,Other cardiac compression procedure,est/swe/lat/ice/fin/nor
FXXB00,Temporary transvenous cardiac pacemaker,est/swe/lat/ice/den/fin/nor
FXXB10,Use of temporary epicardial pacemaker,est/swe/lat/ice/den/fin/nor
FXXX99,Other intervention for heart and major vessels,den/nor
FZSA00,Total cardiopulmonary bypass in normothermia or moderate hypothermia at concurrent surgical procedure,est/swe/lat/ice/den/fin/nor
FZSA10,Total cardiopulmonary bypass in deep hypothermia at concurrent surgical procedure,est/swe/lat/ice/den/fin/nor
FZSA13,Total cardiopulmonary bypass in deep hypothermia and exclusive cerebral perfusion at concurrent surgical procedure,est/swe/lat/ice/den/nor
FZSA20,Total cardiopulmonary bypass in deep hypothermia and circulatory arrest at concurrent surgical procedure,est/swe/lat/ice/den/fin/nor
FZSA96,Other total cardiopulmonary bypass at concurrent surgical procedure,est/swe/lat/ice/den/fin/nor
FZSB00,Intraoperative partial cardiopulmonary bypass,est/swe/lat/ice/den/fin/nor
FZSC00,Partial cardiopulmonary bypass without use of oxygenator,est/swe/lat/ice/den/fin/nor
FZSD00,Use of extracorporeal heart and lung assistance (ECHLA) without concurrent surgical procedure,est/swe/lat/ice/den/fin/nor
FZSD10,Control and adjustment of intra- or paracorporeal VAD,swe
FZSE00,Use of extracorporeal lung assistance (ECLA),est/swe/lat/ice/den/fin/nor
FZSF00,Decannulation after ECHLA or ECLA,est/swe/lat/ice/den/fin/nor
FZSG00,Insertion and use of intra-aortal balloon pump (IABP),est/swe/lat/ice/den/fin/nor
FZSH00,Removal of IABP,est/swe/lat/ice/den/fin/nor
FZSJ00,Insertion of pulmonary artery balloon pump (PABP),est/swe/lat/ice/den/fin/nor
FZSK00,Removal of PABP,est/swe/lat/ice/den/fin/nor
FZSL00,"Insertion and use of extra-, para- or intracorporeal VAD",est/swe/lat/ice/den/fin/nor
FZSM00,"Removal of extra-, para- or intracorporeal VAD",est/swe/lat/ice/den/fin/nor
FZSN00,Procedures using total artificial heart (TAH ),est/swe/lat/ice/den/fin/nor
FZSP00,Haemofiltration or haemodialysis in the course of cardiopulmonary bypass,est/swe/lat/ice/den/fin/nor
FZSZ99,Off-pump cardiac operation,fin
FZX000,Trendelenburg therapy for cardiac insuffisiency,ice
FZX009,Other or usspecified position therapy of cardiac insuffisiency,ice
FZX999,Other support of circulation,swe/den
G01AA,Antibiotics,est/swe/lat/ice/den
G01AA01,Nystatin,fin/swe
G01AA02,Natamycin,fin/swe
G01AA03,Amphotericin B,fin/swe
G01AA04,Candicidin,fin/swe
G01AA05,Chloramphenicol,fin/swe
G01AA06,Hachimycin,fin/swe
G01AA07,Oxytetracycline,fin/swe
G01AA08,Carfecillin,fin/swe
G01AA09,Mepartricin,fin/swe
G01AA10,Clindamycin,fin/swe
G01AA11,Pentamycin,fin/swe
G01AA51,"Nystatin, combinations",fin/swe
G01AB,Arsenic compounds,est/swe/lat/ice/den
G01AB01,Acetarsol,fin/swe
G01AC,Quinoline derivatives,est/swe/lat/ice/den
G01AC01,Diiodohydroxyquinoline,fin/swe
G01AC02,Clioquinol,fin/swe
G01AC03,Chlorquinaldol,fin/swe
G01AC05,Dequalinium,fin/swe
G01AC06,Broxyquinoline,fin/swe
G01AC30,Oxyquinoline,fin/swe
G01AD,Organic acids,est/swe/lat/ice/den
G01AD01,Lactic acid,fin/swe
G01AD02,Acetic acid,fin/swe
G01AD03,Ascorbic acid,fin/swe
G01AE,Sulfonamides,est/swe/lat/ice/den
G01AE01,Sulfatolamide,fin/swe
G01AE10,Combinations of sulfonamides,fin/swe
G01AF,Imidazole derivatives,est/swe/lat/ice/den
G01AF01,Metronidazole,fin/swe
G01AF02,Clotrimazole,fin/swe
G01AF04,Miconazole,fin/swe
G01AF05,Econazole,fin/swe
G01AF06,Ornidazole,fin/swe
G01AF07,Isoconazole,fin/swe
G01AF08,Tioconazole,fin/swe
G01AF11,Ketoconazole,fin/swe
G01AF12,Fenticonazole,fin/swe
G01AF13,Azanidazole,fin/swe
G01AF14,Propenidazole,fin/swe
G01AF15,Butoconazole,fin/swe
G01AF16,Omoconazole,fin/swe
G01AF17,Oxiconazole,fin/swe
G01AF18,Flutrimazole,fin/swe
G01AF19,Sertaconazole,fin/swe
G01AF20,Combinations of imidazole derivatives,fin/swe
G01AF55,"Econazole, combinations",fin/swe
G01AG,Triazole derivatives,est/swe/lat/ice/den
G01AG02,Terconazole,fin/swe
G01AX,Other antiinfectives and antiseptics,est/swe/lat/ice/den
G01AX01,Clodantoin,fin/swe
G01AX02,Inosine,fin/swe
G01AX03,Policresulen,fin/swe
G01AX05,Nifuratel,fin/swe
G01AX06,Furazolidone,fin/swe
G01AX09,Methylrosaniline,fin/swe
G01AX11,Povidone-iodine,fin/swe
G01AX12,Ciclopirox,fin/swe
G01AX13,Protiofate,fin/swe
G01AX14,Lactobacillus,fin/swe
G01AX15,Copper usnate,fin/swe
G01AX16,Hexetidine,fin/swe
G01AX17,Dapivirine,fin/swe
G01AX66,"Octenidine, combinations",fin/swe
G01BA,Antibiotics and corticosteroids,est/swe/lat/ice/den
G01BC,Quinoline derivatives and corticosteroids,est/swe/lat/ice/den
G01BD,Antiseptics and corticosteroids,est/swe/lat/ice/den
G01BE,Sulfonamides and corticosteroids,est/swe/lat/ice/den
G01BF,Imidazole derivatives and corticosteroids,est/swe/lat/ice/den
G02AB,Ergot alkaloids,est/swe/lat/ice/den
G02AB01,Methylergometrine,fin/swe
G02AB02,Ergot alkaloids,fin/swe
G02AB03,Ergometrine,fin/swe
G02AC,"Ergot alkaloids and oxytocin incl. analogues, in combination",est/swe/lat/ice/den
G02AC01,Methylergometrine and oxytocin,fin/swe
G02AD,Prostaglandins,est/swe/lat/ice/den
G02AD01,Dinoprost,fin/swe
G02AD02,Dinoprostone,fin/swe
G02AD03,Gemeprost,fin/swe
G02AD04,Carboprost,fin/swe
G02AD05,Sulprostone,fin/swe
G02AD06,Misoprostol,fin/swe
G02AX,Other oxytocics,est/swe/lat/ice/den
G02BA,Intrauterine contraceptives,est/swe/lat/ice/den
G02BA01,Plastic IUD,fin/swe
G02BA02,Plastic IUD with copper,fin/swe
G02BA03,Plastic IUD with progestogen,fin/swe
G02BB,Intravaginal contraceptives,est/swe/lat/ice/den
G02BB01,Vaginal ring with progestogen and estrogen,fin/swe
G02BB02,Vaginal ring with progestogen,fin/swe
G02CA,"Sympathomimetics, labour repressants",est/swe/lat/ice/den
G02CA01,Ritodrine,fin/swe
G02CA02,Buphenine,fin/swe
G02CA03,Fenoterol,fin/swe
G02CB,Prolactine inhibitors,est/swe/lat/ice/den
G02CB01,Bromocriptine,fin/swe
G02CB02,Lisuride,fin/swe
G02CB03,Cabergoline,fin/swe
G02CB04,Quinagolide,fin/swe
G02CB05,Metergoline,fin/swe
G02CB06,Terguride,fin/swe
G02CC,Antiinflammatory products for vaginal administration,est/swe/lat/ice/den
G02CC01,Ibuprofen,fin/swe
G02CC02,Naproxen,fin/swe
G02CC03,Benzydamine,fin/swe
G02CC04,Flunoxaprofen,fin/swe
G02CX,Other gynecologicals,est/swe/lat/ice/den
G02CX01,Atosiban,fin/swe
G02CX02,Flibanserin,fin/swe
G02CX03,Agni casti fructus,fin/swe
G02CX04,Cimicifugae rhizoma,fin/swe
G02CX05,Bremelanotide,fin/swe
G03AA,"Progestogens and estrogens, fixed combinations",est/swe/lat/ice/den
G03AA01,Etynodiol and ethinylestradiol,fin/swe
G03AA02,Quingestanol and ethinylestradiol,fin/swe
G03AA03,Lynestrenol and ethinylestradiol,fin/swe
G03AA04,Megestrol and ethinylestradiol,fin/swe
G03AA05,Norethisterone and ethinylestradiol,fin/swe
G03AA06,Norgestrel and ethinylestradiol,fin/swe
G03AA07,Levonorgestrel and ethinylestradiol,fin/swe
G03AA08,Medroxyprogesterone and ethinylestradiol,fin/swe
G03AA09,Desogestrel and ethinylestradiol,fin/swe
G03AA10,Gestodene and ethinylestradiol,fin/swe
G03AA11,Norgestimate and ethinylestradiol,fin/swe
G03AA12,Drospirenone and ethinylestradiol,fin/swe
G03AA13,Norelgestromin and ethinylestradiol,fin/swe
G03AA14,Nomegestrol and estradiol,fin/swe
G03AA15,Chlormadinone and ethinylestradiol,fin/swe
G03AA16,Dienogest and ethinylestradiol,fin/swe
G03AA17,Medroxyprogesterone and estradiol,fin/swe
G03AA18,Drospirenone and estetrol,fin/swe
G03AB,"Progestogens and estrogens, sequential preparations",est/swe/lat/ice/den
G03AB01,Megestrol and ethinylestradiol,fin/swe
G03AB02,Lynestrenol and ethinylestradiol,fin/swe
G03AB03,Levonorgestrel and ethinylestradiol,fin/swe
G03AB04,Norethisterone and ethinylestradiol,fin/swe
G03AB05,Desogestrel and ethinylestradiol,fin/swe
G03AB06,Gestodene and ethinylestradiol,fin/swe
G03AB07,Chlormadinone and ethinylestradiol,fin/swe
G03AB08,Dienogest and estradiol,fin/swe
G03AB09,Norgestimate and ethinylestradiol,fin/swe
G03AC,Progestogens,est/swe/lat/ice/den
G03AC01,Norethisterone,fin/swe
G03AC02,Lynestrenol,fin/swe
G03AC03,Levonorgestrel,fin/swe
G03AC04,Quingestanol,fin/swe
G03AC05,Megestrol,fin/swe
G03AC06,Medroxyprogesterone,fin/swe
G03AC07,Norgestrienone,fin/swe
G03AC08,Etonogestrel,fin/swe
G03AC09,Desogestrel,fin/swe
G03AC10,Drospirenone,fin/swe
G03AD01,Levonorgestrel,fin/swe
G03AD02,Ulipristal,fin/swe
G03BA,3-oxoandrosten (4) derivatives,est/swe/lat/ice/den
G03BA01,Fluoxymesterone,fin/swe
G03BA02,Methyltestosterone,fin/swe
G03BA03,Testosterone,fin/swe
G03BB,5-androstanon (3) derivatives,est/swe/lat/ice/den
G03BB01,Mesterolone,fin/swe
G03BB02,Androstanolone,fin/swe
G03CA,"Natural and semisynthetic estrogens, plain",est/swe/lat/ice/den
G03CA01,Ethinylestradiol,fin/swe
G03CA03,Estradiol,fin/swe
G03CA04,Estriol,fin/swe
G03CA06,Chlorotrianisene,fin/swe
G03CA07,Estrone,fin/swe
G03CA09,Promestriene,fin/swe
G03CA53,"Estradiol, combinations",fin/swe
G03CA57,Conjugated estrogens,fin/swe
G03CB,"Synthetic estrogens, plain",est/swe/lat/ice/den
G03CB01,Dienestrol,fin/swe
G03CB02,Diethylstilbestrol,fin/swe
G03CB03,Methallenestril,fin/swe
G03CB04,Moxestrol,fin/swe
G03CC,"Estrogens, combinations with other drugs",est/swe/lat/ice/den
G03CC02,Dienestrol,fin/swe
G03CC03,Methallenestril,fin/swe
G03CC04,Estrone,fin/swe
G03CC05,Diethylstilbestrol,fin/swe
G03CC06,Estriol,fin/swe
G03CC07,Conjugated estrogens and bazedoxifene,fin/swe
G03CX01,Tibolone,fin/swe
G03DA,Pregnen (4) derivatives,est/swe/lat/ice/den
G03DA01,Gestonorone,fin/swe
G03DA02,Medroxyprogesterone,fin/swe
G03DA03,Hydroxyprogesterone,fin/swe
G03DA04,Progesterone,fin/swe
G03DB,Pregnadien derivatives,est/swe/lat/ice/den
G03DB01,Dydrogesterone,fin/swe
G03DB02,Megestrol,fin/swe
G03DB03,Medrogestone,fin/swe
G03DB04,Nomegestrol,fin/swe
G03DB05,Demegestone,fin/swe
G03DB06,Chlormadinone,fin/swe
G03DB07,Promegestone,fin/swe
G03DB08,Dienogest,fin/swe
G03DC,Estren derivatives,est/swe/lat/ice/den
G03DC01,Allylestrenol,fin/swe
G03DC02,Norethisterone,fin/swe
G03DC03,Lynestrenol,fin/swe
G03DC04,Ethisterone,fin/swe
G03DC06,Etynodiol,fin/swe
G03DC31,Methylestrenolone,fin/swe
G03EA,Androgens and estrogens,est/swe/lat/ice/den
G03EA01,Methyltestosterone and estrogen,fin/swe
G03EA02,Testosterone and estrogen,fin/swe
G03EA03,Prasterone and estrogen,fin/swe
G03EB,"Androgen, progestogen and estrogen in combination",est/swe/lat/ice/den
G03EK,Androgens and female sex hormones in combination with other drugs,est/swe/lat/ice/den
G03EK01,Methyltestosterone,fin/swe
G03FA,"Progestogens and estrogens, fixed combinations",est/swe/lat/ice/den
G03FA01,Norethisterone and estrogen,fin/swe
G03FA02,Hydroxyprogesterone and estrogen,fin/swe
G03FA03,Ethisterone and estrogen,fin/swe
G03FA04,Progesterone and estrogen,fin/swe
G03FA05,Methylnortestosterone and estrogen,fin/swe
G03FA06,Etynodiol and estrogen,fin/swe
G03FA07,Lynestrenol and estrogen,fin/swe
G03FA08,Megestrol and estrogen,fin/swe
G03FA09,Noretynodrel and estrogen,fin/swe
G03FA10,Norgestrel and estrogen,fin/swe
G03FA11,Levonorgestrel and estrogen,fin/swe
G03FA12,Medroxyprogesterone and estrogen,fin/swe
G03FA13,Norgestimate and estrogen,fin/swe
G03FA14,Dydrogesterone and estrogen,fin/swe
G03FA15,Dienogest and estrogen,fin/swe
G03FA16,Trimegestone and estrogen,fin/swe
G03FA17,Drospirenone and estrogen,fin/swe
G03FB,"Progestogens and estrogens, sequential preparations",est/swe/lat/ice/den
G03FB01,Norgestrel and estrogen,fin/swe
G03FB02,Lynestrenol and estrogen,fin/swe
G03FB03,Chlormadinone and estrogen,fin/swe
G03FB04,Megestrol and estrogen,fin/swe
G03FB05,Norethisterone and estrogen,fin/swe
G03FB06,Medroxyprogesterone and estrogen,fin/swe
G03FB07,Medrogestone and estrogen,fin/swe
G03FB08,Dydrogesterone and estrogen,fin/swe
G03FB09,Levonorgestrel and estrogen,fin/swe
G03FB10,Desogestrel and estrogen,fin/swe
G03FB11,Trimegestone and estrogen,fin/swe
G03FB12,Nomegestrol and estrogen,fin/swe
G03GA,Gonadotropins,est/swe/lat/ice/den
G03GA01,Chorionic gonadotrophin,fin/swe
G03GA02,Human menopausal gonadotrophin,fin/swe
G03GA03,Serum gonadotrophin,fin/swe
G03GA04,Urofollitropin,fin/swe
G03GA05,Follitropin alfa,fin/swe
G03GA06,Follitropin beta,fin/swe
G03GA07,Lutropin alfa,fin/swe
G03GA08,Choriogonadotropin alfa,fin/swe
G03GA09,Corifollitropin alfa,fin/swe
G03GA10,Follitropin delta,fin/swe
G03GA30,Combinations,fin/swe
G03GB,"Ovulation stimulants, synthetic",est/swe/lat/ice/den
G03GB01,Cyclofenil,fin/swe
G03GB02,Clomifene,fin/swe
G03GB03,Epimestrol,fin/swe
G03HA,"Antiandrogens, plain",est/swe/lat/ice/den
G03HA01,Cyproterone,fin/swe
G03HB,Antiandrogens and estrogens,est/swe/lat/ice/den
G03HB01,Cyproterone and estrogen,fin/swe
G03XA,Antigonadotropins and similar agents,est/swe/lat/ice/den
G03XA01,Danazol,fin/swe
G03XA02,Gestrinone,fin/swe
G03XB,Antiprogestogens,est/swe/lat/ice/den
G03XB01,Mifepristone,fin/swe
G03XB02,Ulipristal,fin/swe
G03XB51,"Mifepristone, combinations",fin/swe
G03XC,Selective estrogen receptor modulators,est/swe/lat/ice/den
G03XC01,Raloxifene,fin/swe
G03XC02,Bazedoxifene,fin/swe
G03XC03,Lasofoxifene,fin/swe
G03XC04,Ormeloxifene,fin/swe
G03XC05,Ospemifene,fin/swe
G03XX01,Prasterone,fin/swe
G04BA,Acidifiers,est/swe/lat/ice/den
G04BA01,Ammonium chloride,fin/swe
G04BA03,Calcium chloride,fin/swe
G04BC,Urinary concrement solvents,est/swe/lat/ice/den
G04BD,Urinary antispasmodics,est/swe/lat/ice/den
G04BD01,Emepronium,fin/swe
G04BD02,Flavoxate,fin/swe
G04BD03,Meladrazine,fin/swe
G04BD04,Oxybutynin,fin/swe
G04BD05,Terodiline,fin/swe
G04BD06,Propiverine,fin/swe
G04BD07,Tolterodine,fin/swe
G04BD08,Solifenacin,fin/swe
G04BD09,Trospium,fin/swe
G04BD10,Darifenacin,fin/swe
G04BD11,Fesoterodine,fin/swe
G04BD12,Mirabegron,fin/swe
G04BD13,Desfesoterodine,fin/swe
G04BE,Drugs used in erectile dysfunction,est/swe/lat/ice/den
G04BE01,Alprostadil,fin/swe
G04BE02,Papaverine,fin/swe
G04BE03,Sildenafil,fin/nor/swe
G04BE04,Yohimbine,fin/swe
G04BE06,Moxisylyte,fin/swe
G04BE07,Apomorphine,fin/swe
G04BE08,Tadalafil,fin/nor/swe
G04BE09,Vardenafil,fin/swe
G04BE10,Avanafil,fin/swe
G04BE11,Udenafil,fin/swe
G04BE30,Combinations,fin/swe
G04BE52,"Papaverine, combinations",fin/swe
G04BX,Other urologicals,est/swe/lat/ice/den/fin
G04BX01,Magnesium hydroxide,fin/swe
G04BX03,Acetohydroxamic acid,fin/swe
G04BX06,Phenazopyridine,fin/swe
G04BX10,Succinimide,fin/swe
G04BX11,Collagen,fin/swe
G04BX12,Phenyl salicylate,fin/swe
G04BX13,Dimethyl sulfoxide,fin/swe
G04BX14,Dapoxetine,fin/swe
G04BX15,Pentosan polysulfate sodium,fin/swe
G04BX16,Tiopronin,fin/swe
G04BX99,Hyaluronic acid urological use,fin
G04CA,Alpha-adrenoreceptor antagonists,est/swe/lat/ice/den
G04CA01,Alfuzosin,fin/swe
G04CA02,Tamsulosin,fin/swe
G04CA03,Terazosin,fin/swe
G04CA04,Silodosin,fin/swe
G04CA51,Alfuzosin and finasteride,fin/swe
G04CA52,Tamsulosin and dutasteride,fin/swe
G04CA53,Tamsulosin and solifenacin,fin/swe
G04CA54,Tamsulosin and tadalafil,fin/swe
