ord,id,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
30300040710,103D004071,051O,0,+,3.0,,,,,03S09,,00X10,,,,,,<2,N,fin
30300200000,103D020000,063O,0,+,3.0,,,,S,03S12,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30300200001,103D0200001,063O,0,+,3.0,,,,S,03S12,,,,,,,,<1,N,swe
30300200010,103D020001,063O,0,+,3.0,,,,,03S12,,00X10,,,,,,<2,N,den/est/ice/lat
30300200011,103D0200011,063O,0,+,3.0,,,,,03S12,,00X10,,,,,,<1,N,swe
30300200100,103D020010,063O,0,+,3.0,,,,,03S12,,00X10,,,,,,<2,N,fin
30300301000,103D030100,055O,0,+,3.0,,,,S,03S04,,,,,,,,<2,N,den/est/ice/lat/nor
30300301010,103D030101,055O,0,+,3.0,,,,S,03S04,,99X35,,,,,,<1,N,swe
30300341000,103D034100,055O,0,+,3.0,,,,S,03S10,,,,,,,,<2,N,den/est/ice/lat/nor
30300341001,103D0341001,055O,0,+,3.0,,,,S,03S10,,,,,,,,<1,N,swe
30300900000,103D090000,054P,0,+,3.0,,,,S,03S22,,,,,,,,<2,N,den/est/ice/lat/nor
30300900010,103D090001,054P,0,+,3.0,,,,S,03S22,,99X35,,,,,,<1,N,swe
30300900505,103D090050,061B,0,+,3.0,,,,S,03S25,,,,,,,,<1,N,swe
30300901000,103D090100,054O,0,+,3.0,,,,S,03S06,,,,,,,,<2,N,den/est/ice/lat/nor
30300901010,103D090101,054O,0,+,3.0,,,,S,03S06,,99X35,,,,,,<1,N,swe
30301000000,103D100000,056O,0,+,3.0,,,,S,03S07,,,,,,,,<2,N,den/est/ice/lat/nor
30301000001,103D1000001,056O,0,+,3.0,,,,S,03S07,,,,,,,,<1,N,swe
30301030000,103D103000,055O,0,+,3.0,,,,S,03S08,,,,,,,,<2,N,den/est/ice/lat/nor
30301030001,103D1030001,055O,0,+,3.0,,,,S,03S08,,,,,,,,<1,N,swe
30301100000,103D110000,051O,0,+,3.0,,,,S,03S09,,,,,,,,<2,N,den/est/ice/lat/nor
30301100001,103D1100001,051O,0,+,3.0,,,,S,03S09,,,,,,,,<1,N,swe
30301101000,103D110100,051O,0,+,3.0,,,,,03S09,,00X10,,,,,,<2,N,den/est/ice/lat
30301101001,103D1101001,051O,0,+,3.0,,,,,03S09,,00X10,,,,,,<1,N,swe
30301201000,103D120100,060O,0,+,3.0,,,,S,03S03,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301211000,103D121100,060O,0,+,3.0,,,,S,03S11,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301211001,103D1211001,060O,0,+,3.0,,,,S,03S11,,,,,,,,<1,N,swe
30301211010,103D121101,060O,0,+,3.0,,,,,03S11,,00X10,,,,,,<2,N,fin
30301211100,103D121110,060O,0,+,3.0,,,,,03S11,,00X10,,,,,,<2,N,den/est/ice/lat
30301211101,103D1211101,060O,0,+,3.0,,,,,03S11,,00X10,,,,,,<1,N,swe
30301510001,103D1510001,060O,0,+,3.0,,,,S,03S03,,,,,,,,<1,N,swe
30301590000,103D159000,169O,0,+,3.0,,,,S,03S05,,,,,,,,<2,N,den/est/ice/lat/nor
30301590001,103D1590001,169O,0,+,3.0,,,,S,03S05,,,,,,,,<1,N,swe
30301590002,103D1590002,580H,0,+,3.0,,,,S,03S05,,,,,,,,<2,N,fin
30301590010,103D159001,169O,0,+,3.0,,,,,03S05,,00X10,,,,,,<2,N,den/est/ice/lat
30301590011,103D1590011,169O,0,+,3.0,,,,,03S05,,00X10,,,,,,<1,N,swe
30301590012,103D1590012,580H,0,+,3.0,,,,,03S05,,00X10,,,,,,<2,N,den/fin
30301630000,103D163000,055P,0,+,3.0,,,,S,03S99,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301630001,103D1630001,055P,0,+,3.0,,,,S,03S99,,,,,,,,<1,N,swe
30301630100,103D163010,055P,0,+,3.0,,,,,03S99,,00X10,,,,,,<2,N,den/est/ice/lat
30301630101,103D1630101,055P,0,+,3.0,,,,P,03O13,,,,,,,,<2,N,nor
30301630102,103D1630102,055P,0,+,3.0,,,,,03S99,,00X10,,,,,,<1,N,swe
30301631010,103D163101,055P,0,+,3.0,,,,,03S99,,00X10,,,,,,<2,N,fin
30301700100,103D170010,703O,0,+,3.0,,,,P,03E03,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301700101,103D1700101,703O,0,+,3.0,,,,P,03E03,,,,,,,,<1,N,swe
30301700200,103D170020,063O,0,+,3.0,,,,P,03E20,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301700201,103D1700201,063O,0,+,3.0,,,,P,03E20,,,,,,,,<1,N,swe
30301701000,103D170100,706O,0,+,3.0,,,,P,03E06,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301701001,103D1701001,706O,0,+,3.0,,,,P,03E06,,,,,,,,<1,N,swe
30301702000,103D170200,702O,0,+,3.0,,,,P,03E02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301702001,103D1702001,702O,0,+,3.0,,,,P,03E02,,,,,,,,<1,N,swe
30301702025,103D170208,711P,0,+,3.0,,,,P,03E11,,00X10,,,,,,<1,N,swe
30301702050,103D170209,711Q,0,+,3.0,,,,P,03E11,,,,,,,,<2,N,fin
30301702100,103D170210,711O,0,+,3.0,,,,P,03E11,,,,,,,,<2,N,den/est/ice/lat/nor
30301702133,103D1702100,711Q,0,+,3.0,,,,P,03E11,,,,,,,,<1,N,swe
30301702200,103D170220,701O,0,+,3.0,,,,P,03E01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301702201,103D1702201,701O,0,+,3.0,,,,P,03E01,,,,,,,,<1,N,swe
30301702210,103D170221,701O,0,+,3.0,,,,,03E01,,00X10,,,,,,<1,N,swe
30301730000,103D173000,901FQ,0,+,3.0,,,,N,03D02,,,,,,,,<2,N,fin
30301730200,103D173020,901FQ,0,+,3.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30301730400,103D173040,905FQ,0,+,3.0,,,,N,90D22,,90X01,,,,,,<2,N,fin
30301730600,103D173060,906FQ,0,+,3.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30301730800,103D173080,908FQ,0,+,3.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30301731000,103D173100,905FS,0,+,3.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30301731200,103D173120,917FW,0,+,3.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30301732000,103D173200,901FP,0,+,3.0,,,,N,03D01,,,,,,,,<2,N,fin
30301732100,103D173210,901FP,0,+,3.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30301732200,103D173220,905FP,0,+,3.0,,,,N,90D21,,90X01,,,,,,<2,N,fin
30301732300,103D173230,906FP,0,+,3.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30301732400,103D173240,908FP,0,+,3.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30301732500,103D173250,910FP,0,+,3.0,,,,N,90D11,,90X01,,,,,,<2,N,fin
30301732600,103D173260,905FR,0,+,3.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30301732700,103D173270,917FV,0,+,3.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30301740200,103D174020,903FB,0,+,3.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30301740210,103D174021,903FB,0,+,3.0,,,,N,99S80,,90X01,,,,,,<2,N,fin
30301740500,103D174050,903FA,0,+,3.0,,,,N,90T06,,90X01,,,,,,<2,N,fin
30301740510,103D174051,903FA,0,+,3.0,,,,N,90T07,,90X01,,,,,,<2,N,fin
30301740520,103D174052,903FA,0,+,3.0,,,,N,90T08,,90X01,,,,,,<2,N,fin
30301740530,103D174053,903FA,0,+,3.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30301740600,103D174060,903FE,0,+,3.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30301740620,103D174062,903FE,0,+,3.0,,,,N,99T00,90S04,,,,,,,<2,N,fin
30301750990,103D175099,580O,0,+,3.0,03M99,,,,,,,,,,,,<2,N,fin
30301790000,103D179000,187O,0,+,3.0,,,,,03S13,,,,,,,,<2,N,den/est/ice/lat/nor
30301791060,103D179106,851C,0,+,3.0,,,,,90T05,,90X01,,,,,,<2,N,nor
30301791070,103D179107,851C,0,+,3.0,,,,,90T05,,90X02,,,,,,<2,N,nor
30301798800,103D179880,823NU,0,+,3.0,,,,N,90O03,,,,,,,,<1,N,nor
30301798900,103D179890,823NS,0,+,3.0,,,,N,90O02,,,,,,,,<1,N,nor
30301798990,103D179899,187O,0,+,3.0,,,,,03S13,,,,,,,,<1,N,swe
30301799000,103D179900,803NP,0,+,3.0,,,,N,03O01,,,,,,,,<2,N,ice
30301799001,103D1799001,803N,0,+,3.0,,,,N,03O01,,,,,,,,<1,N,nor
30301799100,103D179910,803NR,0,+,3.0,,,,N,03O02,,,,,,,,<2,N,ice
30301799101,103D1799101,803NR,0,+,3.0,,,,N,03O02,,,,,,,,<1,N,nor
30301799200,103D179920,803NS,0,+,3.0,,,,N,03O04,,,,,,,,<2,N,ice
30301799201,103D1799201,803N,0,+,3.0,,,,N,03O04,,,,,,,,<1,N,nor
30301799300,103D179930,803NT,0,+,3.0,,,,N,03O05,,,,,,,,<2,N,ice
30301799301,103D1799301,803N,0,+,3.0,,,,N,03O05,,,,,,,,<1,N,nor
30301799400,103D179940,803NU,0,+,3.0,,,,N,03O06,,,,,,,,<2,N,ice
30301799401,103D1799401,803NU,0,+,3.0,,,,N,03O06,,,,,,,,<1,N,nor
30301799500,103D179950,803NV,0,+,3.0,,,,N,03O10,,,,,,,,<2,N,ice
30301799501,103D1799501,803N,0,+,3.0,,,,N,03O10,,,,,,,,<1,N,nor
30301799600,103D179960,803NW,0,+,3.0,,,,N,03O11,,,,,,,,<2,N,ice
30301799601,103D1799601,803N,0,+,3.0,,,,N,03O11,,,,,,,,<1,N,nor
30301799700,103D179970,803NY,0,+,3.0,,,,N,03O12,,,,,,,,<2,N,ice
30301799701,103D1799701,803N,0,+,3.0,,,,N,03O12,,,,,,,,<1,N,nor
30301799800,103D179980,805NR,0,+,3.0,,,,N,05O21,,,,,,,,<2,N,ice
30301799801,103D1799801,803N,0,+,3.0,,,,N,40O01,,,,,,,,<1,N,nor
30301799960,103D179996,903O,0,+,3.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30301799990,103D179999,803O,0,+,3.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30400100000,104D010000,075O,0,+,4.0,,,,S,04S01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30400100010,104D010001,075O,0,+,4.0,,,,S,04S01,,99X35,,,,,,<1,N,swe
30400200000,104D020000,077O,0,+,4.0,,,,S,04S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30400200001,104D0200001,077O,0,+,4.0,,,,S,04S02,,,,,,,,<1,N,swe
30400201000,104D020100,077O,0,+,4.0,,,,,04S02,,00X10,,,,,,<2,N,den/est/ice/lat
30400201001,104D0201001,077O,0,+,4.0,,,,,04S02,,00X10,,,,,,<1,N,swe
30400210000,104D021000,077O,0,+,4.0,,,,,04S02,,00X10,,,,,,<2,N,fin
30400232500,104D040201,702O,0,+,4.0,,,,P,04E02,,,,,,,,<2,N,den/est/ice/lat
30400255000,104D0299901,702O,0,+,4.0,,,,P,04E02,,,,,,,,<1,N,swe
30400277500,104D0402005,702O,0,+,4.0,,,,P,04E02,,,,,,,,<2,N,fin/nor
30400300000,104D030000,475O,0,+,4.0,,,,,04S03,,,,,,,,<2,N,den/fin/ice/lat/nor
30400300001,104D0300001,475O,0,+,4.0,,,,,04S03,,,,,,,,<1,N,swe
30400310000,104D031000,475O,0,+,4.0,,,,,04S04,,,,,,,,<2,N,den/lat/nor
30400310001,104D0310001,475O,0,+,4.0,,,,,04S04,,,,,,,,<1,N,swe
30400320060,104D032006,851D,0,+,4.0,,,,,90T05,,90X01,,,,,,<2,N,nor
30400320070,104D032007,851D,0,+,4.0,,,,,90T05,,90X02,,,,,,<2,N,nor
30400403000,104D040300,778V,0,+,4.0,,,,,04V02,,,,,,,,<1,N,swe
30400403250,104D040398,711P,0,+,4.0,,,,P,04E11,,00X10,,,,,,<2,N,fin
30400403500,104D040399,711Q,0,+,4.0,,,,P,04E11,,,,,,,,<2,N,fin
30400404000,104D040400,711O,0,+,4.0,,,,P,04E11,,,,,,,,<2,N,den/est/ice/lat/nor
30400416833,104D403999,711P,0,+,4.0,,,,P,04E11,,00X10,,,,,,<1,N,swe
30400429666,104D404000,711Q,0,+,4.0,,,,P,04E11,,,,,,,,<1,N,swe
30400481000,104D048100,905FQ,0,+,4.0,,,,N,04D22,,,,,,,,<2,N,fin
30400482000,104D048200,901FQ,0,+,4.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30400482400,104D048240,906FQ,0,+,4.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30400482600,104D048260,908FQ,0,+,4.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30400482800,104D048280,905FS,0,+,4.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30400483000,104D048300,905FT,0,+,4.0,,,,N,90D64,,90X01,,,,,,<2,N,fin
30400483200,104D048320,917FW,0,+,4.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30400485000,104D048500,905FP,0,+,4.0,,,,N,04D21,,,,,,,,<2,N,fin
30400485200,104D048520,901FP,0,+,4.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30400485800,104D048580,906FP,0,+,4.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30400486000,104D048600,908FP,0,+,4.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30400486100,104D048610,910FP,0,+,4.0,,,,N,90D11,,90X01,,,,,,<2,N,fin
30400486200,104D048620,905FR,0,+,4.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30400486400,104D048640,917FV,0,+,4.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30400487200,104D048720,904FB,0,+,4.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30400487210,104D048721,904FB,0,+,4.0,,,,N,99S80,,90X01,,,,,,<2,N,fin
30400487300,104D048730,904FA,0,+,4.0,,,,N,90T06,,90X01,,,,,,<2,N,fin
30400487310,104D048731,904FA,0,+,4.0,,,,N,90T07,,90X01,,,,,,<2,N,fin
30400487320,104D048732,904FA,0,+,4.0,,,,N,90T08,,90X01,,,,,,<2,N,fin
30400487330,104D048733,904FA,0,+,4.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30400487520,104D048752,904FE,0,+,4.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30400488000,104D048800,804NP,0,+,4.0,,,,N,04O11,,,,,,,,<2,N,ice/nor
30400488100,104D048810,804NR,0,+,4.0,,,,N,04O12,,,,,,,,<2,N,ice
30400488101,104D0488101,804NR,0,+,4.0,,,,N,04O12,,,,,,,,<1,N,nor
30400490000,104D049000,823NS,0,+,4.0,,,,N,90O02,,,,,,,,<1,N,nor
30400499600,104D049960,904O,0,+,4.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30400499900,104D049990,804O,0,+,4.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30500010000,105D001000,470O,0,+,5.0,,,,S,00S20,,,,,,,,<2,N,den/est/lat
30500010002,105D0010002,470P,0,+,5.0,,,,S,05S01,,,,,,,,<2,N,ice/nor/lat
30500010003,105D0010003,471O,B,+,5.0,,,,S,05S01,,,,,,,,<1,N,swe
30500011000,105D001100,471O,B,+,5.0,,,,S,00S20,,,,,,,,<1,N,swe
30500210000,105D021000,104O,0,+,5.0,,,,S,05S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500210011,105D0210011,104O,0,+,5.0,,,,S,05S02,,99X35,,,,,,<1,N,swe
30500210100,105D021010,104O,0,+,5.0,,,,,05S80,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30500211000,105D0211000,104O,0,+,5.0,,,,S,05S80,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500211102,105D0211102,104O,0,+,5.0,,,,S,05S80,,99X35,,,,,,<1,N,swe
30500410000,105D041000,108O,0,+,5.0,,,,S,05S06,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500410010,105D041001,108O,0,+,5.0,,,,S,05S06,,99X35,,,,,,<1,N,swe
30500411000,105D041100,108O,0,+,5.0,,,,S,05S07,05S08,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500411010,105D041101,108O,0,+,5.0,,,,S,05S07,05S08,99X35,,,,,,<1,N,swe
30500413000,105D041300,108O,0,+,5.0,,,,S,05S22,05S21,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500413010,105D041301,108O,0,+,5.0,,,,S,05S22,05S21,99X35,,,,,,<1,N,swe
30500600000,105D060000,107O,0,+,5.0,,,,S,05S09,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500600010,105D060001,107O,0,+,5.0,,,,S,05S09,,99X35,,,,,,<1,N,swe
30500701000,105D070100,111O,0,+,5.0,,,,S,05S07,,,,,,,,<2,N,den/est/ice/lat/nor
30500701001,105D0701001,110O,0,+,5.0,,,,S,05S07,,,,,,,,<2,N,fin
30500701010,105D070101,111O,0,+,5.0,,,,S,05S07,,99X35,,,,,,<1,N,swe
30500702000,105D070200,111O,0,+,5.0,,,,S,05S08,,,,,,,,<2,N,den/est/ice/lat/nor
30500702001,105D0702001,110O,0,+,5.0,,,,S,05S08,,,,,,,,<2,N,fin
30500702010,105D070201,111O,0,+,5.0,,,,S,05S08,,99X35,,,,,,<1,N,swe
30500703000,105D070300,111O,0,+,5.0,,,,S,05S11,,,,,,,,<2,N,den/est/ice/lat/nor
30500703001,105D0703001,110O,0,+,5.0,,,,S,05S11,,,,,,,,<2,N,fin
30500703010,105D070301,111O,0,+,5.0,,,,S,05S11,,99X35,,,,,,<1,N,swe
30500704000,105D070400,111O,0,+,5.0,,,,S,05S22,,,,,,,,<2,N,den/est/ice/lat/nor
30500704001,105D0704001,110O,0,+,5.0,,,,S,05S22,,,,,,,,<2,N,fin
30500704010,105D070401,111O,0,+,5.0,,,,S,05S22,,99X35,,,,,,<1,N,swe
30500802005,105D041310,108O,0,+,5.0,,,,N,05V15,,,,,,,,<1,N,swe
30500900000,105D090000,113O,0,+,5.0,,,,S,05S12,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500900001,105D0900001,113O,0,+,5.0,,,,S,05S12,,,,,,,,<1,N,swe
30500901000,105D090100,113O,0,+,5.0,,,,,05S12,,00X10,,,,,,<2,N,den/est/ice/lat
30500910000,105D091000,113O,0,+,5.0,,,,,05S12,,00X10,,,,,,<2,N,fin
30501101000,105D110100,117O,0,+,5.0,,,,S,05S40,,,,,,,,<1,N,swe
30501101001,105D1101001,117O,0,+,5.0,,,,S,05S40,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501101010,105D110101,117O,0,+,5.0,,,,,05S40,,00X10,,,,,,<1,N,swe
30501101011,105D1101011,117O,0,+,5.0,,,,,05S40,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30501101020,105D110102,117O,0,+,5.0,,,,,05S45,,,,,,,,<1,N,swe
30501101100,105D110110,116O,0,+,5.0,,,,S,05S41,,,,,,,,<1,N,den/swe
30501101101,105D1101101,116O,0,+,5.0,,,,S,05S41,,,,,,,,<2,N,est/fin/ice/nor/lat
30501101120,105D110112,116O,0,+,5.0,,,,S,05S44,,,,,,,,<1,N,swe
30501106560,105D110113,116O,0,+,,,05P05,,S,05S44,,,,,,,,<1,N,swe
30501112000,105D111200,115O,0,+,5.0,,,,S,05S42,,,,,,,,<1,N,swe
30501112001,105D1112001,115O,0,+,5.0,,,,S,05S42,,,,,,,,<2,N,den/est/fin/ice/lat
30501112010,105D111201,115O,0,+,5.0,,,,,05S42,,00X10,,,,,,<1,N,swe
30501112011,105D1112011,115O,0,+,5.0,,,,,05S42,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30501200000,105D120000,112O,0,+,5.0,,,,,05S25,,,,,,,,<2,N,den
30501200002,105D1200002,112P,0,+,5.0,,,,,05S20,,,,,,,,<1,N,swe
30501200003,105D1200102,112P,0,+,5.0,,,,,05S20,,,,,,,,<2,N,fin/ice/nor/est/lat
30501200004,105D1200004,112Q,0,+,5.0,,,,,05S25,,,,,,,,<1,N,swe
30501200005,105D1200005,112Q,0,+,5.0,,,,,05S25,,,,,,,,<2,N,fin/ice/nor/est/lat
30501200100,105D120010,112O,0,+,5.0,,,,,05S20,,,,,,,,<2,N,den
30501200200,105D120020,112O,0,+,5.0,,,,,05S16,,,,,,,,<2,N,den
30501200206,105D1200206,112Q,0,+,5.0,,,,,05S16,,,,,,,,<1,N,swe
30501200207,105D1200202,112Q,0,+,5.0,,,,,05S16,,,,,,,,<2,N,fin/ice/nor/est/lat
30501210000,105D1210000,115O,0,+,5.0,,,,S,05S42,,,,,,,,<2,N,nor
30501255000,105D1300002,119P,0,+,,,05P21,,S,05S15,,99X04,,,,,,<2,N,fin
30501277500,105D13000111,119P,0,+,,,05P21,,,05S15,,00X10,99X04,,,,,<2,N,fin
30501300000,105D130000,119O,0,+,,,05P21,,S,05S15,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501300001,105D1300001,119O,0,+,,,05P21,,S,05S15,,,,,,,,<1,N,swe
30501300010,105D130001,119O,0,+,,,05P21,,,05S15,,00X10,,,,,,<2,N,den/est/ice/lat
30501300011,105D1300011,119O,0,+,,,05P21,,,05S15,,00X10,,,,,,<2,N,fin
30501300012,105D1300012,119O,0,+,,,05P21,,,05S15,,00X10,,,,,,<1,N,swe
30501301000,105D130100,479O,0,+,5.0,,,,S,05S15,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501301001,105D1301001,479O,0,+,5.0,,,,S,05S15,,,,,,,,<1,N,swe
30501301010,105D130101,479O,0,+,5.0,,,,,05S15,,00X10,,,,,,<2,N,den/est/ice/lat
30501301011,105D1301011,479O,0,+,5.0,,,,,05S15,,00X10,,,,,,<1,N,swe
30501301100,105D130110,479O,0,+,5.0,,,,,05S15,,00X10,,,,,,<2,N,fin
30501302000,105D130200,479O,0,+,,,05P02,,S,05S15,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501302001,105D1302001,479O,0,+,,,05P02,,S,05S15,,,,,,,,<1,N,swe
30501302010,105D130201,479O,0,+,,,05P02,,,05S15,,00X10,,,,,,<2,N,den/est/ice/lat
30501302011,105D1302011,479O,0,+,,,05P02,,,05S15,,00X10,,,,,,<1,N,swe
30501302100,105D130210,479O,0,+,,,05P02,,,05S15,,00X10,,,,,,<2,N,fin
30501500000,105D150000,114O,0,+,5.0,,,,S,05S17,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501500001,105D1500001,114O,0,+,5.0,,,,S,05S17,,,,,,,,<1,N,swe
30501501000,105D150100,114O,0,+,5.0,,,,,05S17,,00X10,,,,,,<2,N,den/est/ice/lat
30501510000,105D151000,114O,0,+,5.0,,,,,05S17,,00X10,,,,,,<2,N,fin
30501655000,105D1800002,119P,0,+,5.0,,,,S,05S18,,99X04,,,,,,<2,N,fin
30501800000,105D180000,119O,0,+,5.0,,,,S,05S18,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501800001,105D1800001,119O,0,+,5.0,,,,S,05S18,,,,,,,,<1,N,swe
30501910000,105D191000,477O,0,+,5.0,,,,S,05S21,,,,,,,,<2,N,den/est/ice/lat/nor
30501910001,105D1910001,110O,0,+,5.0,,,,S,05S21,,,,,,,,<2,N,fin
30501910002,105D1910002,477O,7,+,5.0,,,,S,05S21,,,,,,,,<1,N,swe
30501949000,105D230000,125O,0,+,5.0,,,,,05S05,,,,,,,,<2,N,den/est/fin/ice/lat
30501949666,105D1949001,125O,0,+,5.0,,,,,05S05,,,,,,,,<1,N,swe
30501950000,105D195000,120O,0,+,5.0,,,,P,05S19,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30501950033,105D1955,120O,0,+,,,05P05,,P,05S19,,,,,,,,<2,N,est/nor/ice/lat
30501950066,105D1950001,120O,0,+,5.0,,,,P,05S19,,,,,,,,<1,N,swe
30501950100,105D195010,120O,0,+,5.0,,,,,05S19,,00X10,,,,,,<1,N,swe
30501951000,105D195100,120O,0,+,5.0,,,,,05S19,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30501955530,105D2180001,805NP,0,+,5.0,,,,N,05O02,,,,,,,,<2,N,fin/est/lat
30501960060,105D196006,851D,0,+,5.0,,,,,90T05,,90X01,,,,,,<2,N,nor
30501960070,105D196007,851D,0,+,5.0,,,,,90T05,,90X02,,,,,,<2,N,nor
30502120000,105D212000,901FQ,0,+,5.0,,,,N,05D02,,,,,,,,<2,N,fin
30502120200,105D212020,905FQ,0,+,5.0,,,,N,05D22,,,,,,,,<2,N,fin
30502120400,105D212040,905FS,0,+,5.0,,,,N,05D62,,,,,,,,<2,N,fin
30502120600,105D212060,905FT,0,+,5.0,,,,N,05D64,,,,,,,,<2,N,fin
30502121000,105D212100,901FQ,0,+,5.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30502121400,105D212140,906FQ,0,+,5.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30502121600,105D212160,908FQ,0,+,5.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30502121800,105D212180,905FS,0,+,5.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30502121900,105D212190,917FW,0,+,5.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30502123000,105D212300,901FP,0,+,5.0,,,,N,05D01,,,,,,,,<2,N,fin
30502123200,105D212320,905FP,0,+,5.0,,,,N,05D21,,,,,,,,<2,N,fin
30502123400,105D212340,906FP,0,+,5.0,,,,N,05D31,,,,,,,,<2,N,fin
30502123600,105D212360,905FR,0,+,5.0,,,,N,05D61,,,,,,,,<2,N,fin
30502123800,105D212380,910FP,0,+,5.0,,,,N,05D11,,,,,,,,<2,N,fin
30502124000,105D212400,901FP,0,+,5.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30502124200,105D212420,905FP,0,+,5.0,,,,N,90D21,,90X01,,,,,,<2,N,fin
30502124400,105D212440,906FP,0,+,5.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30502124600,105D212460,908FP,0,+,5.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30502125200,105D212520,917FV,0,+,5.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30502130300,105D213030,905FG,0,+,5.0,,,,N,90T01,,05X07,,,,,,<2,N,fin
30502130400,105D213040,917FE,0,+,5.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30502131000,105D213100,917FU,0,+,5.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30502140020,105D214002,905FG,0,+,5.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30502170000,105D217000,125O,0,+,5.0,,,,,05S05,,,,,,,,<2,N,nor
30502180000,105D218000,805NP,0,+,5.0,,,,N,05O02,,,,,,,,<2,N,ice/nor
30502180100,105D218010,805NR,0,+,5.0,,,,N,05O21,,,,,,,,<2,N,ice
30502180200,105D218020,805NS,0,+,5.0,,,,N,05O22,,,,,,,,<2,N,ice
30502180300,105D218030,805NT,0,+,5.0,,,,N,05O23,,,,,,,,<2,N,ice
30502499600,105D249960,905O,0,+,5.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30502499900,105D249990,805O,0,+,5.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
