code_plus,text_plus,ast,nat_ver
A06AA01,Liquid paraffin,,fin/swe
A06AA02,Docusate sodium,,fin/swe
A06AA51,"Liquid paraffin, combinations",,fin/swe
A06AB,Contact laxatives,,est/swe/lat/ice/den/fin/nor
A06AB01,Oxyphenisatine,,fin/swe
A06AB02,Bisacodyl,,fin/swe
A06AB03,Dantron,,fin/swe
A06AB04,Phenolphthalein,,fin/swe
A06AB05,Castor oil,,fin/swe
A06AB06,Senna glycosides,,fin/swe
A06AB07,Cascara,,fin/swe
A06AB08,Sodium picosulfate,,fin/swe
A06AB09,Bisoxatin,,fin/swe
A06AB20,Contact laxatives in combination,,fin/swe
A06AB30,Contact laxatives in combination with belladonna al,,fin/swe
A06AB52,"Bisacodyl, combinations",,fin/swe
A06AB53,"Dantron, combinations",,fin/swe
A06AB56,"Senna glycosides, combinations",,fin/swe
A06AB57,"Cascara, combinations",,fin/swe
A06AB58,"Sodium picosulfate, combinations",,fin/swe
A06AC,Bulk producers,,est/swe/lat/ice/den/fin/nor
A06AC01,Ispaghula (psylla seeds),,fin/swe
A06AC02,Ethulose,,fin/swe
A06AC03,Sterculia,,fin/swe
A06AC05,Linseed,,fin/swe
A06AC06,Methylcellulose,,fin/swe
A06AC07,Triticum (wheat fibre),,fin/swe
A06AC08,Polycarbophil calcium,,fin/swe
A06AC51,"Ispaghula, combinations",,fin/swe
A06AC53,"Sterculia, combinations",,fin/swe
A06AC55,"Linseed, combinations",,fin/swe
A06AD,Osmotically acting laxatives,,est/swe/lat/ice/den/fin/nor
A06AD01,Magnesium carbonate,,fin/swe
A06AD02,Magnesium oxide,,fin/swe
A06AD03,Magnesium peroxide,,fin/swe
A06AD04,Magnesium sulfate,,fin/swe
A06AD10,Mineral salts in combination,,fin/swe
A06AD11,Lactulose,,fin/swe
A06AD12,Lactitol,,fin/swe
A06AD13,Sodium sulfate,,fin/swe
A06AD14,Pentaerithrityl,,fin/swe
A06AD15,Macrogol,,fin/swe
A06AD16,Mannitol,,fin/swe
A06AD17,Sodium phosphate,,fin/swe
A06AD18,Sorbitol,,fin/swe
A06AD19,Magnesium citrate,,fin/swe
A06AD21,Sodium tartrate,,fin/swe
A06AD61,"Lactulose, combinations",,fin/swe
A06AD65,"Macrogol, combinations",,fin/swe
A06AG,Enemas,,est/swe/lat/ice/den/fin/nor
A06AG01,Sodium phosphate,,fin/swe
A06AG02,Bisacodyl,,fin/swe
A06AG03,"Dantron, incl. combinations",,fin/swe
A06AG04,Glycerol,,fin/swe
A06AG06,Oil,,fin/swe
A06AG07,Sorbitol,,fin/swe
A06AG10,"Docusate sodium, incl. combinations",,fin/swe
A06AG11,"Sodium lauryl sulfoacetate, incl. combinations",,fin/swe
A06AG20,Combinations,,fin/swe
A06AH01,Methylnaltrexone bromide,,swe
A06AH02,Alvimopan,,swe
A06AH03,Naloxegol,,swe
A06AH04,Naloxone,,swe
A06AH05,Naldemedine,,fin/swe
A06AX,Other laxatives,,est/swe/lat/ice/den/fin/nor
A06AX01,Glycerol,,fin/swe
A06AX02,Carbon dioxide producing drugs,,fin/swe
A06AX03,Lubiprostone,,fin/swe
A06AX04,Linaclotide,,swe
A06AX05,Prucalopride,,fin/swe
A06AX06,Tegaserod,,fin/swe
A06AX07,Plecanatide,,swe
A06AX08,Tenapanor,,fin/swe
A0700,Balantidiasis,,est/swe/lat/ice/den/fin/nor
A0710,Giardiasis [lambliasis],,est/swe/lat/ice/den/fin/nor
A0720,Cryptosporidiosis,,est/swe/lat/ice/den/fin/nor
A0730,Isosporiasis,,est/swe/lat/ice/den/fin/nor
A0780,Other specified protozoal intestinal diseases,,est/swe/lat/ice/den/fin/nor
A0790,"Protozoal intestinal disease, unspecified",,est/swe/lat/ice/den/fin/nor
A07AA,Antibiotics,,est/swe/lat/ice/den/fin/nor
A07AA01,Neomycin,,fin/swe
A07AA02,Nystatin,,fin/swe
A07AA03,Natamycin,,fin/swe
A07AA04,Streptomycin,,fin/swe
A07AA05,Polymyxin B,,fin/swe
A07AA06,Paromomycin,,fin/swe
A07AA07,Amphotericin B,,fin/swe
A07AA08,Kanamycin,,fin/swe
A07AA09,Vancomycin,,fin/swe
A07AA10,Colistin,,fin/swe
A07AA11,Rifaximin,,fin/swe
A07AA12,Fidaxomicin,,swe
A07AA13,Rifamycin,,fin/swe
A07AA51,"Neomycin, combinations",,fin/swe
A07AA54,"Streptomycin, combinations",,fin/swe
A07AB,Sulfonamides,,est/swe/lat/ice/den/fin/nor
A07AB02,Phthalylsulfathiazole,,fin/swe
A07AB03,Sulfaguanidine,,fin/swe
A07AB04,Succinylsulfathiazole,,fin/swe
A07AC,Imidazole derivatives,,est/swe/lat/ice/den/fin/nor
A07AC01,Miconazole,,fin/swe
A07AX,Other intestinal antiinfectives,,est/swe/lat/ice/den/fin/nor
A07AX01,Broxyquinoline,,fin/swe
A07AX02,Acetarsol,,fin/swe
A07AX03,Nifuroxazide,,fin/swe
A07AX04,Nifurzide,,fin/swe
A07BA,Charcoal preparations,,est/swe/lat/ice/den/fin/nor
A07BA01,Medicinal charcoal,,fin/swe
A07BA51,"Medicinal charcoal, combinations",,fin/swe
A07BB,Bismuth preparations,,est/swe/lat/ice/den/fin/nor
A07BC,Other intestinal adsorbents,,est/swe/lat/ice/den/fin/nor
A07BC01,Pectin,,fin/swe
A07BC02,Kaolin,,fin/swe
A07BC03,Crospovidone,,fin/swe
A07BC04,Attapulgite,,fin/swe
A07BC05,Diosmectite,,fin/swe
A07BC30,Combinations,,fin/swe
A07BC54,"Attapulgite, combinations",,fin/swe
A07CA,Oral rehydration salt formulations,,est/swe/lat/ice/den/fin/nor
A07DA,Antipropulsives,,est/swe/lat/ice/den/fin/nor
A07DA01,Diphenoxylate,,fin/swe
A07DA02,Opium,,fin/swe
A07DA03,Loperamide,,fin/swe
A07DA04,Difenoxin,,fin/swe
A07DA05,Loperamide oxide,,fin/swe
A07DA06,Eluxadoline,,swe
A07DA52,"Morphine, combinations",,fin/swe
A07DA53,"Loperamide, combinations",,fin/swe
A07EA,Corticosteroids acting locally,,est/swe/lat/ice/den/fin/nor
A07EA01,Prednisolone,,fin/swe
A07EA02,Hydrocortisone,,fin/swe
A07EA03,Prednisone,,fin/swe
A07EA04,Betamethasone,,fin/swe
A07EA05,Tixocortol,,fin/swe
A07EA06,Budesonide,,fin/swe
A07EA07,Beclometasone,,fin/swe
A07EB,"Antiallergic agents, excl. corticosteroids",,est/swe/lat/ice/den/fin/nor
A07EB01,Cromoglicic acid,,fin/swe
A07EC,Aminosalicylic acid and similar agents,,est/swe/lat/ice/den/fin/nor
A07EC01,Sulfasalazine,,fin/swe
A07EC02,Mesalazine,,fin/swe
A07EC03,Olsalazine,,fin/swe
A07EC04,Balsalazide,,fin/swe
A07FA,Antidiarrheal microorganisms,,est/swe/lat/ice/den/fin/nor
A07FA01,Lactic acid producing organisms,,fin/swe
A07FA02,Saccharomyces boulardii,,fin/swe
A07FA51,"Lactic acid producing organisms, combinations",,fin/swe
A07XA,Other antidiarrheals,,est/swe/lat/ice/den/fin/nor
A07XA01,Albumin tannate,,fin/swe
A07XA02,Ceratonia,,fin/swe
A07XA03,Calcium compounds,,fin/swe
A07XA04,Racecadotril,,fin/swe
A07XA06,Crofelemer,,fin/swe
A07XA51,"Albumin tannate, combinations",,fin/swe
A0800,Rotaviral enteritis,,est/swe/lat/ice/den/fin/nor
A0810,Acute gastroenteropathy due to Norwalk agent,,est/swe/lat/ice/den/fin/nor
A0820,Adenoviral enteritis,,est/swe/lat/ice/den/fin/nor
A0830,Other viral enteritis,,est/swe/lat/ice/den/fin/nor
A083A,Coxsackie viral enteritis,,swe
A083B,Echoviral enteritis,,swe
A0840,"Viral intestinal infection, unspecified",,est/swe/lat/ice/den/fin/nor
A0850,Other specified intestinal infections,,est/swe/lat/ice/den/fin/nor
A08AA,Centrally acting antiobesity products,,est/swe/lat/ice/den/fin/nor
A08AA01,Phentermine,,fin/swe
A08AA02,Fenfluramine,,fin/swe
A08AA03,Amfepramone,,fin/swe
A08AA04,Dexfenfluramine,,fin/swe
A08AA05,Mazindol,,fin/swe
A08AA06,Etilamfetamine,,fin/swe
A08AA07,Cathine,,fin/swe
A08AA08,Clobenzorex,,fin/swe
A08AA09,Mefenorex,,fin/swe
A08AA10,Sibutramine,,fin/swe
A08AA11,Lorcaserin,,swe
A08AA12,Setmelanotide,,fin/swe
A08AA56,"Ephedrine, combinations",,fin/swe
A08AA62,Bupropion and naltrexone,,swe
A08AB,Peripherally acting antiobesity products,,est/swe/lat/ice/den/fin/nor
A08AB01,Orlistat,,fin/swe
A08AX01,Rimonabant,,fin/swe
A0900,Diarrhoea and gastroenteritis of presumed infectious origin,,est/swe/lat/ice/den/fin/nor
A0990,Gastroenteritis and colitis of unspecified origin,,swe/lat/ice/den/nor
A09AA,Enzyme preparations,,est/swe/lat/ice/den/fin/nor
A09AA01,Diastase,,fin/swe
A09AA02,"Multienzymes (lipase, protease etc.)",,fin/swe
A09AA03,Pepsin,,fin/swe
A09AA04,Tilactase,,fin/swe
A09AB,Acid preparations,,est/swe/lat/ice/den/fin/nor
A09AB01,Glutamic acid hydrochloride,,fin/swe
A09AB02,Betaine hydrochloride,,fin/swe
A09AB03,Hydrochloric acid,,fin/swe
A09AB04,Citric acid,,fin/swe
A09AC,"Enzyme and acid preparations, combinations",,est/swe/lat/ice/den/fin/nor
A09AC01,Pepsin and acid preparations,,fin/swe
A09AC02,Multienzymes and acid preparations,,fin/swe
A10AB,"Insulins and analogues, fast-acting",,est/swe/lat/ice/den/fin/nor
A10AB01,Insulin (human),,fin/swe
A10AB02,Insulin (beef),,fin/swe
A10AB03,Insulin (pork),,fin/swe
A10AB04,Insulin lispro,,fin/swe
A10AB05,Insulin aspart,,fin/swe
A10AB06,Insulin glulisine,,fin/swe
A10AB30,Combinations,,fin/swe
A10AC,"Insulins and analogues, intermediate-acting",,est/swe/lat/ice/den/fin/nor
A10AC01,Insulin (human),,fin/swe
A10AC02,Insulin (beef),,fin/swe
A10AC03,Insulin (pork),,fin/swe
A10AC04,Insulin lispro,,fin/swe
A10AC30,Combinations,,fin/swe
A10AD,"Insulins and analogues, intermediate-acting combined with fast-acting",,est/swe/lat/ice/den/fin/nor
A10AD01,Insulin (human),,fin/swe
A10AD02,Insulin (beef),,fin/swe
A10AD03,Insulin (pork),,fin/swe
A10AD04,Insulin lispro,,fin/swe
A10AD05,Insulin aspart,,fin/swe
A10AD06,Insulin degludec and insulin aspart,,swe
A10AD30,Combinations,,fin/swe
A10AE,"Insulins and analogues, long-acting",,est/swe/lat/ice/den/fin/nor
A10AE01,Insulin (human),,fin/swe
A10AE02,Insulin (beef),,fin/swe
A10AE03,Insulin (pork),,fin/swe
A10AE04,Insulin glargine,,fin/swe
A10AE05,Insulin detemir,,fin/swe
A10AE06,Insulin degludec,,swe
A10AE30,Combinations,,fin/swe
A10AE54,Insulin glargine and lixisenatide,,swe
A10AE56,Insulin degludec and liraglutide,,swe
A10AF01,Insulin (human),,fin/swe
A10BA,Biguanides,,est/swe/lat/ice/den/fin/nor
A10BA01,Phenformin,,fin/swe
A10BA02,Metformin,,fin/swe
A10BA03,Buformin,,fin/swe
A10BB,"Sulfonamides, urea derivatives",,est/swe/lat/ice/den/fin/nor
A10BB01,Glibenclamide,,fin/swe
A10BB02,Chlorpropamide,,fin/swe
A10BB03,Tolbutamide,,fin/swe
A10BB04,Glibornuride,,fin/swe
A10BB05,Tolazamide,,fin/swe
A10BB06,Carbutamide,,fin/swe
A10BB07,Glipizide,,fin/swe
A10BB08,Gliquidone,,fin/swe
A10BB09,Gliclazide,,fin/swe
A10BB10,Metahexamide,,fin/swe
A10BB11,Glisoxepide,,fin/swe
A10BB12,Glimepiride,,fin/swe
A10BB31,Acetohexamide,,fin/swe
A10BC,Sulfonamides (heterocyclic),,est/swe/lat/ice/den/fin/nor
A10BC01,Glymidine,,fin/swe
A10BD,Combinations of oral blood glucose lowering drugs,,est/swe/lat/ice/den/fin/nor
A10BD01,Phenformin and sulfonylureas,,fin/swe
A10BD02,Metformin and sulfonylureas,,fin/swe
A10BD03,Metformin and rosiglitazone,,fin/swe
A10BD04,Glimepiride and rosiglitazone,,fin/swe
A10BD05,Metformin and pioglitazone,,fin/swe
A10BD06,Glimepiride and pioglitazone,,fin/swe
A10BD07,Metformin and sitagliptin,,fin/swe
A10BD08,Metformin and vildagliptin,,fin/swe
A10BD09,Pioglitazone and alogliptin,,swe
A10BD10,Metformin and saxagliptin,,swe
A10BD11,Metformin and linagliptin,,swe
A10BD12,Pioglitazone and sitagliptin,,swe
A10BD13,Metformin and alogliptin,,swe
A10BD14,Metformin and repaglinide,,swe
A10BD15,Metformin and dapagliflozin,,swe
A10BD16,Metformin and canagliflozin,,swe
A10BD17,Metformin and acarbose,,swe
A10BD18,Metformin and gemigliptin,,swe
A10BD19,Linagliptin and empagliflozin,,swe
A10BD20,Metformin and empagliflozin,,swe
A10BD21,Saxagliptin and dapagliflozin,,swe
A10BD22,Metformin and evogliptin,,swe
A10BD23,Metformin and ertugliflozin,,fin/swe
A10BD24,Sitagliptin and ertugliflozin,,fin/swe
A10BD25,"Metformin, saxagliptin and dapagliflozin",,fin/swe
A10BD26,Metformin and lobeglitazone,,fin/swe
A10BD27,"Metformin, linagliptin and empagliflozin",,fin/swe
A10BF,Alpha glucosidase inhibitors,,est/swe/lat/ice/den/fin/nor
A10BF01,Acarbose,,fin/swe
A10BF02,Miglitol,,fin/swe
A10BF03,Voglibose,,fin/swe
A10BG,Thiazolidinediones,,est/swe/lat/ice/den/fin/nor
A10BG01,Troglitazone,,fin/swe
A10BG02,Rosiglitazone,,fin/swe
A10BG03,Pioglitazone,,fin/swe
A10BG04,Lobeglitazone,,fin/swe
A10BH01,Sitagliptin,,fin/swe
A10BH02,Vildagliptin,,fin/swe
A10BH03,Saxagliptin,,swe
A10BH04,Alogliptin,,swe
A10BH05,Linagliptin,,swe
A10BH06,Gemigliptin,,swe
A10BH07,Evogliptin,,swe
A10BH08,Teneligliptin,,fin/swe
A10BH51,Sitagliptin and simvastatin,,swe
A10BH52,Gemigliptin and rosuvastatin,,fin/swe
A10BJ01,Exenatide,,fin/swe
A10BJ02,Liraglutide,,fin/swe
A10BJ03,Lixisenatide,,swe
A10BJ04,Albiglutide,,swe
A10BJ05,Dulaglutide,,swe
A10BJ06,Semaglutide,,swe
A10BJ07,Beinaglutide,,fin/swe
A10BK01,Dapagliflozin,,swe
A10BK02,Canagliflozin,,swe
A10BK03,Empagliflozin,,swe
A10BK04,Ertugliflozin,,fin/swe
A10BK05,Ipragliflozin,,fin/swe
A10BK06,Sotagliflozin,,fin/swe
A10BK07,Luseogliflozin,,fin/swe
A10BX,Other oral blood glucose lowering drugs,,est/swe/lat/ice/den/fin/nor
A10BX01,Guar gum,,fin/swe
A10BX02,Repaglinide,,fin/swe
A10BX03,Nateglinide,,fin/swe
A10BX05,Pramlintide,,fin/swe
A10BX06,Benfluorex,,fin/swe
A10BX08,Mitiglinide,,swe
A10BX15,Imeglimin,,fin/swe
A10XA,Aldose reductase inhibitors,,est/swe/lat/ice/den/fin/nor
A10XA01,Tolrestat,,fin/swe
A11AA,Multivitamins with minerals,,est/swe/lat/ice/den/fin/nor
A11AA01,Multivitamins and iron,,fin/swe
A11AA02,Multivitamins and calcium,,fin/swe
A11AA03,"Multivitamins and other minerals, incl. combination",,fin/swe
A11AA04,Multivitamins and trace elements,,fin/swe
A11AB,"Multivitamins, other combinations",,est/swe/lat/ice/den/fin/nor
A11BA,"Multivitamins, plain",,est/swe/lat/ice/den/fin/nor
A11CA,"Vitamin A, plain",,est/swe/lat/ice/den/fin/nor
A11CA01,Retinol (vit A),,fin/swe
A11CA02,Betacarotene,,fin/swe
A11CB,Vitamin A and D in combination,,est/swe/lat/ice/den/fin/nor
A11CC,Vitamin D and analogues,,est/swe/lat/ice/den/fin/nor
A11CC01,Ergocalciferol,,fin/swe
A11CC02,Dihydrotachysterol,,fin/swe
A11CC03,Alfacalcidol,,fin/swe
A11CC04,Calcitriol,,fin/swe
A11CC05,Colecalciferol,,fin/swe
A11CC06,Calcifediol,,fin/swe
A11CC20,Combinations,,fin/swe
A11CC55,"Colecalciferol, combinations",,swe
A11DA,"Vitamin B1, plain",,est/swe/lat/ice/den/fin/nor
A11DA01,Thiamine (vit B1),,fin/swe
A11DA02,Sulbutiamine,,fin/swe
A11DA03,Benfotiamine,,fin/swe
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,,est/swe/lat/ice/den/fin/nor
A11EA,"Vitamin B-complex, plain",,est/swe/lat/ice/den/fin/nor
A11EB,Vitamin B-complex with vitamin C,,est/swe/lat/ice/den/fin/nor
A11EC,Vitamin B-complex with minerals,,est/swe/lat/ice/den/fin/nor
A11ED,Vitamin B-complex with anabolic steroids,,est/swe/lat/ice/den/fin/nor
A11EX,"Vitamin B-complex, other combinations",,est/swe/lat/ice/den/fin/nor
A11GA,"Ascorbic acid (vitamin C), plain",,est/swe/lat/ice/den/fin/nor
A11GA01,Ascorbic acid (vit C),,fin/swe
A11GB,"Ascorbic acid (vitamin C), combinations",,est/swe/lat/ice/den/fin/nor
A11GB01,Ascorbic acid (vit C) and calcium,,fin/swe
A11HA,Other plain vitamin preparations,,est/swe/lat/ice/den/fin/nor
A11HA01,Nicotinamide,,fin/swe
A11HA02,Pyridoxine (vit B6),,fin/swe
A11HA03,Tocopherol (vit E),,fin/swe
A11HA04,Riboflavin (vit B2),,fin/swe
A11HA05,Biotin,,fin/swe
A11HA06,Pyridoxal phosphate,,fin/swe
A11HA07,Inositol,,fin/swe
A11HA08,Tocofersolan,,fin/swe
A11HA30,Dexpanthenol,,fin/swe
A11HA31,Calcium pantothenate,,fin/swe
A11HA32,Pantethine,,fin/swe
A11JA,Combinations of vitamins,,est/swe/lat/ice/den/fin/nor
A11JB,Vitamins with minerals,,est/swe/lat/ice/den/fin/nor
A11JC,"Vitamins, other combinations",,est/swe/lat/ice/den/fin/nor
A12AA,Calcium,,est/swe/lat/ice/den/fin/nor
A12AA01,Calcium phosphate,,fin/swe
A12AA02,Calcium glubionate,,fin/swe
A12AA03,Calcium gluconate,,fin/swe
A12AA04,Calcium carbonate,,fin/swe
A12AA05,Calcium lactate,,fin/swe
A12AA06,Calcium lactate gluconate,,fin/swe
A12AA07,Calcium chloride,,fin/swe
A12AA08,Calcium glycerylphosphate,,fin/swe
A12AA09,Calcium citrate lysine complex,,fin/swe
A12AA10,Calcium glucoheptonate,,fin/swe
A12AA11,Calcium pangamate,,fin/swe
A12AA13,Calcium citrate,,swe
A12AA20,Calcium (different salts in combination),,fin/swe
A12AA30,Calcium laevulate,,fin/swe
A12AX,"Calcium, combinations with other drugs",,est/swe/lat/ice/den/fin/nor
A12BA,Potassium,,est/swe/lat/ice/den/fin/nor
A12BA01,Potassium chloride,,fin/swe
A12BA02,Potassium citrate,,fin/swe
A12BA03,Potassium hydrogentartrate,,fin/swe
A12BA04,Potassium hydrogencarbonate,,fin/swe
A12BA05,Potassium gluconate,,fin/swe
A12BA30,Potassium (different salts in combination),,fin/swe
A12BA51,"Potassium chloride, combinations",,fin/swe
A12CA,Sodium,,est/swe/lat/ice/den/fin/nor
A12CA01,Sodium chloride,,fin/swe
A12CA02,Sodium sulfate,,fin/swe
A12CB,Zinc,,est/swe/lat/ice/den/fin/nor
A12CB01,Zinc sulfate,,fin/swe
A12CB02,Zinc gluconate,,fin/swe
A12CB03,Zinc protein complex,,fin/swe
A12CC,Magnesium,,est/swe/lat/ice/den/fin/nor
A12CC01,Magnesium chloride,,fin/swe
A12CC02,Magnesium sulfate,,fin/swe
A12CC03,Magnesium gluconate,,fin/swe
A12CC04,Magnesium citrate,,fin/swe
A12CC05,Magnesium aspartate,,fin/swe
A12CC06,Magnesium lactate,,fin/swe
A12CC07,Magnesium levulinate,,fin/swe
A12CC08,Magnesium pidolate,,fin/swe
A12CC09,Magnesium orotate,,fin/swe
A12CC10,Magnesium oxide,,fin/swe
A12CC30,Magnesium (different salts in combination),,fin/swe
A12CD,Fluoride,,est/swe/lat/ice/den/fin/nor
A12CD01,Sodium fluoride,,fin/swe
A12CD02,Sodium monofluorophosphate,,fin/swe
A12CD51,"Fluoride, combinations",,fin/swe
A12CE,Selenium,,est/swe/lat/ice/den/fin/nor
A12CE01,Sodium selenate,,fin/swe
A12CE02,Sodium selenite,,fin/swe
A12CX,Other mineral products,,est/swe/lat/ice/den/fin/nor
A14AA,Androstan derivatives,,est/swe/lat/ice/den/fin/nor
A14AA01,Androstanolone,,fin/swe
A14AA02,Stanozolol,,fin/swe
A14AA03,Metandienone,,fin/swe
A14AA04,Metenolone,,fin/swe
A14AA05,Oxymetholone,,fin/swe
A14AA06,Quinbolone,,fin/swe
A14AA07,Prasterone,,fin/swe
A14AA08,Oxandrolone,,fin/swe
A14AA09,Norethandrolone,,fin/swe
A14AB,Estren derivatives,,est/swe/lat/ice/den/fin/nor
A14AB01,Nandrolone,,fin/swe
A14AB02,Ethylestrenol,,fin/swe
A14AB03,Oxabolone cipionate,,fin/swe
A1500,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,est/swe/lat/ice/den/fin/nor
A1510,"Tuberculosis of lung, confirmed by culture only",,est/swe/lat/ice/den/fin/nor
A1520,"Tuberculosis of lung, confirmed histologically",,est/swe/lat/ice/den/fin/nor
A1530,"Tuberculosis of lung, confirmed by unspecified means",,est/swe/lat/ice/den/fin/nor
A1540,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1550,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1560,"Tuberculous pleurisy, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1570,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1580,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1590,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
A1600,"Tuberculosis of lung, bacteriologically and histologically negative",,est/swe/lat/ice/den/fin/nor
A1610,"Tuberculosis of lung, bacteriological and histological examination not done",,est/swe/lat/ice/den/fin/nor
A1620,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A1630,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A1640,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A1650,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A1670,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,est/swe/lat/ice/den/fin/nor
A1680,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A1690,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
A16AA,Amino acids and derivatives,,est/swe/lat/ice/den/fin/nor
A16AA01,Levocarnitine,,fin/swe
A16AA02,Ademetionine,,fin/swe
A16AA03,Glutamine,,fin/swe
A16AA04,Mercaptamine,,fin/swe
A16AA05,Carglumic acid,,fin/swe
A16AA06,Betaine,,fin/swe
A16AA07,Metreleptin,,swe
A16AB,Enzymes,,est/swe/lat/ice/den/fin/nor
A16AB01,Alglucerase,,fin/swe
A16AB02,Imiglucerase,,fin/swe
A16AB03,Agalsidase alfa,,fin/swe
A16AB04,Agalsidase beta,,fin/swe
A16AB05,Laronidase,,fin/swe
A16AB06,Sacrosidase,,fin/swe
A16AB07,Alglucosidase alfa,,fin/swe
A16AB08,Galsulfase,,fin/swe
A16AB09,Idursulfase,,fin/swe
A16AB10,Velaglucerase alfa,,swe
A16AB11,Taliglucerase alfa,,swe
A16AB12,Elosulfase alfa,,swe
A16AB13,Asfotase alfa,,swe
A16AB14,Sebelipase alfa,,swe
A16AB15,Velmanase alfa,,swe
A16AB16,Idursulfase beta,,swe
A16AB17,Cerliponase alfa,,swe
A16AB18,Vestronidase alfa,,swe
A16AB19,Pegvaliase,,fin/swe
A16AB20,Pegunigalsidase alfa,,fin/swe
A16AB21,Atidarsagene autotemcel,,fin/swe
A16AB22,Avalglucosidase alfa,,fin/swe
A16AX,Various alimentary tract and metabolism products,,est/swe/lat/ice/den/fin/nor
A16AX01,Thioctic acid,,fin/swe
A16AX02,Anethole trithione,,fin/swe
A16AX03,Sodium phenylbutyrate,,fin/swe
A16AX04,Nitisinone,,fin/swe
A16AX05,Zinc acetate,,fin/swe
A16AX06,Miglustat,,fin/swe
A16AX07,Sapropterin,,fin/swe
A16AX08,Teduglutide,,swe
A16AX09,Glycerol phenylbutyrate,,swe
A16AX10,Eliglustat,,swe
A16AX11,Sodium benzoate,,swe
A16AX12,Trientine,,swe
A16AX13,Uridine triacetate,,swe
A16AX14,Migalastat,,swe
A16AX15,Telotristat,,fin/swe
A16AX16,Givosiran,,fin/swe
A16AX17,Triheptanoin,,fin/swe
A16AX18,Lumasiran,,fin/swe
A16AX19,Fosdenopterin,,fin/swe
A16AX20,Lonafarnib,,fin/swe
A16AX30,Sodium benzoate and sodium phenylacetate,,fin/swe
A1700,Tuberculous meningitis (G01*),+,est/swe/lat/ice/den/fin/nor
A1710,Meningeal tuberculoma (G07*),+,est/swe/lat/ice/den/fin/nor
A1780,Other tuberculosis of nervous system,+,est/swe/lat/ice/den/fin/nor
A1790,"Tuberculosis of nervous system, unspecified (G99.8*)",+,est/swe/lat/ice/den/fin/nor
A1800,Tuberculosis of bones and joints,+,est/swe/lat/ice/den/fin/nor
A1810,Tuberculosis of genitourinary system,,est/swe/lat/ice/den/fin/nor
A1820,Tuberculous peripheral lymphadenopathy,,est/swe/lat/ice/den/fin/nor
A1830,"Tuberculosis of intestines, peritoneum and mesenteric glands",,est/swe/lat/ice/den/fin/nor
A1840,Tuberculosis of skin and subcutaneous tissue,,est/swe/lat/ice/den/fin/nor
A184C,Lupus vulgaris NOS,,swe
A184D,Scrofuloderma,,swe
A184E,Tuberkulotic erythema induratum,,swe
A184F,Tuberkulotic erythema nodosum,,swe
A184G,Tuberkulotic wound of skin,,swe
A184H,Tuberculotic verrucosa cutis,,swe
A184J,Acne scrofulosorum,,swe
A184K,Lichen scrofulosorum,,swe
A184L,Papulonekrotisk tuberkulid,,swe
A1850,Tuberculosis of eye,,est/swe/lat/ice/den/fin/nor
A1860,Tuberculosis of ear,,est/swe/lat/ice/den/fin/nor
A1870,Tuberculosis of adrenal glands (E35.1*),+,est/swe/lat/ice/den/fin/nor
A1880,Tuberculosis of other specified organs,,est/swe/lat/ice/den/fin/nor
A1900,Acute miliary tuberculosis of a single specified site,,est/swe/lat/ice/den/fin/nor
A1910,Acute miliary tuberculosis of multiple sites,,est/swe/lat/ice/den/fin/nor
A1920,"Acute miliary tuberculosis, unspecified",,est/swe/lat/ice/den/fin/nor
A1980,Other miliary tuberculosis,,est/swe/lat/ice/den/fin/nor
A1990,"Miliary tuberculosis, unspecified",,est/swe/lat/ice/den/fin/nor
A2000,Bubonic plague,,est/swe/lat/ice/den/fin/nor
A2010,Cellulocutaneous plague,,est/swe/lat/ice/den/fin/nor
A2020,Pneumonic plague,,est/swe/lat/ice/den/fin/nor
A2030,Plague meningitis,,est/swe/lat/ice/den/fin/nor
A2070,Septicaemic plague,,est/swe/lat/ice/den/fin/nor
A2080,Other forms of plague,,est/swe/lat/ice/den/fin/nor
A2090,"Plague, unspecified",,est/swe/lat/ice/den/fin/nor
