vartype,varval,varval_text_comb,code_plus,d_code_plus,text_plus,d_text_plus,nat_ver
COMPLEX,04C01,Pneumonia,A1670,,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A1680,,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A1690,,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A2020,,Pneumonic plague,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A2120,,Pulmonary tularaemia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A2210,,Pulmonary anthrax,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A4200,,Pulmonary actinomycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,A4810,,Legionnaires' disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B0120,,Varicella pneumonia (J17.1*),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B2500,,Cytomegaloviral pneumonitis (J17.1*),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B3340,,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],,swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4000,,Acute pulmonary blastomycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4010,,Chronic pulmonary blastomycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4020,,"Pulmonary blastomycosis, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4030,,Cutaneous blastomycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4100,,Pulmonary paracoccidioidomycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4400,,Invasive pulmonary aspergillosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4410,,Other pulmonary aspergillosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4500,,Pulmonary cryptococcosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B4600,,Pulmonary mucormycosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B5830,,Pulmonary toxoplasmosis (J17.3*),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,B5900,,Pneumocystosis (J17.2*),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1000,,"Influenza with pneumonia, influenza virus identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1100,,"Influenza with pneumonia, virus not identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1200,,Adenoviral pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1210,,Respiratory syncytial virus pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1220,,Parainfluenza virus pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1230,,Human metapneumovirus pneumonia,,swe/lat/ice/den/nor
COMPLEX,04C01,Pneumonia,J1280,,Other viral pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1290,,"Viral pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1300,,Pneumonia due to Streptococcus pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1400,,Pneumonia due to Haemophilus influenzae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1500,,Pneumonia due to Klebsiella pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1510,,Pneumonia due to Pseudomonas,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1520,,Pneumonia due to staphylococcus,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1530,,"Pneumonia due to streptococcus, group B",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1540,,Pneumonia due to other streptococci,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1550,,Pneumonia due to Escherichia coli,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1560,,Pneumonia due to other aerobic Gram-negative bacteria,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1570,,Pneumonia due to Mycoplasma pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1580,,Other bacterial pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1590,,"Bacterial pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1600,,Chlamydial pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1680,,Pneumonia due to other specified infectious organisms,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1700,,Pneumonia in bacterial diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1710,,Pneumonia in viral diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1720,,Pneumonia in mycoses,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1730,,Pneumonia in parasitic diseases,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1780,,Pneumonia in other diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1800,,"Bronchopneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1810,,"Lobar pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1820,,"Hypostatic pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1880,,"Other pneumonia, organism unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J1890,,"Pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J2100,,Acute bronchiolitis due to respiratory syncytial virus,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J2110,,Acute bronchiolitis due to human metapneumovirus,,swe/lat/ice/den/nor
COMPLEX,04C01,Pneumonia,J2180,,Acute bronchiolitis due to other specified organisms,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J4480,,Other specified chronic obstructive pulmonary disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J4490,,"Chronic obstructive pulmonary disease, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J4700,,Bronchiectasis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6000,,Coalworker's pneumoconiosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6100,,Pneumoconiosis due to asbestos and other mineral fibres,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6200,,Pneumoconiosis due to talc dust,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6280,,Pneumoconiosis due to other dust containing silica,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6300,,Aluminosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6310,,Bauxite fibrosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6320,,Berylliosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6330,,Graphite fibrosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6340,,Siderosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6350,,Stannosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6380,,Pneumoconiosis due to other specified inorganic dusts,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6400,,Unspecified pneumoconiosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6500,,Pneumoconiosis associated with tuberculosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6600,,Byssinosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6610,,Flax-dresser's disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6620,,Cannabinosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6680,,Airway disease due to other specific organic dusts,,est/swe/lat/ice/den/fin
COMPLEX,04C01,Pneumonia,J6700,,Farmer's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6710,,Bagassosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6720,,Bird fancier's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6730,,Suberosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6740,,Maltworker's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6750,,Mushroom-worker's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6760,,Maple-bark-stripper's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6770,,Air-conditioner and humidifier lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6780,,Hypersensitivity pneumonitis due to other organic dusts,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6790,,Hypersensitivity pneumonitis due to unspecified organic dust,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6800,,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6810,,"Acute pulmonary oedema due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6820,,"Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6830,,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6840,,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6880,,"Other respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6890,,"Unspecified respiratory condition due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6900,,Pneumonitis due to food and vomit,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6910,,Pneumonitis due to oils and essences,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J6980,,Pneumonitis due to other solids and liquids,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7000,,Acute pulmonary manifestations due to radiation,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7010,,Chronic and other pulmonary manifestations due to radiation,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7020,,Acute drug-induced interstitial lung disorders,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7030,,Chronic drug-induced interstitial lung disorders,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7040,,"Drug-induced interstitial lung disorders, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7080,,Respiratory conditions due to other specified external agents,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J7090,,Respiratory conditions due to unspecified external agent,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J8400,,Alveolar and parietoalveolar conditions,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J8410,,Other interstitial pulmonary diseases with fibrosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J8480,,Other specified interstitial pulmonary diseases,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J8490,,"Interstitial pulmonary disease, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9410,,Fibrothorax,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9840,,Other disorders of lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9890,,"Respiratory disorder, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9910,,Respiratory disorders in other diffuse connective tissue disorders,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9980,,Respiratory disorders in other diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,J9980,B4900,Respiratory disorders in other diseases classified elsewhere,Unspecified mycosis,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,M3010,,Polyarteritis with lung involvement [Churg-Strauss],,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,Q3340,,Congenital bronchiectasis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C01,Pneumonia,U0490,,"Severe acute respiratory syndrome, unspecified",,est/swe/lat/ice/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1500,,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1510,,"Tuberculosis of lung, confirmed by culture only",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1520,,"Tuberculosis of lung, confirmed histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1530,,"Tuberculosis of lung, confirmed by unspecified means",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1540,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1550,,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1560,,"Tuberculous pleurisy, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1570,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1580,,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1590,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1600,,"Tuberculosis of lung, bacteriologically and histologically negative",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1610,,"Tuberculosis of lung, bacteriological and histological examination not done",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1620,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1630,,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1640,,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1650,,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1670,,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1680,,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1690,,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1900,,Acute miliary tuberculosis of a single specified site,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1910,,Acute miliary tuberculosis of multiple sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1920,,"Acute miliary tuberculosis, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1980,,Other miliary tuberculosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A1990,,"Miliary tuberculosis, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A3100,,Pulmonary mycobacterial infection,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A3180,,Other mycobacterial infections,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A318A,,Mycobacterial infections,,fin
COMPLEX,04C02,Respiratory tuberculosis,A318B,,Mycobacterium chelonei infections in mouth,,fin
COMPLEX,04C02,Respiratory tuberculosis,A318C,,Other mycobacterial infections in mouth,,fin
COMPLEX,04C02,Respiratory tuberculosis,A3190,,"Mycobacterial infection, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A4980,,Other bacterial infections of unspecified site,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,A4990,,"Bacterial infection, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,B9090,,Sequelae of respiratory and unspecified tuberculosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,B9490,,Sequelae of unspecified infectious or parasitic disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1000,,"Influenza with pneumonia, influenza virus identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1010,,"Influenza with other respiratory manifestations, influenza virus identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1100,,"Influenza with pneumonia, virus not identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1110,,"Influenza with other respiratory manifestations, virus not identified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1200,,Adenoviral pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1210,,Respiratory syncytial virus pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1220,,Parainfluenza virus pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1230,,Human metapneumovirus pneumonia,,swe/lat/ice/den/nor
COMPLEX,04C02,Respiratory tuberculosis,J1280,,Other viral pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1290,,"Viral pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1300,,Pneumonia due to Streptococcus pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1400,,Pneumonia due to Haemophilus influenzae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1500,,Pneumonia due to Klebsiella pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1510,,Pneumonia due to Pseudomonas,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1520,,Pneumonia due to staphylococcus,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1530,,"Pneumonia due to streptococcus, group B",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1540,,Pneumonia due to other streptococci,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1550,,Pneumonia due to Escherichia coli,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1560,,Pneumonia due to other aerobic Gram-negative bacteria,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1570,,Pneumonia due to Mycoplasma pneumoniae,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1580,,Other bacterial pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1590,,"Bacterial pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1600,,Chlamydial pneumonia,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1680,,Pneumonia due to other specified infectious organisms,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1700,,Pneumonia in bacterial diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1710,,Pneumonia in viral diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1730,,Pneumonia in parasitic diseases,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1780,,Pneumonia in other diseases classified elsewhere,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1800,,"Bronchopneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1810,,"Lobar pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1880,,"Other pneumonia, organism unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J1890,,"Pneumonia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J4480,,Other specified chronic obstructive pulmonary disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J4490,,"Chronic obstructive pulmonary disease, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J4700,,Bronchiectasis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6000,,Coalworker's pneumoconiosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6100,,Pneumoconiosis due to asbestos and other mineral fibres,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6200,,Pneumoconiosis due to talc dust,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6280,,Pneumoconiosis due to other dust containing silica,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6300,,Aluminosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6310,,Bauxite fibrosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6320,,Berylliosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6330,,Graphite fibrosis (of lung),,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6340,,Siderosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6350,,Stannosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6380,,Pneumoconiosis due to other specified inorganic dusts,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6400,,Unspecified pneumoconiosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6500,,Pneumoconiosis associated with tuberculosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6600,,Byssinosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6610,,Flax-dresser's disease,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6620,,Cannabinosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6680,,Airway disease due to other specific organic dusts,,est/swe/lat/ice/den/fin
COMPLEX,04C02,Respiratory tuberculosis,J6700,,Farmer's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6710,,Bagassosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6720,,Bird fancier's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6730,,Suberosis,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6740,,Maltworker's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6750,,Mushroom-worker's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6760,,Maple-bark-stripper's lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6770,,Air-conditioner and humidifier lung,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6780,,Hypersensitivity pneumonitis due to other organic dusts,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6790,,Hypersensitivity pneumonitis due to unspecified organic dust,,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6800,,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6810,,"Acute pulmonary oedema due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6820,,"Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6830,,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6840,,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6880,,"Other respiratory conditions due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
COMPLEX,04C02,Respiratory tuberculosis,J6890,,"Unspecified respiratory condition due to chemicals, gases, fumes and vapours",,est/swe/lat/ice/den/fin/nor
