drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
153,"Vähäinen ohut- tai paksusuolen toimenpide, ei komplisoitunut","Vähäinen ohut-/paksusuolen tp,ei kompl",153X,"Small and large bowel procedures, w/o CC","Small and large bowel procedures, w/o CC",6,fin
153O,"Vähäinen ohut- tai paksusuolen toimenpide, lyhyt hoito","Vähäinen ohut- tai paksusuol tp, lyhyt hoito",153O,"Small and large bowel procedures, short therapy","Small and large bowel procedures, short therapy",6,fin
154A,"Laaja vatsan, ruokatorven tai pohjukaissuolentoimenpide, aikuinen, komplisoitunut","Laaja vats/ruokat/pohjuksuol tp, aik, kompl",154A,"Major stomach, esophageal and duodenal procedures, age >17, w CC","Major stom, esoph and duod proc, age >17, w CC",6,fin
154B,"Muu vatsan, ruokatorven tai pohjukaissuolen toimenpide, aikuinen, komplisoitunut","Muu vats/ruokat/pohjuk.suo tp, aikuin, kompl",154B,"Other stomach, esophageal and duodenal procedures, age >17, w CC","Other stom, esoph and duod proc, age >17, w CC",6,fin
155A,"Laaja vatsan, ruokatorven tai pohjukaissuolentoimenpide, aikuinen, ei komplisoitunut","Laaja vats/ruokat/pohjuksuol tp, aik, ei kompl",155A,"Major stomach, esophageal and duodenal procedures, age >17, w/o CC","Major stom, esoph and duod proc, age >17, w/o CC",6,fin
155B,"Muu vatsan, ruokatorven tai pohjukaissuolen toimenpide, aikuinen, ei komplisoitunut","Muu vats/ruokat/pohjuk.suo tp, aikuin, ei k",155B,"Other stomach, esophageal and duodenal procedures, age >17, w/o CC","Other stom, esoph and duod proc, age >17, w cc",6,fin
156,"Vatsan, ruokatorven tai pohjukaissuolen toimenpide, lapsi","Vatsan,ruokat/pohj.suol tp,lapsi",156X,"Stomach, esophageal and duodenal procedures, age 0-17","Stomach, esophageal and duodenal procedures, age 0-17",6,fin
156O,"Vatsan, ruokatorven tai pohjukaissuolen toimenpide, lyhyt hoito","Vatsan,ruokat/pohj.suol tp, lyhyt hoito",156O,"Stomach, esophageal and duodenal procedures, short therapy","Stomach, esophageal and duodenal procedures, short therapy",6,fin
157,"Peräaukon tai suoliavanteen leikkaus, komplisoitunut","Peräaukon/suoliavanteen leik,kompl",157X,"Minor intestinal procedure, w CC","Minor intestinal procedure, w CC",6,fin
158,"Peräaukon tai suoliavanteen leikkaus, ei komplisoitunut","Peräaukon/suoliavanteen leik,ei kompl",158X,"Minor intestinal procedures, w/o CC","Minor intestinal procedures, w/o CC",6,fin
158O,"Peräaukon tai suoliavanteen leikkaus, lyhyt hoito","Peräaukon tai suoliavanteen leikkaus, lyhyt h",158O,"Minor intestinal procedures, short therapy","Minor intestinal procedures, short therapy",6,fin
159,"Tyräleikkaus muu kuin nivus- ja reisityrä, aikuinen, komplisoitunut","Tyräleikk muu kuin nivus- ja reisityrä, aik, kompl",159X,"Hernia procedures except inguinal and femoral, age >17, w CC","Hernia procedures except inguinal and femoral, age >17, w CC",6,fin
160,"Tyräleikkaus muu kuin nivus- ja reisityrä, aikuinen, ei komplisoitunut","Tyräleikk muu kuin nivus- ja reisityrä, aik, ei kompl",160X,"Hernia procedures except inguinal and femoral, age >17, w/o CC","Hernia procedures except inguinal and femoral, age >17, w/o CC",6,fin
160O,"Tyräleikkaus muu kuin nivus- ja reisityrä, lyhyt hoito","Tyräleikk muu kuin nivus- ja reisityrä, lyh hoi",160O,"Hernia procedures except inguinal and femoral, short therapy","Hernia procedures except inguinal and femoral, short therapy",6,fin
161,"Nivus- ja reisityräleikkaus, aikuinen, komplisoitunut","Nivus- ja reisityräleikkaus, aik, kompl",161X,"Inguinal and femoral hernia procedures, age >17, w CC","Inguinal and femoral hernia procedures, age >17, w CC",6,fin
162,"Nivus- ja reisityräleikkaus, aikuinen, ei komplisoitunut","Nivus- ja reisityräleikkaus, aik, ei kompl",162X,"Inguinal and femoral hernia procedures, age >17, w/o CC","Inguinal and femoral hernia procedures, age >17, w/o CC",6,fin
162O,"Nivus- ja reisityräleikkaus, toispuolinen, lyhyt hoito","Nivus- ja reisityräleikkaus, toispuol., lyh hoi",162O,"Inguinal and femoral hernia procedures, short therapy","Inguinal and femoral hernia procedures, short therapy",6,fin
162P,"Nivus- tai reisityrän toimenpiteet, molemminpuolinen lyhyt hoito","Nivus- tai reisityrän toimenpit, mol puol, lyh hoi",162P,"Inguinal and femoral hernia procedures, bilateral or combined with other hernia procedure, short therapy","Inguinal and femoral hernia procedures, bilateral or combined with other hernia procedure, short therapy",6,fin
163,"Tyräleikkaus, lapsi","Tyräleikkaus,lapsi",163X,"Hernia procedures, age 0-17","Hernia procedures, age 0-17",6,fin
166N,"Umpilisäkkeen poisto, komplisoitunut","Umpilis poisto, komplisoitunut",166N,Appendectomy w complicated principal diagnosis,Appendectomy w complicated principal diag,6,fin
167,"Umpilisäkkeen poisto, ei komplisoitunut","Umpilisäkk poisto,ei komplis",167X,"Appendectomy w/o complicated principal diag, w/o CC","Appendectomy w/o complicated principal diag, w/o CC",6,fin
167O,"Umpilisäkkeen poisto, lyhyt hoito","Umpilisäkkeen poisto, lyh h",167O,"Appendectomy, short therapy","Appendectomy, short therapy",6,fin
168,"Suun alueen leikkaus, komplisoitunut","Suun alueen leikkaus,komplisoitunut",168X,"Mouth procedures, w CC","Mouth procedures, w CC",3,fin
169,"Suun alueen leikkaus, ei komplisoitunut","Suun alueen leikkaus,ei komplisoitunut",169X,"Mouth procedures, w/o CC","Mouth procedures, w/o CC",3,fin
169O,"Suun alueen leikkaus, lyhyt hoito","Suun alueen leikkaus, lyhyt hoito",169O,"Mouth procedures, short therapy","Mouth procedures, short therapy",3,fin
170,"Muu ruuansulatuskanavan leikkaus, komplisoitunut","Muu ruuansulatuskanavan leikkaus, komplisoitunut",170X,"Other digestive system OR procedures, w CC","Other digestive system OR procedures, w CC",6,fin
171,"Muu ruuansulatuskanavan leikkaus, ei komplisoitunut","Muu ruuansulatuskanavan leikkaus, ei komplisoitunut",171X,"Other digestive system OR procedures, w/o CC","Other digestive system OR procedures, w/o CC",6,fin
171O,"Muu ruuansulatuskanavan leikkaus, lyhyt hoito","Muu ruuansulatuskanavan leikkaus, lyhyt hoito",171O,"Other digestive system OR procedures, short therapy","Other digestive system OR procedures, short therapy",6,fin
172,"Ruuansulatuskanavan pahanlaatuinen kasvain, komplisoitunut","Ruuansul.kanav pahanl kasvain,kompl",172X,"Digestive malignancy, w CC","Digestive malignancy, w CC",6,fin
173A,"Ruuansulatuskanavan pahanlaatuinen kasvain, ei komplisoitunut, sädehoito","Ruuansul pahanl kasv, ei kompl, sädeh",173FA,"Digestive malignancy w/o CC, radiotherapy","Digestive malignancy w/o CC, radiotherapy",6,fin
173B,"Ruuansulatuskanavan pahanlaatuinen kasvain, ei komplisoitunut, sytostaattihoito","Ruuansul pahanl kasv, ei kompl, sytost.h",173FB,"Digestive malignancy w/o CC, cytostatic therapy","Digestive malignancy w/o CC, cytostatic therapy",6,fin
173E,"Ruuansulatuskanavan pahanlaatuinen kasvain, ei komplisoitunut","Ruuansul pahanl kasv, ei kompl",173FE,"Digestive malignancy, w/o CC","Digestive malignancy, w/o CC",6,fin
174N,Vaikea peptinen haava tai ruuansulatuskanavan verenvuoto,Vaikea peptinen haava tai ruuansulatuskanavan verenvuoto,174N,Complex peptic ulcer or GI-haemorrhage,Complex peptic ulcer or GI-haemorrhage,6,fin
175N,"Peptinen haava tai ruuansulatuskanavan verenvuoto, ongelmaton","Peptinen haava tai ruuansulatuskanavan verenvuoto, ongelmato",175N,"Peptic ulcer or GI-haemorrhage, w/o CC","Peptic ulcer or GI-haemorrhage, w/o CC",6,fin
179,Tulehduksellinen suolistotauti,Tulehduksellinen suolistotauti,179X,Inflammatory bowel disease,Inflammatory bowel disease,6,fin
180,"Suoliston tukos, komplisoitunut","Suoliston tukos,komplisoitunut",180X,"GI-obstruction, w CC","GI-obstruction, w CC",6,fin
181,"Suoliston tukos, ei komplisoitunut","Suoliston tukos,ei komplisoitunut",181X,"GI-obstruction, w/o CC","GI-obstruction, w/o CC",6,fin
182C,"Ruuansulatuskanavan tulehdussairaus, aikuinen, komplisoitunut","Ruuansulatuskanavan tulehdussairaus, aikuinen, kompl",184G,"Gastroenteritis, age >17, w CC","Gastroenteritis, age >17, w CC",6,fin
182M,"Ruuansulatuskanavan tulehdussairaus, aikuinen, erittäin komplisoitunut","Ruuansulatuskanavan tulehdussairaus, aikuinen, erittäin kompl",184J,"Gastroenteritis, age >17, w MCC","Gastroenteritis, age >17, w MCC",6,fin
182N,"Ruuansulatuskanavan tulehdussairaus, aikuinen, ei komplisoitunut","Ruuansulatuskanavan tulehdussairaus, aikuinen, ei kompl",184H,"Gastroenteritis, age >17, w/o CC","Gastroenteritis, age >17, w/o CC",6,fin
183C,"Muu ruuansulatuskanavan häiriö, aikuinen, komplisoitunut","Muu ruuansulatuskanavan häiriö, aikuinen, komplisoitunut",182G,"Miscellaneous digestive disorders, age >17, w CC","Miscellaneous digestive disorders, age >17, w CC",6,fin
183M,"Muu ruuansulatuskanavan häiriö, aikuinen, erittäin komplisoitunut","Muu ruuansulatuskanavan häiriö, aikuinen, erittäin komplisoitunut",182J,"Miscellaneous digestive disorders, age >17, w MCC","Miscellaneous digestive disorders, age >17, w MCC",6,fin
183N,"Muu ruuansulatuskanavan häiriö, aikuinen, ei komplisoitunut","Muu ruuansulatuskanavan häiriö, aikuinen, ei komplisoitunut",182H,"Miscellaneous digestive disorders, age >17, w/o CC","Miscellaneous digestive disorders, age >17, w/o CC",6,fin
184C,"Ruuansulatuskanavan tulehdussairaus, lapsi, komplisoitunut","Ruuansulatuskanavan tulehdussairaus, lapsi, kompl",184L,"Gastroenteritis, age 0-17, w CC","Gastroenteritis, age 0-17, w CC",6,fin
184N,"Ruuansulatuskanavan tulehdussairaus, lapsi, ei komplisoitunut","Ruuansulatuskanavan tulehdussairaus, lapsi, ei kompl",184K,"Gastroenteritis, age 0-17, w/o CC","Gastroenteritis, age 0-17, w/o CC",6,fin
185C,"Muu ruuansulatuskanavan häiriö, lapsi, komplisoitunut","Muu ruuansulatuskanavan häiriö, lapsi, komplisoitunut",182L,"Miscellaneous digestive disorders, age 0-17, w CC","Miscellaneous digestive disorders, age 0-17, w CC",6,fin
185N,"Muu ruuansulatuskanavan häiriö, lapsi, ei komplisoitunut","Muu ruuansulatuskanavan häiriö, lapsi, ei komplisoitunut",182K,"Miscellaneous digestive disorders, age 0-17, w/o CC","Miscellaneous digestive disorders, age 0-17, w/o CC",6,fin
188,"Muu ruuansulatusjärjestelmän sairaus, aikuinen, komplisoitunut","Muu ruuansulatusjärjestelmän sairaus, aikuinen, komplisoitunut",188X,"Other digestive system diagnoses, age >17 w CC","Other digestive system diagnoses, age >17 w CC",6,fin
189,"Muu ruuansulatusjärjestelmän sairaus, aikuinen, ei komplisoitunut","Muu ruuansulatusjärjestelmän sairaus, aikuinen, ei komplisoitunut",189X,"Other digestive system diagnoses, age >17 w/o CC","Other digestive system diagnoses, age >17 w/o CC",6,fin
190,"Muu ruuansulatusjärjestelmän sairaus, lapsi","Muu ruuansulatusjärjestelmän sairaus, lapsi",190X,"Other digestive system diagnoses, age 0-17","Other digestive system diagnoses, age 0-17",6,fin
191A,Haiman siirto munuaissiirton yhdistettynä tai ilman,Haiman siirto munuaissiirton yhd tai ilman,191A,Pancreas transplantation with our without kidney transplantation,Pancreas transplantation with our without kidney transplantation,7,fin
191B,"Haiman tai maksan leikkaus, komplisoitunut","Haiman tai maksan leikkaus, komplisoitunut",191B,"Pancreas, liver and shunt procedures, w CC","Pancreas, liver and shunt procedures, w CC",7,fin
192,"Haiman tai maksan leikkaus, ei komplisoitunut","Haiman tai maksan leik,ei kompl",192X,"Pancreas, liver and shunt procedures, w/o CC","Pancreas, liver and shunt procedures, w/o CC",7,fin
192O,"Haiman tai maksan leikkaus, lyhyt hoito","Haiman tai maksan leikkaus, lyhyt hoito",192O,"Pancreas, liver and shunt procedures, short therapy","Pancreas, liver and shunt procedures, short therapy",7,fin
193,"Sappiteiden leikkaus, ei pelkkä sappirakon poisto, komplisoitunut","Sappileik,ei sappirakon poisto,kompl",193X,"Biliary tract procedures, cholecystectomy, w CC","Biliary tract procedures, cholecystectomy, w CC",7,fin
194,"Sappiteiden leikkaus, ei pelkkä sappirakon poisto, ei komplisoitunut","Sappileik,ei sappirak poisto,ei kompl",194X,"Biliary tract procedures, cholecystectomy, w/o CC","Biliary tract procedures, cholecystectomy, w/o CC",7,fin
195,"Sappirakon poisto, sappiteiden tarkistus, komplisoitunut","Sappirakon poisto,sappiteiden tark,kompl",195X,"Cholecystectomy w c. d. e., w CC","Cholecystectomy w c. d. e., w CC",7,fin
196,"Sappirakon poisto, sappiteiden tarkistus, ei komplisoitunut","Sappir poisto,sappiteiden tark,ei kompl",196X,"Cholecystectomy with exploration of choledochus, w/o CC","Cholecystectomy with exploration of choledochus, w/o CC",7,fin
197,"Sappirakon poisto, ei sappiteiden tarkistusta, komplisoitunut","Sappir poisto,ei sappiteiden tark,kompl",197X,"Cholecystectomy except by laparoscope w/o cde, w CC","Cholecystectomy except by laparoscope w/o cde, w CC",7,fin
198,"Sappirakon poisto, ei sappiteiden tarkistusta, ei komplisoitunut","Sappir poisto,ei sappiteid tark,ei kompl",198X,"Open cholecystectomy without exploration of choledochus, w/o CC","Open cholecystectomy without exploration of choledochus, w/o CC",7,fin
199,"Maksan, sappiteiden ja haiman alueen pahanlaatuisen kasvaimen invasiivinen diagnostinen toimenpide","Maksan&sappit&haiman alueen pah kasv,invas diagn tp",199X,Hepatobiliary diagnostic procedure for malignancy,Hepatobiliary diagnostic procedure for malignancy,7,fin
200,"Maksan, sappiteiden ja haiman alueen invasiivinen diagnostinen toimenpide, ei pahanlaatuista kasvainta","Maksan&sappit&haiman al invas diagn tp,ei pah kasv",200X,Hepatobiliary diagnostic procedure for non-malignancy,Hepatobiliary diagnostic procedure for non-malignancy,7,fin
200O,"Maksan, sappiteiden ja haiman alueen invasiivinen diagnostinen toimenpide, lyhyt hoito","Maksan&sappit&haiman al invas diagn tp, lyh h",200O,"Hepatobiliary diagnostic procedures, short therapy","Hepatobiliary diagnostic procedures, short therapy",7,fin
201,Muu maksan ja haiman alueen toimenpide,Muu maksan ja haiman alueen toimenpide,201X,Other hepatobiliary or pancreas OR procedures,Other hepatobiliary or pancreas OR procedures,7,fin
201O,"Muu maksan ja haiman alueen toimenpide, lyhyt hoito","Muu maksan ja haiman alueen toimenpide, lyhyt hoito",201O,"Other hepatobiliary or pancreas OR procedures, short therapy","Other hepatobiliary or pancreas OR procedures, short therapy",7,fin
202C,"Alkoholihepatiitti tai maksakirroosi, komplisoitunut","Alkoholihepatiitti tai maksakirroosi, kompl",202C,"Cirrhosis and alcoholic hepatitis, w CC","Cirrhosis and alcoholic hepatitis, w CC",7,fin
202M,"Alkoholihepatiitti tai maksakirroosi, erittäin komplisoitunut","Alkoholihepatiitti tai maksakirroosi, erittäin kompl",202M,"Cirrhosis and alcoholic hepatitis, w MCC","Cirrhosis and alcoholic hepatitis, w MCC",7,fin
202N,"Alkoholihepatiitti tai maksakirroosi, ei komplisoitunut","Alkoholihepatiitti tai maksakirroosi, ei kompl",202N,"Cirrhosis and alcoholic hepatitis, w/o CC","Cirrhosis and alcoholic hepatitis, w/o CC",7,fin
203A,"Maksan, sappiteiden tai haiman syöpäsairaus, sädehoito","Maksan/sappit/haiman syöpäs, sädeh",203A,"Malignancy of hepatobiliary system or pancreas, radiotherapy","Malignancy of hepatobiliary system or pancreas, radiotherapy",7,fin
203B,"Maksan, sappiteiden tai haiman syöpäsairaus, sytostaattihoito","Maksan/sappit/haiman syöpäs, sytostaattih",203B,"Malignancy of hepatobiliary system or pancreas, cytostatic therapy","Malignancy of hepatobiliary system or pancreas, cytostatic t",7,fin
203E,Maksan tai haiman alueen pahanlaatuinen kasvain,Maksan tai haiman alueen pahanlaatuinen kasva,203E,Malignancy of hepatobiliary system or pancreas,Malignancy of hepatobiliary system or pancreas,7,fin
204C,"Haiman sairaus, ei pahanlaatuinen, komplisoitunut","Haiman sairaus, ei pahanlaatuinen, kompl",204C,"Disorders of pancreas except malignancy, w CC","Disorders of pancreas except malignancy, w CC",7,fin
204M,"Haiman sairaus, ei pahanlaatuinen, erittäin komplisoitunut","Haiman sairaus, ei pahanlaatuinen, erittäin kompl",204M,"Disorders of pancreas except malignancy, w MCC","Disorders of pancreas except malignancy, w MCC",7,fin
204N,"Haiman sairaus, ei pahanlaatuinen, ei komplisoitunut","Haiman sairaus, ei pahanlaatuinen, ei kompl",204N,"Diseases in the pancreas except malignancy, w/o CC","Diseases in the pancreas except malignancy, w/o CC",7,fin
205C,"Muu maksan sairaus, komplisoitunut","Muu maksan sairaus, kompl",205C,"Disorders of liver except malignancy, cirrhosis and alcohol hepatitis, w CC","Disorders of liver except malig, cirr, alc hepa, w CC",7,fin
205M,"Muu maksan sairaus, erittäin komplisoitunut","Muu maksan sairaus, erittäin kompl",205M,"Disorders of liver except malignancy, cirrhosis and alcohol hepatitis, w MCC","Disorders of liver except malig, cirr, alc hepa, w MCC",7,fin
206,"Muu maksan sairaus, ei komplisoitunut","Muu maksan sairaus,ei komplisoitunut",206X,"Diseases in the liver except malignancy, cirrhosis and alcohol hepatitis, w/o CC","Diseases in the liver except malignancy, cirrhosis and alcohol hepatitis, w/o CC",7,fin
207C,"Sappiteiden sairaus, komplisoitunut","Sappiteiden sairaus, kompl",207C,"Disorders of biliary tract, w CC","Disorders of biliary tract, w CC",7,fin
207M,"Sappiteiden sairaus, erittäin komplisoitunut","Sappiteiden sairaus, erittäin kompl",207M,"Disorders of biliary tract, w MCC","Disorders of biliary tract, w MCC",7,fin
208,"Sappiteiden sairaus, ei komplisoitunut","Sappiteiden sairaus,ei komplisoitunut",208X,"Disorders of biliary tract, w/o CC","Disorders of biliary tract, w/o CC",7,fin
209C,Lonkan tekonivelen uusintaleikkaus,Lonkan tekonivelen uusintaleikkaus,209C,Major joint secondary procedure on hip,Major joint secondary procedure on hip,8,fin
209D,"Lonkan primaari tekonivelleikkaus, komplisoitunut","Lonkan primaari tekonivelleikkaus, komplisoitunut",209D,"Major joint primary procedure on hip, w CC","Major joint primary procedure on hip, w CC",8,fin
209E,"Lonkan primaari tekonivelleikkaus, ei komplisoitunut","Lonkan primaari tekonivelleikkaus, ei komplisoitunut",209E,"Major joint primary procedure on hip, w/o CC","Major joint primary procedure on hip, w/o CC",8,fin
209F,Polven tai nilkan sekundarinen tekonivelleikkaus,Polven tai nilkan sekundarinen tekonivelleikkaus,209F,Major joint secondary procedure on knee/ankle,Major joint secondary procedure on knee/ankle,8,fin
209G,Polven tai nilkan primaari tekonivelleikkaus,Polven tai nilkan primaari tekonivelleikkaus,209G,Major joint primary procedure on knee/ankle,Major joint primary procedure on knee/ankle,8,fin
209O,"Lonkan, polven tai nilkan tekonivelleikkaus, lyhyt hoito","Lonkan, polven tai nilkan tekonivelleikkaus, lyhyt hoito",209O,"Major joint procedures of lower extremity, not reoperation, short therapy","Major joint procedures of lower extremity, not reoperation,",8,fin
210A,"Vaativa lantion, lonkan ja reiden traumaleikkaus, > 17 vuotias, komplisoitunut","Vaativa lantion, lonkan ja reiden traumaleikkaus, > 17 vuoti",210A,"Major pelvic, hip and femur procedures, except joint prostheses, age >17, w CC","Major pelvic, hip and femur procedures, except joint prostheses, age >17, w CC",8,fin
210N,"Muu lantion, lonkan ja reiden leikkaus, > 17 vuotias, komplisoitunut","Muu lantion, lonkan ja reiden leikkaus, > 17 vuotias, kompli",210N,"Pelvic, hip and femur procedures except major joint, age >17, w CC","Pelvic, hip and femur procedures except major joint, age >17, w CC",8,fin
211A,"Vaativa lantion, lonkan ja reiden traumaleikkaus, > 17 vuotias, ei komplisoitunut","Vaativa lantion, lonkan ja reiden traumaleikkaus, > 17 vuoti",211A,"Major pelvic, hip and femur procedures, age >17, w/o CC","Major pelvic, hip and femur procedures, age >17, w/o CC",8,fin
211N,"Muu lantion, lonkan ja reiden leikkaus, > 17 vuotias, ei komplisoitunut","Muu lantion, lonkan ja reiden leikkaus, > 17 vuotias, ei kom",211N,"Pelvic, hip and femur procedures except major joint, age >17, w/o CC","Pelvic, hip and femur procedures except major joint, age >17, w/o CC",8,fin
212,"Muu lonkan tai reiden leikkaus, lapsi","Muu lonkan tai reiden leikkaus, lapsi",212X,"Hip and femur procedures except major joint, age 0-17","Hip and femur procedures except major joint, age 0-17",8,fin
212O,"Muu lonkan tai reiden leikkaus, lyhyt hoito","Muu lonkan tai reiden leikkaus, lyhyt hoito",212O,"Hip and femur procedures except major joint, short therapy","Hip and femur procedures except major joint, short therapy",8,fin
213,Raaja-amputaatio tuki- ja liikuntaelinten sairauden takia,Raaja-amput tuki&liik.el sair takia,213X,Amputation for musculoskeletal system and connective tissue disorders,Amputation for musculoskeletal system and connective tissue disorders,8,fin
213O,"Raaja-amputaatio tuki- ja liikuntaelinten sairauden takia, lyhyt hoito","Raaja-amput tuki&liik.el sair, lyh h",213O,"Amputation for musculoskeletal system and connective tissue disorder, short therapy","Amputation for musculoskeletal system and connective tissue disorder, short therapy",8,fin
214C,"Selkänikamien yhdistäminen, komplisoitunut","Selkänikamien yhdistäminen, kompl",214C,"Other spinal fusion, w CC","Other spinal fusion, w CC",8,fin
214N,"Selkänikamien yhdistäminen, ei komplisoitunut","Selkänikamien yhdistäminen, ei kompl",214N,"Other spinal fusion, w/o CC","Other spinal fusion, w/o CC",8,fin
215C,"Muu selän ja niskan leikkaus, komplisoitunut","Muu selän ja niskan leikkaus, kompl",215C,"Back and neck procedures except spinal fusion, w CC","Back and neck procedures except spinal fusion, w CC",8,fin
215N,"Muu selän ja niskan leikkaus, ei komplisoitunut","Muu selän ja niskan leikkaus, ei kompl",215N,"Back and neck procedures except spinal fusion, w/o CC","Back and neck procedures except spinal fusion, w/o CC",8,fin
215O,"Selän ja niskan leikkaus, lyhyt hoito","Selän&niskan leikkaus,lyh h",215O,"Back and neck procedures, short therapy","Back and neck procedures, short therapy",8,fin
216,"Luu-, lihas- tai sidekudosbiopsia","Luu-, lihas- tai sidekudosbiopsia",216X,Biopsies of musculoskeletal system and connective tissue,Biopsies of musculoskeletal system and connective tissue,8,fin
216O,"Luu-, lihas- tai sidekudosbiopsia, lyhyt hoito","Luu-, lihas- tai sidekudosbiopsia, lyh h",216O,"Biopsies of musculoskeletal system and connective tissue, short therapy","Biopsies of musculoskeletal system and connective tissue, short therapy",8,fin
217,Haavarevisio tai ihonsiirto tuki- ja liikuntaelinten sairauden takia,Haavarev/ihons tuki&liik.el sair takia,217X,"Wnd debrid and skn grft except hand, for muscscelet and conn tissue disease","Wnd debrid and skn grft except hand, for muscscelet and conn tis",8,fin
217O,"Haavarevisio tai ihonsiirto tuki- ja liikuntaelinten sairauden takia, lyhyt hoito","Haavarev/ihons tuki&liik.el sair takia, lyh h",217O,"Wound debridement and skin graft except hand, for musculoskeletal and connective tissue diseases, short therapy","Wound debridement and skin graft except hand, for musculoskeletal and connective tissue diseases, short therapy",8,fin
218,"Säären, nilkan tai olkavarren leikkaus, aikuinen, komplisoitunut","Säär,nilk,olkavarr leik,aik,kompl",218X,"Lower extremity and humerus procedures except hip, foot, femur, age >17, w CC","Lower extrem and humer proc except hip, foot, femur age >17,",8,fin
219,"Säären, nilkan tai olkavarren leikkaus, aikuinen, ei komplisoitunut","Säär,nilk,olkavarr leik,aik,ei kompl",219X,"Lower extremity and humerus procedures except hip, foot, femur, age >17, w/o CC","Lower extremity and humerus procedures except hip, foot, femur, age >17, w/o CC",8,fin
220,"Säären, nilkan tai olkavarren leikkaus, lapsi","Säär,nilk,olkavarr leik,lapsi",220X,"Lower extremity and humerus procedures except hip, foot, femur, age 0-17","Lower extrem and humer proc except hip, foot, femur age 0-17",8,fin
220O,"Säären, nilkan tai olkavarren leikkaus, lyhyt hoito","Säär,nilk,olkavarr leik,aik,lyh h",220O,"Lower extremity and humerus procedures except hip, foot, femur, short therapy","Lower extremity and humerus procedures except hip, foot, femur, short therapy",8,fin
221,"Polvileikkaus, komplisoitunut","Polvileikkaus,kompl",221X,"Knee procedures, w CC","Knee procedures, w CC",8,fin
222,"Polvileikkaus, ei komplisoitunut","Polvileikkaus,ei kompl",222X,"Knee procedures except diagnostic arthroscopies, w/o CC","Knee procedures except diagnostic arthroscopies, w/o CC",8,fin
222O,"Polvileikkaus, lyhyt hoito","Polvileikkaus, lyh h",222O,"Other knee procedures, short therapy","Other knee procedures, short therapy",8,fin
222P,"Suuri polvileikkaus, lyhyt hoito","Suuri polvileikkaus, lyhyt hoito",222P,"Major knee procedures, short therapy","Major knee procedures, short therapy",8,fin
223,"Olka- tai kyynärpään vaativa tai muu yläraajan leikkaus, komplisoitunut","Olka/kyynärp vaat leikk / muu ylär leikk,komp",223X,"Major shoulder/elbow procedures, or other upper extremity procedures, w CC","Major shoulder/elbow proc, or other upper extremity proc w c",8,fin
223O,"Olka- tai kyynärpään vaativa leikkaus, lyhyt hoito","Olka- tai kyynärp vaat leikk, lyh h",223O,"Major shoulder/elbow procedures, or other upper extremity procedures, short therapy","Major shoulder/elbow procedures, or other upper extremity procedures, short therapy",8,fin
224,"Muu yläraajan leikkaus, ei komplisoitunut","Muu yläraajan leikkaus, ei komplisoitunut",224X,"Shoulder, elbow or forearm procedures, except major joint procedures, w/o CC","Shoulder, elbow or forearm procedures, except major joint procedures, w/o CC",8,fin
224O,"Muu yläraajan leikkaus, lyhyt hoito","Muu ylär leikk, lyh h",224O,"Shoulder, elbow or forearm procedures, except major joint procedures, short therapy","Shoulder, elbow or forearm procedures, except major joint procedures, short therapy",8,fin
225A,Jalkaterän murtumaleikkaus,Jalkaterän murtumaleikkaus,225A,Fracture surgery of foot,Fracture surgery of foot,8,fin
225B,Muu jalkaterän leikkaus,Muu jalkaterän leikkaus,225B,Other foot procedures,Other foot procedures,8,fin
225O,"Jalkaterän leikkaus, lyhyt hoito","Jalkaterän leikkaus, lyhyt hoito",225O,"Foot procedures, short therapy","Foot procedures, short therapy",8,fin
225P,"Jalkaterän murtumaleikkaus, lyhyt hoito","Jalkaterän murtumaleikkaus, lyhyt hoito",225P,"Fracture surgery of foot, short therapy","Fracture surgery of foot, short therapy",8,fin
226,"Pehmytkudosleikkaus, komplisoitunut","Pehmytkudosleikkaus,komplisoitunut",226X,"Soft tissue procedures, w CC","Soft tissue procedures, w CC",8,fin
227,"Pehmytkudosleikkaus, ei komplisoitunut","Pehmytkudosleikkaus,ei komplisoitunut",227X,"Soft tissue procedures, w/o CC","Soft tissue procedures, w/o CC",8,fin
227O,"Pehmytkudosleikkaus, lyhyt hoito","Pehmytkudosleikkaus, lyhyt hoito",227O,"Soft tissue procedures, short therapy","Soft tissue procedures, short therapy",8,fin
228,"Käden, peukalon, tai ranteen vaativa nivelleikkaus tai muu käden tai ranteen leikkaus, komplisoitunut","Käd,peuk,rant vaat nivelleik/muu leik, kompl",228X,"Major thumb or joint procedures, or other hand or wrist procedures, w CC","Major thumb or joint proc, or oth hand or wrist proc w CC",8,fin
228O,"Käden, peukalon, tai ranteen vaativa nivelleikkaus, lyhyt hoito","Käd,peuk,rant vaat nivelleik/muu leik, lyh h",228O,"Major thumb or joint procedures, or other hand or wrist procedures, short therapy","Major thumb or joint procedures, or other hand or wrist procedures, short therapy",8,fin
229,"Muu käden tai ranteen leikkaus, ei komplisoitunut","Muu käden tai ranteen leikkaus, ei komplisoitunut",229X,"Hand or wrist procedures, except major joint procedures, w/o CC","Hand or wrist proc, except major joint proc, w/o CC",8,fin
