ord,id,drg_nat,drg_text_nat,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
30100840500,101D084050,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,1.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30100850000,101D085000,917V,Sädehoidon annossuunnittelu magneettitutkimuksella,917FV,0,+,1.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30100851200,101D085120,901D,"Neurologinen syöpäsairaus, sytostaattihoito, lyhyt hoito",901FD,0,+,1.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30100851210,101D085121,901D,"Neurologinen syöpäsairaus, sytostaattihoito, lyhyt hoito",901FD,0,+,1.0,,,,N,99S80,,90X01,,,,,,<2,N,fin
30100851300,101D085130,901B,"Neurologinen syöpäsairaus, stereotaktinen sädehoito tai isotooppihoito, lyhyt hoito",901FB,0,+,1.0,,,,N,90T08,,90X01,,,,,,<2,N,fin
30100851400,101D085140,901B,"Neurologinen syöpäsairaus, stereotaktinen sädehoito tai isotooppihoito, lyhyt hoito",901FB,0,+,1.0,,,,N,90T07,,90X01,,,,,,<2,N,fin
30100851500,101D085150,901A,"Neurologinen syöpäsairaus, sädehoito, lyhyt hoito",901FA,0,+,1.0,,,,N,90T06,,90X01,,,,,,<2,N,fin
30100851510,101D085151,901A,"Neurologinen syöpäsairaus, sädehoito, lyhyt hoito",901FA,0,+,1.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30100851800,101D085180,901G,"Neurologinen sairaus, erityislääkehoito, lyhyt hoito",901FG,0,+,1.0,,,,N,99T00,90S04,,,,,,,<2,N,fin
30100851820,101D085182,901G,"Neurologinen sairaus, erityislääkehoito, lyhyt hoito",901FG,0,+,1.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30100898900,101D089890,901O,"Neurologinen sairaus, lyhyt hoito ilman merkittävää toimenpidettä",901O,0,+,1.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30100898950,105D2300001,125O,"Sydämen diagnostinen toimenpide, lyhyt hoito",125O,0,+,,,05P05,,,05S05,,,,,,,,<2,N,fin
30100899000,101D089900,801O,Neurologinen pientoimenpide,801O,0,+,1.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30200015000,102D001500,036P,"Sarveiskalvon siirto, lyhyt hoito",036P,0,+,2.0,,,,S,02S33,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200100000,102D010000,037O,"Silmämunan ja silmäkuopan leikkaukset, lyhyt hoito",037O,0,+,2.0,,,,S,02S01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200100010,102D010001,037O,"Silmämunan ja silmäkuopan leikkaukset, lyhyt hoito",037O,0,+,2.0,,,,,02S01,,00X10,,,,,,<2,N,fin
30200180000,102D018000,036S,"Silmänpaineleikkaukset, lyhyt hoito",036S,0,+,2.0,,,,S,02S31,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200190000,102D019000,036R,"Värikalvon ja kammiokulmalasertoimenpiteet, lyhyt hoito",036R,0,+,2.0,,,,S,02S30,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200200000,102D020000,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,S,02S04,,02X02,,,,,,<2,N,den/est/fin/ice/lat/nor
30200201000,102D020100,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,,02S04,,02X02,00X10,,,,,<2,N,den/est/fin/ice/lat
30200300000,102D030000,036O,"Verkkokalvon toimenpiteet, lyhyt hoito",036O,0,+,2.0,,,,S,02S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200300010,102D030001,036O,"Verkkokalvon toimenpiteet, lyhyt hoito",036O,0,+,2.0,,,,,02S02,,00X10,,,,,,<2,N,fin
30200310000,102D031000,036O,"Verkkokalvon toimenpiteet, lyhyt hoito",036O,0,+,2.0,,,,S,02S07,,02X03,,,,,,<2,N,den/est/fin/ice/lat/nor
30200400000,102D040000,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,S,02S04,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200401000,102D040100,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,,02S04,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30200410000,102D041000,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,S,02S07,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200500001,102D0500001,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,2.0,,,,S,02S05,,99X04,,,,,,<2,N,fin/nor
30200500011,102D0500011,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,2.0,,,,,02S05,,99X04,00X10,,,,,<2,N,fin
30200500021,102D0500021,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,,,02P02,,S,02S05,,99X04,,,,,,<2,N,fin
30200500031,102D0500031,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,,,02P02,,,02S05,,99X04,00X10,,,,,<2,N,fin
30200501001,102D0501001,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,2.0,,,,S,02S05,,99X00,99X02,,,,,<2,N,fin/ice/nor
30200501011,102D0501011,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,2.0,,,,,02S05,,99X00,99X02,00X10,,,,<2,N,fin/ice
30200501021,102D0501021,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,,,02P02,,S,02S05,,99X00,99X02,,,,,<2,N,fin/ice
30200501031,102D0501031,039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito",039FP,0,+,,,02P02,,,02S05,,99X00,99X02,00X10,,,,<2,N,fin/ice
30200509001,102D0509001,039O,"Mykiön leikkaus, toispuolinen, lyhyt hoito",039FO,0,+,2.0,,,,S,02S05,,,,,,,,<2,N,fin
30200509011,102D0509011,039O,"Mykiön leikkaus, toispuolinen, lyhyt hoito",039FO,0,+,2.0,,,,,02S05,,00X10,,,,,,<2,N,fin
30200509021,102D0509021,039O,"Mykiön leikkaus, toispuolinen, lyhyt hoito",039FO,0,+,,,02P02,,S,02S05,,,,,,,,<2,N,fin
30200509031,102D0509031,039O,"Mykiön leikkaus, toispuolinen, lyhyt hoito",039FO,0,+,,,02P02,,,02S05,,00X10,,,,,,<2,N,fin
30200600000,102D060000,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,S,02S06,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200601000,102D060100,042P,"Muu silmänsisäinen toimenpide, lyhyt hoito",042P,0,+,2.0,,,,,02S06,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30200710101,102D0710101,041P,"Karsastustoimenpide, lyhyt hoito",041P,0,+,2.0,,,,S,02S14,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30200710200,102D0710200,041Q,"Muu silmän alueen toimenpide, anestesia, lyhyt hoito",041Q,0,+,2.0,,,,,02S03,,02X10,,,,,,<2,N,fin
30200710210,102D0710210,041Q,"Muu silmän alueen toimenpide, anestesia, lyhyt hoito",041Q,0,+,,,,,,02S03,,08X30,02X10,,,,,<2,N,fin
30200710220,102D0710220,041R,"Muu silmän alueen toimenpide ilman anestesiaa, lyhyt hoito",041R,0,+,,,,,S,02S03,,08X30,,,,,,<2,N,fin
30200710230,102D0710230,041R,"Muu silmän alueen toimenpide ilman anestesiaa, lyhyt hoito",041R,0,+,2.0,,,,S,02S03,,,,,,,,<2,N,fin
30200810000,102D081000,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,2.0,,,,N,02D02,,,,,,,,<2,N,fin
30200820000,102D082000,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,2.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30200820100,102D082010,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,2.0,,,,N,90D22,,90X01,,,,,,<2,N,fin
30200820200,102D082020,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,2.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30200820300,102D082030,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,2.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30200820400,102D082040,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,2.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30200820500,102D082050,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,2.0,,,,N,90D64,,90X01,,,,,,<2,N,fin
30200820600,102D082060,917W,Sädehoidon vaativa annossuunnittelu magneettitutkimuksella,917FW,0,+,2.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30200830000,102D083000,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,2.0,,,,N,02D01,,,,,,,,<2,N,fin
30200840000,102D084000,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,2.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30200840100,102D084010,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,2.0,,,,N,90D21,,90X01,,,,,,<2,N,fin
30200840200,102D084020,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,2.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30200840300,102D084030,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,2.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30200840400,102D084040,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,2.0,,,,N,90D11,,90X01,,,,,,<2,N,fin
30200840500,102D084050,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,2.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30200850000,102D085000,917V,Sädehoidon annossuunnittelu magneettitutkimuksella,917FV,0,+,2.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30200860400,102D086040,917E,"Muu tai erilaistumaton syöpä, erityslääkehoito, lyhyt hoito",917FE,0,+,2.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30200860500,102D086050,917E,"Muu tai erilaistumaton syöpä, erityslääkehoito, lyhyt hoito",917FE,0,+,2.0,,,,N,99S80,90S01,90X01,,,,,,<2,N,fin
30200861000,102D086100,917U,Malignin sairauden lyhyt sädehoito,917FU,0,+,2.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30200870000,102D087000,902G,"Silmätaudit, erityislääkehoito, lyhyt hoito",902FG,0,+,2.0,,,,Z,99T00,90S04,,,,,,,<2,N,fin
30200870120,102D087012,902G,"Silmätaudit, erityislääkehoito, lyhyt hoito",902FG,0,+,2.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30200899500,102D089950,802P,Lääkkeen annostelu lasiaiseen,802FP,0,+,2.0,,,,,02S25,,,,,,,,<2,N,fin
30200899800,102D089980,902O,"Silmäsairaus, lyhyt hoito ilman merkittävää toimenpidettä",902O,0,+,2.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30200899900,102D089990,802O,Silmätautien pientoimenpide,802O,0,+,2.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30300000000,103D000000,049B,Sisäkorvaistutteen asentaminen,049B,0,+,3.0,,,,S,03S24,,,,,,,,,,den/est/fin/ice/lat
30300001000,103D0001000,521O,"Obstruktiivisen apnean yksinkertainen korjausleikkaus, lyhyt hoito",521O,0,+,3.0,03M10,,,S,03S23,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30300009000,103D010000,580K,Laaja suun ja leuan alueen toimenpide,580K,0,+,,,03P01,,S,03S40,,,,,,,,<2,N,fin
30300009100,103D010010,580H,Suun ja leuan alueen toimenpide anestesiassa tai merkittävän kuvantamisen kanssa,580H,0,+,,,03P01,,,03S41,,03X10,,,,,,<2,N,fin
30300009120,103D010011,580H,Suun ja leuan alueen toimenpide anestesiassa tai merkittävän kuvantamisen kanssa,580H,0,+,,,03P01,,,03S41,03D11,,,,,,,<2,N,fin
30300009200,103D010015,580G,Suun alueen ongelman hoito yleisanestesiassa,580G,0,+,,,03P01,,,,,03X10,,,,,,<2,N,fin
30300009300,103D010020,580F,Suun ja leuan alueen toimenpide ilman anestesiaa ja merkittävää kuvantamista,580F,0,+,,,03P01,,,03S41,,,,,,,,<2,N,fin
30300009320,103D010030,580E,Laaja suun alueen tutkimus ilman anestesiaa ja merkittävä kuvantaminen,580E,0,+,,,03P01,,,03S42,03D11,,,,,,,<2,N,fin
30300009340,103D010040,580D,Laaja suun alueen tutkimus ilman anestesiaa ja merkittävää kuvantamista,580D,0,+,,,03P01,,,03S42,,,,,,,,<2,N,fin
30300009500,103D010050,580C,Merkittävä suun alueen kuvantaminen ilman anestesiaa,580C,0,+,,,03P01,,,03D11,,,,,,,,<2,N,fin
30300009900,103D010060,580B,Suun alueen tutkimus ilman anestesiaa ja merkittävää kuvantamista,580B,0,+,,,03P01,,,03S43,,,,,,,,<2,N,fin
30300010000,103D001000,055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,0,+,3.0,,,,S,03S01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30300031000,103D003100,055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,0,+,3.0,,,,S,03S14,,03X04,,,,,,<2,N,den/est/fin/ice/lat/nor
30300040000,103D004000,055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,0,+,3.0,,,,S,03S04,,,,,,,,<2,N,fin
30300040200,103D004020,055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,0,+,3.0,,,,S,03S10,,,,,,,,<2,N,fin
30300040300,103D004030,054P,"Kartiolisäkkeen leikkaus, lyhyt hoito",054P,0,+,3.0,,,,S,03S22,,,,,,,,<2,N,fin
30300040400,103D004040,054O,"Nenänsivuontelon leikkaus, lyhyt hoito",054O,0,+,3.0,,,,S,03S06,,,,,,,,<2,N,fin
30300040500,103D004050,056O,"Nenän muovausleikkaus, lyhyt hoito",056O,0,+,3.0,,,,S,03S07,,,,,,,,<2,N,fin
30300040600,103D004060,055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,0,+,3.0,,,,S,03S08,,,,,,,,<2,N,fin
30300040700,103D004070,051O,"Sylkirauhastoimenpide, lyhyt hoito",051O,0,+,3.0,,,,S,03S09,,,,,,,,<2,N,fin
30300040710,103D004071,051O,"Sylkirauhastoimenpide, lyhyt hoito",051O,0,+,3.0,,,,,03S09,,00X10,,,,,,<2,N,fin
30300200000,103D020000,063O,"Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito",063O,0,+,3.0,,,,S,03S12,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30300200100,103D020010,063O,"Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito",063O,0,+,3.0,,,,,03S12,,00X10,,,,,,<2,N,fin
30301201000,103D120100,060O,"Risaleikkaus, ei muita toimenpiteitä, lyhyt hoito",060O,0,+,3.0,,,,S,03S03,,,,,,,,<2,N,den/est/fin/ice/lat
30301211000,103D121100,060O,"Risaleikkaus, ei muita toimenpiteitä, lyhyt hoito",060O,0,+,3.0,,,,S,03S11,,,,,,,,<2,N,den/est/fin/ice/lat
30301211010,103D121101,060O,"Risaleikkaus, ei muita toimenpiteitä, lyhyt hoito",060O,0,+,3.0,,,,,03S11,,00X10,,,,,,<2,N,fin
30301590002,103D1590002,580H,Suun ja leuan alueen toimenpide anestesiassa tai merkittävän kuvantamisen kanssa,580H,0,+,3.0,,,,S,03S05,,,,,,,,<2,N,fin
30301590012,103D1590012,580H,Suun ja leuan alueen toimenpide anestesiassa tai merkittävän kuvantamisen kanssa,580H,0,+,3.0,,,,,03S05,,00X10,,,,,,<2,N,den/fin
30301630000,103D163000,055P,"Muu korvan, nenän tai kurkun leikkaus, llyhyt hoito",055P,0,+,3.0,,,,S,03S99,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301631010,103D163101,055P,"Muu korvan, nenän tai kurkun leikkaus, llyhyt hoito",055P,0,+,3.0,,,,,03S99,,00X10,,,,,,<2,N,fin
30301700100,103D170010,703O,Stentin asennus ruoansulatuskanvaan tähystyksessä,703O,0,+,3.0,,,,P,03E03,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301700200,103D170020,063O,"Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito",063O,0,+,3.0,,,,P,03E20,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301701000,103D170100,706O,Ruuansulatuskanavan yläosan tähystystoimenpide,706O,0,+,3.0,,,,P,03E06,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301702000,103D170200,702O,Alahengitysteiden tähystys,702O,0,+,3.0,,,,P,03E02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301702050,103D170209,711Q,Ruoansulatuskanavan yläosan tähystys ilman anestesiaa,711Q,0,+,3.0,,,,P,03E11,,,,,,,,<2,N,fin
30301702200,103D170220,701O,Ylähengitysteiden tähystys,701O,0,+,3.0,,,,P,03E01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30301730000,103D173000,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,3.0,,,,N,03D02,,,,,,,,<2,N,fin
30301730200,103D173020,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,3.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30301730400,103D173040,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,3.0,,,,N,90D22,,90X01,,,,,,<2,N,fin
30301730600,103D173060,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,3.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30301730800,103D173080,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,3.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30301731000,103D173100,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,3.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30301731200,103D173120,917W,Sädehoidon vaativa annossuunnittelu magneettitutkimuksella,917FW,0,+,3.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30301732000,103D173200,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,3.0,,,,N,03D01,,,,,,,,<2,N,fin
30301732100,103D173210,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,3.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30301732200,103D173220,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,3.0,,,,N,90D21,,90X01,,,,,,<2,N,fin
30301732300,103D173230,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,3.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30301732400,103D173240,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,3.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30301732500,103D173250,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,3.0,,,,N,90D11,,90X01,,,,,,<2,N,fin
30301732600,103D173260,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,3.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30301732700,103D173270,917V,Sädehoidon annossuunnittelu magneettitutkimuksella,917FV,0,+,3.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30301740200,103D174020,903B,"Suun, korvan, nenän tai kurkun syöpäsairaus, sytostaattihoito, lyhyt hoito",903FB,0,+,3.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30301740210,103D174021,903B,"Suun, korvan, nenän tai kurkun syöpäsairaus, sytostaattihoito, lyhyt hoito",903FB,0,+,3.0,,,,N,99S80,,90X01,,,,,,<2,N,fin
30301740500,103D174050,903A,"Suun, korvan, nenän tai kurkun syöpäsairaus, sädehoito, lyhyt hoito",903FA,0,+,3.0,,,,N,90T06,,90X01,,,,,,<2,N,fin
30301740510,103D174051,903A,"Suun, korvan, nenän tai kurkun syöpäsairaus, sädehoito, lyhyt hoito",903FA,0,+,3.0,,,,N,90T07,,90X01,,,,,,<2,N,fin
30301740520,103D174052,903A,"Suun, korvan, nenän tai kurkun syöpäsairaus, sädehoito, lyhyt hoito",903FA,0,+,3.0,,,,N,90T08,,90X01,,,,,,<2,N,fin
30301740530,103D174053,903A,"Suun, korvan, nenän tai kurkun syöpäsairaus, sädehoito, lyhyt hoito",903FA,0,+,3.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30301740600,103D174060,903E,"Suun, korvan, nenän tai kurkun sairaus, erityislääkehoito, lyhyt hoito",903FE,0,+,3.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30301740620,103D174062,903E,"Suun, korvan, nenän tai kurkun sairaus, erityislääkehoito, lyhyt hoito",903FE,0,+,3.0,,,,N,99T00,90S04,,,,,,,<2,N,fin
30301750990,103D175099,580O,"Suun alueen ongelma, lyhyt hoito",580O,0,+,3.0,03M99,,,,,,,,,,,,<2,N,fin
30301799960,103D179996,903O,"Suun, korvan, nenän tai kurkun sairaus, lyhyt hoito ilman merkittävää toimenpidettä",903O,0,+,3.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30301799990,103D179999,803O,"Korva-, nenä- ja kurkkutautien pientoimenpide",803O,0,+,3.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30400100000,104D010000,075O,"Laaja rintaontelon muu kuin sydänleikkaus, lyhyt hoito",075O,0,+,4.0,,,,S,04S01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30400100003,104D0100002,075O,"Laaja rintaontelon muu kuin sydänleikkaus, lyhyt hoito",075O,0,+,,,04P05,,S,04S01,,,,,,,,<2,N,est/fin/ice/lat/nor
30400200000,104D020000,077O,"Suppea hengityselinten toimenpide, lyhyt hoito",077O,0,+,4.0,,,,S,04S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30400210000,104D021000,077O,"Suppea hengityselinten toimenpide, lyhyt hoito",077O,0,+,4.0,,,,,04S02,,00X10,,,,,,<2,N,fin
30400277500,104D0402005,702O,Alahengitysteiden tähystys,702O,0,+,4.0,,,,P,04E02,,,,,,,,<2,N,fin/nor
30400300000,104D030000,475O,"Hengityselinsairauden respiraattorihoito, lyhyt hoitojakso",475O,0,+,4.0,,,,,04S03,,,,,,,,<2,N,den/fin/ice/lat/nor
30400403250,104D040398,711P,"Ruoansulatuskanavan yläosan tähystys, anestesia",711P,0,+,4.0,,,,P,04E11,,00X10,,,,,,<2,N,fin
30400403500,104D040399,711Q,Ruoansulatuskanavan yläosan tähystys ilman anestesiaa,711Q,0,+,4.0,,,,P,04E11,,,,,,,,<2,N,fin
30400481000,104D048100,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,4.0,,,,N,04D22,,,,,,,,<2,N,fin
30400482000,104D048200,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,4.0,,,,N,90D02,,90X01,,,,,,<2,N,fin
30400482400,104D048240,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,4.0,,,,N,90D32,,90X01,,,,,,<2,N,fin
30400482600,104D048260,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,4.0,,,,N,90D42,,90X01,,,,,,<2,N,fin
30400482800,104D048280,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,4.0,,,,N,90D62,,90X01,,,,,,<2,N,fin
30400483000,104D048300,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,4.0,,,,N,90D64,,90X01,,,,,,<2,N,fin
30400483200,104D048320,917W,Sädehoidon vaativa annossuunnittelu magneettitutkimuksella,917FW,0,+,4.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
30400485000,104D048500,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,4.0,,,,N,04D21,,,,,,,,<2,N,fin
30400485200,104D048520,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,4.0,,,,N,90D01,,90X01,,,,,,<2,N,fin
30400485800,104D048580,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,4.0,,,,N,90D31,,90X01,,,,,,<2,N,fin
30400486000,104D048600,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,4.0,,,,N,90D41,,90X01,,,,,,<2,N,fin
30400486100,104D048610,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,4.0,,,,N,90D11,,90X01,,,,,,<2,N,fin
30400486200,104D048620,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,4.0,,,,N,90D61,,90X01,,,,,,<2,N,fin
30400486400,104D048640,917V,Sädehoidon annossuunnittelu magneettitutkimuksella,917FV,0,+,4.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
30400487200,104D048720,904B,"Hengityselinten syöpäsairaus, sytostaattihoito, lyhyt hoito",904FB,0,+,4.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
30400487210,104D048721,904B,"Hengityselinten syöpäsairaus, sytostaattihoito, lyhyt hoito",904FB,0,+,4.0,,,,N,99S80,,90X01,,,,,,<2,N,fin
30400487300,104D048730,904A,"Hengityselinten syöpäsairaus, sädehoito, lyhyt hoito",904FA,0,+,4.0,,,,N,90T06,,90X01,,,,,,<2,N,fin
30400487310,104D048731,904A,"Hengityselinten syöpäsairaus, sädehoito, lyhyt hoito",904FA,0,+,4.0,,,,N,90T07,,90X01,,,,,,<2,N,fin
30400487320,104D048732,904A,"Hengityselinten syöpäsairaus, sädehoito, lyhyt hoito",904FA,0,+,4.0,,,,N,90T08,,90X01,,,,,,<2,N,fin
30400487330,104D048733,904A,"Hengityselinten syöpäsairaus, sädehoito, lyhyt hoito",904FA,0,+,4.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
30400487520,104D048752,904E,"Keuhkosairaus, erityislääkehoito, lyhyt hoito",904FE,0,+,4.0,,,,N,99T00,90S01,,,,,,,<2,N,fin
30400499600,104D049960,904O,"Keuhkosairaus, lyhyt hoito ilman merkittävää toimenpidettä",904O,0,+,4.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
30400499900,104D049990,804O,Hengityselinsairauksien pientoimenpide,804O,0,+,4.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
30500210000,105D021000,104O,"Sydänläpän avosydän korjausleikkaus ja katetrisaatio, lyhyt hoito",104O,0,+,5.0,,,,S,05S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
30500210100,105D021010,104O,"Sydänläpän avosydän korjausleikkaus ja katetrisaatio, lyhyt hoito",104O,0,+,5.0,,,,,05S80,,00X10,,,,,,<2,N,den/est/fin/ice/lat
30500211000,105D0211000,104O,"Sydänläpän avosydän korjausleikkaus ja katetrisaatio, lyhyt hoito",104O,0,+,5.0,,,,S,05S80,,,,,,,,<2,N,den/est/fin/ice/lat/nor
